index,time_sec,video_frame_index,prediction_index,top_regions,png_path
0,0.0,0,0,L Sulcus orbital med-olfact (2.37); R Gyrus and Sulcus cingul-Ant (2.34); L Gyrus and Sulcus cingul-Ant (2.11); R Gyrus orbital (1.97); L Gyrus orbital (1.93); R Sulcus suborbital (1.81),/content/drive/MyDrive/New project/deliverables/figures/brain_frames_0p5s/LAY_S_Last_Harvest_Super_Bowl_LX_Commercial_20260429_015322/frame_0000_0000.0s.png
1,0.5,12,0,L Sulcus orbital med-olfact (2.37); R Gyrus and Sulcus cingul-Ant (2.34); L Gyrus and Sulcus cingul-Ant (2.11); R Gyrus orbital (1.97); L Gyrus orbital (1.93); R Sulcus suborbital (1.81),/content/drive/MyDrive/New project/deliverables/figures/brain_frames_0p5s/LAY_S_Last_Harvest_Super_Bowl_LX_Commercial_20260429_015322/frame_0001_0000.5s.png
2,1.0,24,1,L Sulcus orbital med-olfact (2.28); L Sulcus front sup (2.19); R Gyrus and Sulcus transv frontopol (2.05); R Gyrus and Sulcus cingul-Ant (2.05); R Gyrus orbital (1.89); L Gyrus and Sulcus cingul-Ant (1.88); L Sulcus parieto occipital (1.85); R Sulcus pericallosal (1.82),/content/drive/MyDrive/New project/deliverables/figures/brain_frames_0p5s/LAY_S_Last_Harvest_Super_Bowl_LX_Commercial_20260429_015322/frame_0002_0001.0s.png
3,1.5,36,1,L Sulcus orbital med-olfact (2.28); L Sulcus front sup (2.19); R Gyrus and Sulcus transv frontopol (2.05); R Gyrus and Sulcus cingul-Ant (2.05); R Gyrus orbital (1.89); L Gyrus and Sulcus cingul-Ant (1.88); L Sulcus parieto occipital (1.85); R Sulcus pericallosal (1.82),/content/drive/MyDrive/New project/deliverables/figures/brain_frames_0p5s/LAY_S_Last_Harvest_Super_Bowl_LX_Commercial_20260429_015322/frame_0003_0001.5s.png
4,2.0,48,2,L Sulcus front sup (2.70); L Sulcus front inf (2.31); R Gyrus subcallosal (2.22); R Gyrus and Sulcus cingul-Ant (2.16); R Gyrus postcentral (2.16); L Sulcus orbital med-olfact (2.10); L Gyrus postcentral (2.02); R Gyrus and Sulcus transv frontopol (2.01),/content/drive/MyDrive/New project/deliverables/figures/brain_frames_0p5s/LAY_S_Last_Harvest_Super_Bowl_LX_Commercial_20260429_015322/frame_0004_0002.0s.png
5,2.5,60,2,L Sulcus front sup (2.70); L Sulcus front inf (2.31); R Gyrus subcallosal (2.22); R Gyrus and Sulcus cingul-Ant (2.16); R Gyrus postcentral (2.16); L Sulcus orbital med-olfact (2.10); L Gyrus postcentral (2.02); R Gyrus and Sulcus transv frontopol (2.01),/content/drive/MyDrive/New project/deliverables/figures/brain_frames_0p5s/LAY_S_Last_Harvest_Super_Bowl_LX_Commercial_20260429_015322/frame_0005_0002.5s.png
6,3.0,72,3,R Gyrus and Sulcus cingul-Ant (2.06); R Sulcus temporal inf (1.85); R Gyrus temporal inf (1.84); R Gyrus subcallosal (1.80); L Sulcus front inf (1.78); R Sulcus pericallosal (1.74),/content/drive/MyDrive/New project/deliverables/figures/brain_frames_0p5s/LAY_S_Last_Harvest_Super_Bowl_LX_Commercial_20260429_015322/frame_0006_0003.0s.png
7,3.5,84,3,R Gyrus and Sulcus cingul-Ant (2.06); R Sulcus temporal inf (1.85); R Gyrus temporal inf (1.84); R Gyrus subcallosal (1.80); L Sulcus front inf (1.78); R Sulcus pericallosal (1.74),/content/drive/MyDrive/New project/deliverables/figures/brain_frames_0p5s/LAY_S_Last_Harvest_Super_Bowl_LX_Commercial_20260429_015322/frame_0007_0003.5s.png
8,4.0,96,4,R Sulcus temporal inf (1.93); R Gyrus and Sulcus cingul-Ant (1.90); R Gyrus temporal inf (1.79); R Gyrus subcallosal (1.77); R Gyrus and Sulcus transv frontopol (1.74),/content/drive/MyDrive/New project/deliverables/figures/brain_frames_0p5s/LAY_S_Last_Harvest_Super_Bowl_LX_Commercial_20260429_015322/frame_0008_0004.0s.png
9,4.5,108,4,R Sulcus temporal inf (1.93); R Gyrus and Sulcus cingul-Ant (1.90); R Gyrus temporal inf (1.79); R Gyrus subcallosal (1.77); R Gyrus and Sulcus transv frontopol (1.74),/content/drive/MyDrive/New project/deliverables/figures/brain_frames_0p5s/LAY_S_Last_Harvest_Super_Bowl_LX_Commercial_20260429_015322/frame_0009_0004.5s.png
