ad,duration_seconds,peak_second,peak_raw_mean_abs
2026년_버드_라이트_슈퍼볼_광고_맥주통_30초,30,8,0.22036680579185486
America_Needs_Neighbors_Like_You_l_Redfin_x_Rocket_Mortgage,60,60,0.2445831596851349
Backstory_Levi_s_Behind_Every_Original,30,30,0.23943856358528137
Bananas_Instacart_Big_Game_Commercial,30,14,0.21313846111297607
Bet_On_Kendall_30_Fanatics_Sportsbook,30,17,0.2292018085718155
Budweiser_Super_Bowl_LX_Commercial_American_Icons,60,60,0.25227710604667664
Cadillac_Formula_1_Team_2026_Livery_Reveal_The_Mission_Begins,60,60,0.2615642845630646
Can_I_get_a_six_pack_quickly,30,30,0.24491733312606812
Can_t_Live_There_Homes.com,30,13,0.2569139897823334
Considering_What_Paris_2024_Paralympic_Games,227,25,0.22541728615760803
DraftKings_live_superbowl_LX,30,15,0.17328332364559174
Everybody_Coinbase,61,61,0.20029769837856293
Good_Will_Dunkin,60,60,0.30946531891822815
Grubhub_Big_Game_2026_The_Feest,30,30,0.2316475659608841
HUNGRY_FOR_THE_TRUTH_Uber_Eats,60,19,0.2034318596124649
Hims_Big_Game_Ad_The_Rich_Live_Longer,60,60,0.24253599345684052
Is_there_more_to_life_than_more,60,60,0.2604106664657593
Jurassic_Park..._Works_Big_Game_Commercial_2026_Xfinity,60,60,0.27351507544517517
LAY_S_Last_Harvest_Super_Bowl_LX_Commercial,60,19,0.23643164336681366
Mike_Tyson_Takes_on_the_Fight_of_His_Life_in_Super_Bowl,30,30,0.36311861872673035
NERDS_Juicy_Gummy_Clusters_Big_Game_Commercial_ft._Andy_Cohen_Official_30_2026,30,15,0.22876937687397003
NFL_Super_Bowl_LX_You_Are_Special,30,30,0.27036675810813904
New_Home_Google_Gemini_SB_Commercial_2026,60,60,0.23815226554870605
Oakley_Meta_Athletic_Intelligence_is_Here_-_Part_One,30,30,0.2136201560497284
Oakley_Meta_Athletic_Intelligence_is_Here_-_Part_Two,30,13,0.23027294874191284
OpenAI_Super_Bowl_2026_Codex_You_Can_Just_Build_Things,60,60,0.2831278443336487
Pringles_Pringleleo,30,20,0.25260522961616516
RITZ_Island_Big_Game_2026_Commercial,30,16,0.1828344166278839
Relax_your_tight_end,60,60,0.3080993890762329
Salesforce_Big_Game_Ad_MrBeast_s_Vault,32,26,0.20556744933128357
Search_Party_from_Ring_Be_A_Hero_In_Your_Neighborhood,30,30,0.17046301066875458
Serena_Williams_Super_Bowl_LX_Commercial_Healthier_on_Ro,30,30,0.20319142937660217
Shake_Your_Bots_Off_-_SVEDKA_Big_Game_Commercial_2026,30,30,0.21516567468643188
Sticky_Note_SB_LX_Commercial,30,30,0.1660456657409668
Super_Bowl_LX_Champion,60,56,0.3289295434951782
Superhero_Belt_Toyota,30,30,0.2543489634990692
Take_A_Look_Liquid_I.V._Game_Day_2026_Commercial,30,21,0.19045020639896393
The_Choice_Pepsi_Super_Bowl,30,30,0.22053927183151245
The_Expert_feat._Adrien_Brody_TurboTax_2026_Super_Bowl_Commercial_Official_TV_Ad_45,45,45,0.3137562572956085
The_Game_is_Ours,30,30,0.2439235895872116
Unavailable_Big_Game_Commercial_2026_Squarespace,37,30,0.2851784825325012
Universal_Orlando_Resort_-_Lil_Bro,60,60,0.27252867817878723
VW_대대적인_초대_운전자를_모집합니다._빅_게임_스팟,30,14,0.19814229011535645
Where_Dreams_Began_Toyota_X_NFL,30,30,0.24357599020004272
Wix_Harmony_Big_Game_Commercial_2026_The_New_Way_to_Create,30,30,0.17161262035369873
YES_BUENO_2026,30,30,0.22787892818450928
boshi,30,30,0.2506522238254547
hellmans,30,20,0.21677088737487793
poppi_Super_Bowl_LX_Commercial_poppi,30,20,0.21655163168907166
기도에_의존하며_사는_것을_멈춰라_60_스테이트팜_광고,60,21,0.23309098184108734
임무_SOS_신호_감지,30,30,0.23942916095256805
