ad,npz_path,npz_status,array_key,preds_shape,feature_mesh,validation_status
2026년_버드_라이트_슈퍼볼_광고_맥주통_30초,/Users/seong-yeob/Downloads/tribeproto/raw-data/2026년_버드_라이트_슈퍼볼_광고_맥주통_30초_predictions.npz,found_in_raw_data,predictions,31x20484,fsaverage5,ok
America_Needs_Neighbors_Like_You_l_Redfin_x_Rocket_Mortgage,/Users/seong-yeob/Downloads/tribeproto/raw-data/America_Needs_Neighbors_Like_You_l_Redfin_x_Rocket_Mortgage_predictions.npz,found_in_raw_data,predictions,61x20484,fsaverage5,ok
Backstory_Levi_s_Behind_Every_Original,/Users/seong-yeob/Downloads/tribeproto/raw-data/Backstory_Levi_s_Behind_Every_Original_predictions.npz,found_in_raw_data,predictions,31x20484,fsaverage5,ok
Bananas_Instacart_Big_Game_Commercial,/Users/seong-yeob/Downloads/tribeproto/raw-data/Bananas_Instacart_Big_Game_Commercial_predictions.npz,found_in_raw_data,predictions,31x20484,fsaverage5,ok
Bet_On_Kendall_30_Fanatics_Sportsbook,/Users/seong-yeob/Downloads/tribeproto/raw-data/Bet_On_Kendall_30_Fanatics_Sportsbook_predictions.npz,found_in_raw_data,predictions,31x20484,fsaverage5,ok
Budweiser_Super_Bowl_LX_Commercial_American_Icons,/Users/seong-yeob/Downloads/tribeproto/raw-data/Budweiser_Super_Bowl_LX_Commercial_American_Icons_predictions.npz,found_in_raw_data,predictions,61x20484,fsaverage5,ok
Cadillac_Formula_1_Team_2026_Livery_Reveal_The_Mission_Begins,/Users/seong-yeob/Downloads/tribeproto/raw-data/Cadillac_Formula_1_Team_2026_Livery_Reveal_The_Mission_Begins_predictions.npz,found_in_raw_data,predictions,61x20484,fsaverage5,ok
Can_I_get_a_six_pack_quickly,/Users/seong-yeob/Downloads/tribeproto/raw-data/Can_I_get_a_six_pack_quickly_predictions.npz,found_in_raw_data,predictions,31x20484,fsaverage5,ok
Can_t_Live_There_Homes.com,/Users/seong-yeob/Downloads/tribeproto/raw-data/Can_t_Live_There_Homes.com_predictions.npz,found_in_raw_data,predictions,31x20484,fsaverage5,ok
Considering_What_Paris_2024_Paralympic_Games,/Users/seong-yeob/Downloads/tribeproto/raw-data/Considering_What_Paris_2024_Paralympic_Games_predictions.npz,found_in_raw_data,predictions,228x20484,fsaverage5,ok
DraftKings_live_superbowl_LX,/Users/seong-yeob/Downloads/tribeproto/raw-data/DraftKings_live_superbowl_LX_predictions.npz,found_in_raw_data,predictions,31x20484,fsaverage5,ok
Everybody_Coinbase,/Users/seong-yeob/Downloads/tribeproto/raw-data/Everybody_Coinbase_predictions.npz,found_in_raw_data,predictions,62x20484,fsaverage5,ok
Good_Will_Dunkin,/Users/seong-yeob/Downloads/tribeproto/raw-data/Good_Will_Dunkin_predictions.npz,found_in_raw_data,predictions,61x20484,fsaverage5,ok;preds_rows_ne_manifest_predictions:61!=3
Grubhub_Big_Game_2026_The_Feest,/Users/seong-yeob/Downloads/tribeproto/raw-data/Grubhub_Big_Game_2026_The_Feest_predictions.npz,found_in_raw_data,predictions,31x20484,fsaverage5,ok
HUNGRY_FOR_THE_TRUTH_Uber_Eats,/Users/seong-yeob/Downloads/tribeproto/raw-data/HUNGRY_FOR_THE_TRUTH_Uber_Eats_predictions.npz,found_in_raw_data,predictions,61x20484,fsaverage5,ok
