ad,frame_index,time_sec,prediction_index,rank,region,score
Budweiser_Super_Bowl_LX_Commercial_American_Icons_20260429_061035,0,0.0,0,1,R Sulcus orbital-H Shaped,3.28
Budweiser_Super_Bowl_LX_Commercial_American_Icons_20260429_061035,0,0.0,0,2,L Sulcus orbital med-olfact,3.1
Budweiser_Super_Bowl_LX_Commercial_American_Icons_20260429_061035,0,0.0,0,3,R Gyrus rectus,3.05
Budweiser_Super_Bowl_LX_Commercial_American_Icons_20260429_061035,0,0.0,0,4,R Gyrus front sup,2.91
Budweiser_Super_Bowl_LX_Commercial_American_Icons_20260429_061035,0,0.0,0,5,L Gyrus and Sulcus cingul-Ant,2.86
Budweiser_Super_Bowl_LX_Commercial_American_Icons_20260429_061035,0,0.0,0,6,L Sulcus pericallosal,2.85
Budweiser_Super_Bowl_LX_Commercial_American_Icons_20260429_061035,0,0.0,0,7,L Gyrus rectus,2.79
Budweiser_Super_Bowl_LX_Commercial_American_Icons_20260429_061035,0,0.0,0,8,L Pole temporal,2.77
Budweiser_Super_Bowl_LX_Commercial_American_Icons_20260429_061035,1,0.5,0,1,R Sulcus orbital-H Shaped,3.28
Budweiser_Super_Bowl_LX_Commercial_American_Icons_20260429_061035,1,0.5,0,2,L Sulcus orbital med-olfact,3.1
Budweiser_Super_Bowl_LX_Commercial_American_Icons_20260429_061035,1,0.5,0,3,R Gyrus rectus,3.05
Budweiser_Super_Bowl_LX_Commercial_American_Icons_20260429_061035,1,0.5,0,4,R Gyrus front sup,2.91
Budweiser_Super_Bowl_LX_Commercial_American_Icons_20260429_061035,1,0.5,0,5,L Gyrus and Sulcus cingul-Ant,2.86
Budweiser_Super_Bowl_LX_Commercial_American_Icons_20260429_061035,1,0.5,0,6,L Sulcus pericallosal,2.85
Budweiser_Super_Bowl_LX_Commercial_American_Icons_20260429_061035,1,0.5,0,7,L Gyrus rectus,2.79
Budweiser_Super_Bowl_LX_Commercial_American_Icons_20260429_061035,1,0.5,0,8,L Pole temporal,2.77
Budweiser_Super_Bowl_LX_Commercial_American_Icons_20260429_061035,2,1.0,1,1,R Sulcus orbital-H Shaped,3.0
Budweiser_Super_Bowl_LX_Commercial_American_Icons_20260429_061035,2,1.0,1,2,L Sulcus orbital med-olfact,2.68
Budweiser_Super_Bowl_LX_Commercial_American_Icons_20260429_061035,2,1.0,1,3,R Gyrus rectus,2.65
Budweiser_Super_Bowl_LX_Commercial_American_Icons_20260429_061035,2,1.0,1,4,L Gyrus temporal middle,2.63
Budweiser_Super_Bowl_LX_Commercial_American_Icons_20260429_061035,2,1.0,1,5,L Gyrus rectus,2.55
Budweiser_Super_Bowl_LX_Commercial_American_Icons_20260429_061035,2,1.0,1,6,R Gyrus orbital,2.54
Budweiser_Super_Bowl_LX_Commercial_American_Icons_20260429_061035,2,1.0,1,7,L Sulcus temporal inf,2.45
Budweiser_Super_Bowl_LX_Commercial_American_Icons_20260429_061035,2,1.0,1,8,L Gyrus and Sulcus cingul-Ant,2.38
Budweiser_Super_Bowl_LX_Commercial_American_Icons_20260429_061035,3,1.5,1,1,R Sulcus orbital-H Shaped,3.0
Budweiser_Super_Bowl_LX_Commercial_American_Icons_20260429_061035,3,1.5,1,2,L Sulcus orbital med-olfact,2.68
Budweiser_Super_Bowl_LX_Commercial_American_Icons_20260429_061035,3,1.5,1,3,R Gyrus rectus,2.65
Budweiser_Super_Bowl_LX_Commercial_American_Icons_20260429_061035,3,1.5,1,4,L Gyrus temporal middle,2.63
Budweiser_Super_Bowl_LX_Commercial_American_Icons_20260429_061035,3,1.5,1,5,L Gyrus rectus,2.55
Budweiser_Super_Bowl_LX_Commercial_American_Icons_20260429_061035,3,1.5,1,6,R Gyrus orbital,2.54
Budweiser_Super_Bowl_LX_Commercial_American_Icons_20260429_061035,3,1.5,1,7,L Sulcus temporal inf,2.45
Budweiser_Super_Bowl_LX_Commercial_American_Icons_20260429_061035,3,1.5,1,8,L Gyrus and Sulcus cingul-Ant,2.38
Budweiser_Super_Bowl_LX_Commercial_American_Icons_20260429_061035,4,2.0,2,1,R Sulcus orbital-H Shaped,2.58
Budweiser_Super_Bowl_LX_Commercial_American_Icons_20260429_061035,4,2.0,2,2,L Sulcus orbital med-olfact,2.46
