region,appearances,ads_present,total_frames,frame_fraction,mean_score,max_score,mean_rank
R Gyrus orbital,181,6,710,0.2549295774647887,2.0864088397790055,2.95,3.248618784530387
R Gyrus rectus,167,6,710,0.2352112676056338,2.141377245508982,3.05,3.413173652694611
L Gyrus orbital,161,6,710,0.2267605633802817,2.0811801242236023,2.95,3.7950310559006213
R Gyrus temporal inf,153,6,710,0.21549295774647886,2.114117647058823,2.72,3.758169934640523
L Gyrus rectus,142,6,710,0.2,2.0856338028169015,2.93,3.408450704225352
L Sulcus orbital med-olfact,131,5,710,0.18450704225352113,2.139083969465649,3.1,3.66412213740458
R Sulcus orbital med-olfact,119,6,710,0.1676056338028169,2.0942857142857143,2.5,4.042016806722689
L Gyrus temporal inf,109,5,710,0.15352112676056337,2.1893577981651373,3.35,3.3577981651376145
R Gyrus and Sulcus cingul-Ant,104,6,710,0.14647887323943662,2.0584615384615383,2.5,3.5961538461538463
R Gyrus oc-temp med-Parahip,103,5,710,0.14507042253521127,2.1275728155339806,2.81,3.6407766990291264
R Gyrus front sup,68,6,710,0.09577464788732394,2.0736764705882353,2.91,4.220588235294118
L Sulcus temporal inf,67,5,710,0.09436619718309859,2.148507462686567,2.57,3.8358208955223883
L Gyrus oc-temp med-Parahip,67,6,710,0.09436619718309859,2.077761194029851,2.68,4.253731343283582
L Gyrus front middle,67,5,710,0.09436619718309859,2.044776119402985,2.46,4.313432835820896
R Gyrus subcallosal,66,6,710,0.09295774647887324,2.038939393939394,2.76,3.8333333333333335
L Gyrus temporal middle,61,5,710,0.08591549295774648,2.0888524590163935,2.64,4.229508196721311
R Gyrus and Sulcus subcentral,56,4,710,0.07887323943661972,2.221428571428571,2.95,3.892857142857143
L Sulcus circular insula sup,54,4,710,0.07605633802816901,2.408148148148148,3.16,3.814814814814815
R Sulcus orbital-H Shaped,54,5,710,0.07605633802816901,2.1955555555555555,3.28,3.814814814814815
L Gyrus and Sulcus subcentral,54,4,710,0.07605633802816901,2.1055555555555556,2.55,5.351851851851852
L Sulcus pericallosal,53,5,710,0.07464788732394366,2.443396226415094,3.68,4.0
L Gyrus and Sulcus cingul-Ant,51,5,710,0.07183098591549296,2.1262745098039217,2.86,4.784313725490196
R Gyrus and Sulcus frontomargin,49,5,710,0.06901408450704226,2.5644897959183672,3.45,5.326530612244898
L Gyrus and Sulcus transv frontopol,49,5,710,0.06901408450704226,2.2091836734693877,2.66,3.7551020408163267
L Sulcus orbital-H Shaped,49,5,710,0.06901408450704226,2.119795918367347,2.64,4.755102040816326
L Gyrus front inf-Triangul,47,5,710,0.06619718309859154,2.067659574468085,2.57,3.851063829787234
R Gyrus postcentral,46,5,710,0.0647887323943662,2.1019565217391305,2.62,4.521739130434782
R Sulcus central,46,5,710,0.0647887323943662,2.0167391304347824,2.54,5.826086956521739
R Sulcus temporal inf,45,5,710,0.06338028169014084,2.1322222222222225,2.64,3.5555555555555554
R Sulcus circular insula sup,43,5,710,0.06056338028169014,2.629302325581395,3.47,4.534883720930233
L Sulcus central,43,4,710,0.06056338028169014,2.0234883720930235,2.31,5.534883720930233
R Sulcus pericallosal,39,5,710,0.054929577464788736,2.3474358974358975,3.58,4.666666666666667
R Gyrus temporal middle,39,5,710,0.054929577464788736,2.071025641025641,2.6,5.0
R Gyrus pariet inf-Supramar,38,5,710,0.05352112676056338,2.2057894736842103,3.0,5.5
L Gyrus front sup,36,4,710,0.05070422535211268,2.0425,2.41,4.333333333333333
L Gyrus pariet inf-Angular,35,5,710,0.04929577464788732,2.1462857142857144,2.42,4.514285714285714
R Pole temporal,35,5,710,0.04929577464788732,2.034,2.52,4.257142857142857
L Gyrus precuneus,34,3,710,0.04788732394366197,2.0873529411764706,2.54,5.764705882352941
R Lat Fis-post,33,3,710,0.04647887323943662,2.1063636363636364,2.71,5.212121212121212
L Sulcus front sup,33,4,710,0.04647887323943662,2.075454545454545,2.7,4.515151515151516
L Lat Fis-post,32,4,710,0.04507042253521127,2.3103124999999998,2.82,4.28125
L Pole temporal,32,5,710,0.04507042253521127,1.8875,2.77,5.90625
R Gyrus temp sup-Plan tempo,31,5,710,0.04366197183098591,2.1625806451612903,2.81,4.548387096774194
L Gyrus precentral,31,4,710,0.04366197183098591,2.155806451612903,2.63,3.967741935483871
L Sulcus circular insula inf,30,4,710,0.04225352112676056,2.009333333333333,2.38,4.4
L Gyrus and Sulcus paracentral,29,3,710,0.04084507042253521,2.1017241379310345,2.7,4.862068965517241
R Gyrus precuneus,29,3,710,0.04084507042253521,2.0155172413793103,2.23,4.413793103448276
L Sulcus front inf,29,5,710,0.04084507042253521,1.9896551724137932,2.36,5.344827586206897
R Gyrus temp sup-Lateral,28,4,710,0.03943661971830986,2.185,2.63,4.857142857142857
R Gyrus and Sulcus transv frontopol,28,5,710,0.03943661971830986,2.074642857142857,2.6,4.535714285714286
R Sulcus circular insula inf,28,4,710,0.03943661971830986,2.0653571428571427,2.41,4.607142857142857
R Sulcus subparietal,27,3,710,0.038028169014084505,2.3062962962962965,2.88,3.8518518518518516
R Gyrus pariet inf-Angular,27,5,710,0.038028169014084505,2.0833333333333335,2.6,4.148148148148148
L Gyrus pariet inf-Supramar,26,3,710,0.036619718309859155,2.4353846153846153,3.02,3.769230769230769
R Sulcus temporal sup,26,3,710,0.036619718309859155,2.198076923076923,2.62,5.230769230769231
L Sulcus circular insula ant,25,4,710,0.035211267605633804,2.4459999999999997,3.58,3.72
L Lat Fis-ant-Horizont,25,3,710,0.035211267605633804,2.2324,2.87,3.72
L Gyrus front inf-Opercular,25,3,710,0.035211267605633804,2.1724,2.93,5.48
R Gyrus and Sulcus paracentral,25,3,710,0.035211267605633804,2.12,2.55,4.48
L Sulcus suborbital,25,5,710,0.035211267605633804,1.9804,2.54,6.12
R Sulcus collat transv ant,25,5,710,0.035211267605633804,1.9504,2.28,5.16
R Gyrus front inf-Opercular,24,5,710,0.03380281690140845,2.76,3.44,5.208333333333333
L Sulcus temporal sup,24,5,710,0.03380281690140845,2.160833333333333,2.69,5.208333333333333
