index,time_sec,video_frame_index,prediction_index,top_regions,png_path
0,0.0,0,0,R Sulcus orbital-H Shaped (3.28); L Sulcus orbital med-olfact (3.10); R Gyrus rectus (3.05); R Gyrus front sup (2.91); L Gyrus and Sulcus cingul-Ant (2.86); L Sulcus pericallosal (2.85); L Gyrus rectus (2.79); L Pole temporal (2.77),/content/gdrive/MyDrive/New project/deliverables/figures/brain_frames_0p5s/Budweiser_Super_Bowl_LX_Commercial_American_Icons_20260429_061035/frame_0000_0000.0s.png
1,0.5,12,0,R Sulcus orbital-H Shaped (3.28); L Sulcus orbital med-olfact (3.10); R Gyrus rectus (3.05); R Gyrus front sup (2.91); L Gyrus and Sulcus cingul-Ant (2.86); L Sulcus pericallosal (2.85); L Gyrus rectus (2.79); L Pole temporal (2.77),/content/gdrive/MyDrive/New project/deliverables/figures/brain_frames_0p5s/Budweiser_Super_Bowl_LX_Commercial_American_Icons_20260429_061035/frame_0001_0000.5s.png
2,1.0,24,1,R Sulcus orbital-H Shaped (3.00); L Sulcus orbital med-olfact (2.68); R Gyrus rectus (2.65); L Gyrus temporal middle (2.63); L Gyrus rectus (2.55); R Gyrus orbital (2.54); L Sulcus temporal inf (2.45); L Gyrus and Sulcus cingul-Ant (2.38),/content/gdrive/MyDrive/New project/deliverables/figures/brain_frames_0p5s/Budweiser_Super_Bowl_LX_Commercial_American_Icons_20260429_061035/frame_0002_0001.0s.png
3,1.5,36,1,R Sulcus orbital-H Shaped (3.00); L Sulcus orbital med-olfact (2.68); R Gyrus rectus (2.65); L Gyrus temporal middle (2.63); L Gyrus rectus (2.55); R Gyrus orbital (2.54); L Sulcus temporal inf (2.45); L Gyrus and Sulcus cingul-Ant (2.38),/content/gdrive/MyDrive/New project/deliverables/figures/brain_frames_0p5s/Budweiser_Super_Bowl_LX_Commercial_American_Icons_20260429_061035/frame_0003_0001.5s.png
4,2.0,48,2,R Sulcus orbital-H Shaped (2.58); L Sulcus orbital med-olfact (2.46); R Gyrus orbital (2.34); R Gyrus and Sulcus cingul-Ant (2.20); L Gyrus orbital (2.17); L Gyrus rectus (2.17); L Gyrus and Sulcus cingul-Ant (2.13); L Gyrus temporal inf (2.12),/content/gdrive/MyDrive/New project/deliverables/figures/brain_frames_0p5s/Budweiser_Super_Bowl_LX_Commercial_American_Icons_20260429_061035/frame_0004_0002.0s.png
5,2.5,60,2,R Sulcus orbital-H Shaped (2.58); L Sulcus orbital med-olfact (2.46); R Gyrus orbital (2.34); R Gyrus and Sulcus cingul-Ant (2.20); L Gyrus orbital (2.17); L Gyrus rectus (2.17); L Gyrus and Sulcus cingul-Ant (2.13); L Gyrus temporal inf (2.12),/content/gdrive/MyDrive/New project/deliverables/figures/brain_frames_0p5s/Budweiser_Super_Bowl_LX_Commercial_American_Icons_20260429_061035/frame_0005_0002.5s.png
6,3.0,72,3,L Sulcus orbital med-olfact (2.10),/content/gdrive/MyDrive/New project/deliverables/figures/brain_frames_0p5s/Budweiser_Super_Bowl_LX_Commercial_American_Icons_20260429_061035/frame_0006_0003.0s.png
7,3.5,84,3,L Sulcus orbital med-olfact (2.10),/content/gdrive/MyDrive/New project/deliverables/figures/brain_frames_0p5s/Budweiser_Super_Bowl_LX_Commercial_American_Icons_20260429_061035/frame_0007_0003.5s.png
8,4.0,96,4,,/content/gdrive/MyDrive/New project/deliverables/figures/brain_frames_0p5s/Budweiser_Super_Bowl_LX_Commercial_American_Icons_20260429_061035/frame_0008_0004.0s.png
9,4.5,108,4,,/content/gdrive/MyDrive/New project/deliverables/figures/brain_frames_0p5s/Budweiser_Super_Bowl_LX_Commercial_American_Icons_20260429_061035/frame_0009_0004.5s.png
10,5.0,120,5,,/content/gdrive/MyDrive/New project/deliverables/figures/brain_frames_0p5s/Budweiser_Super_Bowl_LX_Commercial_American_Icons_20260429_061035/frame_0010_0005.0s.png
11,5.5,132,5,,/content/gdrive/MyDrive/New project/deliverables/figures/brain_frames_0p5s/Budweiser_Super_Bowl_LX_Commercial_American_Icons_20260429_061035/frame_0011_0005.5s.png
12,6.0,144,6,R Gyrus temporal inf (2.15),/content/gdrive/MyDrive/New project/deliverables/figures/brain_frames_0p5s/Budweiser_Super_Bowl_LX_Commercial_American_Icons_20260429_061035/frame_0012_0006.0s.png
13,6.5,156,6,R Gyrus temporal inf (2.15),/content/gdrive/MyDrive/New project/deliverables/figures/brain_frames_0p5s/Budweiser_Super_Bowl_LX_Commercial_American_Icons_20260429_061035/frame_0013_0006.5s.png
14,7.0,168,7,L Gyrus temporal inf (2.28),/content/gdrive/MyDrive/New project/deliverables/figures/brain_frames_0p5s/Budweiser_Super_Bowl_LX_Commercial_American_Icons_20260429_061035/frame_0014_0007.0s.png
15,7.5,180,7,L Gyrus temporal inf (2.28),/content/gdrive/MyDrive/New project/deliverables/figures/brain_frames_0p5s/Budweiser_Super_Bowl_LX_Commercial_American_Icons_20260429_061035/frame_0015_0007.5s.png
16,8.0,192,8,L Gyrus temporal inf (2.47); R Sulcus temporal inf (2.29); R Sulcus orbital med-olfact (2.23); L Sulcus temporal inf (2.22); R Pole temporal (2.19); R Gyrus subcallosal (2.17); R Gyrus rectus (2.04),/content/gdrive/MyDrive/New project/deliverables/figures/brain_frames_0p5s/Budweiser_Super_Bowl_LX_Commercial_American_Icons_20260429_061035/frame_0016_0008.0s.png
17,8.5,204,8,L Gyrus temporal inf (2.47); R Sulcus temporal inf (2.29); R Sulcus orbital med-olfact (2.23); L Sulcus temporal inf (2.22); R Pole temporal (2.19); R Gyrus subcallosal (2.17); R Gyrus rectus (2.04),/content/gdrive/MyDrive/New project/deliverables/figures/brain_frames_0p5s/Budweiser_Super_Bowl_LX_Commercial_American_Icons_20260429_061035/frame_0017_0008.5s.png
18,9.0,216,9,L Sulcus temporal inf (2.55); L Gyrus temporal inf (2.42); R Sulcus orbital med-olfact (2.40); R Gyrus rectus (2.28); R Sulcus temporal inf (2.27); L Gyrus and Sulcus transv frontopol (2.23); L Lat Fis-post (2.09); R Gyrus front sup (2.08),/content/gdrive/MyDrive/New project/deliverables/figures/brain_frames_0p5s/Budweiser_Super_Bowl_LX_Commercial_American_Icons_20260429_061035/frame_0018_0009.0s.png
19,9.5,228,9,L Sulcus temporal inf (2.55); L Gyrus temporal inf (2.42); R Sulcus orbital med-olfact (2.40); R Gyrus rectus (2.28); R Sulcus temporal inf (2.27); L Gyrus and Sulcus transv frontopol (2.23); L Lat Fis-post (2.09); R Gyrus front sup (2.08),/content/gdrive/MyDrive/New project/deliverables/figures/brain_frames_0p5s/Budweiser_Super_Bowl_LX_Commercial_American_Icons_20260429_061035/frame_0019_0009.5s.png
20,10.0,240,10,R Sulcus orbital med-olfact (2.29); L Sulcus temporal inf (2.26); R Gyrus rectus (2.12); L Gyrus temporal inf (2.12); L Gyrus temporal middle (2.10),/content/gdrive/MyDrive/New project/deliverables/figures/brain_frames_0p5s/Budweiser_Super_Bowl_LX_Commercial_American_Icons_20260429_061035/frame_0020_0010.0s.png
21,10.5,252,10,R Sulcus orbital med-olfact (2.29); L Sulcus temporal inf (2.26); R Gyrus rectus (2.12); L Gyrus temporal inf (2.12); L Gyrus temporal middle (2.10),/content/gdrive/MyDrive/New project/deliverables/figures/brain_frames_0p5s/Budweiser_Super_Bowl_LX_Commercial_American_Icons_20260429_061035/frame_0021_0010.5s.png
22,11.0,264,11,L Gyrus temporal inf (2.46); L Gyrus orbital (2.27); L Gyrus front inf-Orbital (2.17); R Sulcus orbital med-olfact (2.06),/content/gdrive/MyDrive/New project/deliverables/figures/brain_frames_0p5s/Budweiser_Super_Bowl_LX_Commercial_American_Icons_20260429_061035/frame_0022_0011.0s.png
23,11.5,276,11,L Gyrus temporal inf (2.46); L Gyrus orbital (2.27); L Gyrus front inf-Orbital (2.17); R Sulcus orbital med-olfact (2.06),/content/gdrive/MyDrive/New project/deliverables/figures/brain_frames_0p5s/Budweiser_Super_Bowl_LX_Commercial_American_Icons_20260429_061035/frame_0023_0011.5s.png
24,12.0,288,12,L Gyrus orbital (2.43); L Gyrus front middle (2.33); R Gyrus front inf-Orbital (2.28); L Gyrus temporal inf (2.25); R Sulcus orbital lateral (2.23); R Gyrus and Sulcus frontomargin (2.16); L Sulcus orbital lateral (2.08),/content/gdrive/MyDrive/New project/deliverables/figures/brain_frames_0p5s/Budweiser_Super_Bowl_LX_Commercial_American_Icons_20260429_061035/frame_0024_0012.0s.png
25,12.5,300,12,L Gyrus orbital (2.43); L Gyrus front middle (2.33); R Gyrus front inf-Orbital (2.28); L Gyrus temporal inf (2.25); R Sulcus orbital lateral (2.23); R Gyrus and Sulcus frontomargin (2.16); L Sulcus orbital lateral (2.08),/content/gdrive/MyDrive/New project/deliverables/figures/brain_frames_0p5s/Budweiser_Super_Bowl_LX_Commercial_American_Icons_20260429_061035/frame_0025_0012.5s.png
26,13.0,312,13,R Sulcus orbital lateral (2.56); R Gyrus front inf-Orbital (2.53); L Gyrus front middle (2.39); L Gyrus orbital (2.26); L Sulcus interm prim-Jensen (2.21); L Gyrus pariet inf-Supramar (2.15); R Gyrus front middle (2.13); R Gyrus orbital (2.12),/content/gdrive/MyDrive/New project/deliverables/figures/brain_frames_0p5s/Budweiser_Super_Bowl_LX_Commercial_American_Icons_20260429_061035/frame_0026_0013.0s.png
27,13.5,324,13,R Sulcus orbital lateral (2.56); R Gyrus front inf-Orbital (2.53); L Gyrus front middle (2.39); L Gyrus orbital (2.26); L Sulcus interm prim-Jensen (2.21); L Gyrus pariet inf-Supramar (2.15); R Gyrus front middle (2.13); R Gyrus orbital (2.12),/content/gdrive/MyDrive/New project/deliverables/figures/brain_frames_0p5s/Budweiser_Super_Bowl_LX_Commercial_American_Icons_20260429_061035/frame_0027_0013.5s.png
