index,time_sec,video_frame_index,prediction_index,top_regions,png_path
0,0.0,0,0,R Gyrus orbital (2.35); L Gyrus oc-temp med-Parahip (2.20); R Sulcus collat transv ant (2.17); R Gyrus front sup (2.16); R Gyrus rectus (2.10); L Gyrus rectus (2.06); R Gyrus and Sulcus transv frontopol (1.96); R Gyrus temporal inf (1.95),/content/drive/MyDrive/New project/deliverables/figures/brain_frames_0p5s/Good_Will_Dunkin_20260429_185624/frame_0000_0000.0s.png
1,0.5,12,0,R Gyrus orbital (2.35); L Gyrus oc-temp med-Parahip (2.20); R Sulcus collat transv ant (2.17); R Gyrus front sup (2.16); R Gyrus rectus (2.10); L Gyrus rectus (2.06); R Gyrus and Sulcus transv frontopol (1.96); R Gyrus temporal inf (1.95),/content/drive/MyDrive/New project/deliverables/figures/brain_frames_0p5s/Good_Will_Dunkin_20260429_185624/frame_0001_0000.5s.png
2,1.0,24,1,R Gyrus subcallosal (2.32); R Gyrus and Sulcus transv frontopol (2.18); L Gyrus rectus (2.15); R Gyrus and Sulcus cingul-Ant (2.14); R Gyrus temporal inf (2.12); R Sulcus orbital med-olfact (2.08); R Sulcus collat transv ant (2.07); R Gyrus orbital (2.07),/content/drive/MyDrive/New project/deliverables/figures/brain_frames_0p5s/Good_Will_Dunkin_20260429_185624/frame_0002_0001.0s.png
3,1.5,36,1,R Gyrus subcallosal (2.32); R Gyrus and Sulcus transv frontopol (2.18); L Gyrus rectus (2.15); R Gyrus and Sulcus cingul-Ant (2.14); R Gyrus temporal inf (2.12); R Sulcus orbital med-olfact (2.08); R Sulcus collat transv ant (2.07); R Gyrus orbital (2.07),/content/drive/MyDrive/New project/deliverables/figures/brain_frames_0p5s/Good_Will_Dunkin_20260429_185624/frame_0003_0001.5s.png
4,2.0,48,2,R Gyrus subcallosal (2.56); L Gyrus and Sulcus frontomargin (2.54); R Gyrus and Sulcus transv frontopol (2.50); R Gyrus and Sulcus cingul-Ant (2.47); L Gyrus and Sulcus transv frontopol (2.45); L Sulcus orbital lateral (2.40); L Gyrus rectus (2.38); L Gyrus orbital (2.35),/content/drive/MyDrive/New project/deliverables/figures/brain_frames_0p5s/Good_Will_Dunkin_20260429_185624/frame_0004_0002.0s.png
5,2.5,60,2,R Gyrus subcallosal (2.56); L Gyrus and Sulcus frontomargin (2.54); R Gyrus and Sulcus transv frontopol (2.50); R Gyrus and Sulcus cingul-Ant (2.47); L Gyrus and Sulcus transv frontopol (2.45); L Sulcus orbital lateral (2.40); L Gyrus rectus (2.38); L Gyrus orbital (2.35),/content/drive/MyDrive/New project/deliverables/figures/brain_frames_0p5s/Good_Will_Dunkin_20260429_185624/frame_0005_0002.5s.png
6,3.0,72,3,L Sulcus orbital lateral (2.33); R Gyrus temp sup-Plan polar (2.32); R Sulcus collat transv ant (2.31); R Gyrus and Sulcus transv frontopol (2.25); L Gyrus and Sulcus frontomargin (2.25); L Gyrus orbital (2.25); L Gyrus temporal middle (2.24); L Gyrus and Sulcus transv frontopol (2.24),/content/drive/MyDrive/New project/deliverables/figures/brain_frames_0p5s/Good_Will_Dunkin_20260429_185624/frame_0006_0003.0s.png
7,3.5,84,3,L Sulcus orbital lateral (2.33); R Gyrus temp sup-Plan polar (2.32); R Sulcus collat transv ant (2.31); R Gyrus and Sulcus transv frontopol (2.25); L Gyrus and Sulcus frontomargin (2.25); L Gyrus orbital (2.25); L Gyrus temporal middle (2.24); L Gyrus and Sulcus transv frontopol (2.24),/content/drive/MyDrive/New project/deliverables/figures/brain_frames_0p5s/Good_Will_Dunkin_20260429_185624/frame_0007_0003.5s.png
8,4.0,96,4,L Sulcus orbital lateral (2.42); L Gyrus temporal middle (2.36); L Gyrus orbital (2.30); L Sulcus temporal inf (2.28); R Sulcus collat transv ant (2.27); L Sulcus orbital med-olfact (2.27); R Gyrus temp sup-Plan polar (2.21); L Sulcus precentral-inf-part (2.20),/content/drive/MyDrive/New project/deliverables/figures/brain_frames_0p5s/Good_Will_Dunkin_20260429_185624/frame_0008_0004.0s.png
9,4.5,108,4,L Sulcus orbital lateral (2.42); L Gyrus temporal middle (2.36); L Gyrus orbital (2.30); L Sulcus temporal inf (2.28); R Sulcus collat transv ant (2.27); L Sulcus orbital med-olfact (2.27); R Gyrus temp sup-Plan polar (2.21); L Sulcus precentral-inf-part (2.20),/content/drive/MyDrive/New project/deliverables/figures/brain_frames_0p5s/Good_Will_Dunkin_20260429_185624/frame_0009_0004.5s.png
10,5.0,120,5,L Sulcus orbital lateral (2.26); L Sulcus precentral-inf-part (2.17); L Gyrus temporal middle (2.14); R Sulcus pericallosal (2.14); R Sulcus collat transv ant (2.14); L Gyrus and Sulcus cingul-Mid-Post (2.13); L Sulcus temporal inf (2.11); R Sulcus precentral-inf-part (2.10),/content/drive/MyDrive/New project/deliverables/figures/brain_frames_0p5s/Good_Will_Dunkin_20260429_185624/frame_0010_0005.0s.png
11,5.5,132,5,L Sulcus orbital lateral (2.26); L Sulcus precentral-inf-part (2.17); L Gyrus temporal middle (2.14); R Sulcus pericallosal (2.14); R Sulcus collat transv ant (2.14); L Gyrus and Sulcus cingul-Mid-Post (2.13); L Sulcus temporal inf (2.11); R Sulcus precentral-inf-part (2.10),/content/drive/MyDrive/New project/deliverables/figures/brain_frames_0p5s/Good_Will_Dunkin_20260429_185624/frame_0011_0005.5s.png
12,6.0,144,6,L Sulcus precentral-inf-part (2.19); L Sulcus intrapariet and P trans (2.04); L Gyrus oc-temp lat-fusifor (2.04); R Sulcus oc-temp med and Lingual (2.04); L Sulcus oc sup and transversal (2.03); L Gyrus and Sulcus cingul-Mid-Post (2.02); R Sulcus pericallosal (2.02); R Sulcus precentral-inf-part (2.01),/content/drive/MyDrive/New project/deliverables/figures/brain_frames_0p5s/Good_Will_Dunkin_20260429_185624/frame_0012_0006.0s.png
13,6.5,156,6,L Sulcus precentral-inf-part (2.19); L Sulcus intrapariet and P trans (2.04); L Gyrus oc-temp lat-fusifor (2.04); R Sulcus oc-temp med and Lingual (2.04); L Sulcus oc sup and transversal (2.03); L Gyrus and Sulcus cingul-Mid-Post (2.02); R Sulcus pericallosal (2.02); R Sulcus precentral-inf-part (2.01),/content/drive/MyDrive/New project/deliverables/figures/brain_frames_0p5s/Good_Will_Dunkin_20260429_185624/frame_0013_0006.5s.png
14,7.0,168,7,L Gyrus oc-temp lat-fusifor (2.16); R Sulcus oc-temp med and Lingual (2.15); L Gyrus occipital middle (2.14); R Gyrus orbital (2.13); L Sulcus precentral-inf-part (2.13); R Gyrus oc-temp lat-fusifor (2.11); R Gyrus and Sulcus occipital inf (2.10); L Sulcus intrapariet and P trans (2.10),/content/drive/MyDrive/New project/deliverables/figures/brain_frames_0p5s/Good_Will_Dunkin_20260429_185624/frame_0014_0007.0s.png
15,7.5,180,7,L Gyrus oc-temp lat-fusifor (2.16); R Sulcus oc-temp med and Lingual (2.15); L Gyrus occipital middle (2.14); R Gyrus orbital (2.13); L Sulcus precentral-inf-part (2.13); R Gyrus oc-temp lat-fusifor (2.11); R Gyrus and Sulcus occipital inf (2.10); L Sulcus intrapariet and P trans (2.10),/content/drive/MyDrive/New project/deliverables/figures/brain_frames_0p5s/Good_Will_Dunkin_20260429_185624/frame_0015_0007.5s.png
16,8.0,192,8,L Gyrus oc-temp lat-fusifor (2.18); L Sulcus oc-temp med and Lingual (2.17); R Sulcus oc-temp med and Lingual (2.17); L Gyrus occipital middle (2.14); R Gyrus oc-temp med-Parahip (2.13); R Gyrus oc-temp lat-fusifor (2.11); L Sulcus oc-temp lat (2.11); R Gyrus orbital (2.11),/content/drive/MyDrive/New project/deliverables/figures/brain_frames_0p5s/Good_Will_Dunkin_20260429_185624/frame_0016_0008.0s.png
17,8.5,204,8,L Gyrus oc-temp lat-fusifor (2.18); L Sulcus oc-temp med and Lingual (2.17); R Sulcus oc-temp med and Lingual (2.17); L Gyrus occipital middle (2.14); R Gyrus oc-temp med-Parahip (2.13); R Gyrus oc-temp lat-fusifor (2.11); L Sulcus oc-temp lat (2.11); R Gyrus orbital (2.11),/content/drive/MyDrive/New project/deliverables/figures/brain_frames_0p5s/Good_Will_Dunkin_20260429_185624/frame_0017_0008.5s.png
18,9.0,216,9,R Gyrus and Sulcus occipital inf (2.13); L Sulcus oc-temp med and Lingual (2.08); L Sulcus oc-temp lat (2.07); R Gyrus and Sulcus cingul-Ant (2.07); L Gyrus front sup (2.07); L Gyrus pariet inf-Angular (2.05); L Gyrus oc-temp lat-fusifor (2.05); L Gyrus oc-temp med-Parahip (2.05),/content/drive/MyDrive/New project/deliverables/figures/brain_frames_0p5s/Good_Will_Dunkin_20260429_185624/frame_0018_0009.0s.png
19,9.5,228,9,R Gyrus and Sulcus occipital inf (2.13); L Sulcus oc-temp med and Lingual (2.08); L Sulcus oc-temp lat (2.07); R Gyrus and Sulcus cingul-Ant (2.07); L Gyrus front sup (2.07); L Gyrus pariet inf-Angular (2.05); L Gyrus oc-temp lat-fusifor (2.05); L Gyrus oc-temp med-Parahip (2.05),/content/drive/MyDrive/New project/deliverables/figures/brain_frames_0p5s/Good_Will_Dunkin_20260429_185624/frame_0019_0009.5s.png
20,10.0,240,10,L Gyrus front sup (2.28); R Sulcus suborbital (2.09); R Gyrus and Sulcus occipital inf (2.06); R Gyrus and Sulcus frontomargin (2.03); L Gyrus pariet inf-Angular (2.02); R Gyrus front sup (2.01); L Gyrus oc-temp med-Parahip (2.00); L Sulcus oc-temp med and Lingual (2.00),/content/drive/MyDrive/New project/deliverables/figures/brain_frames_0p5s/Good_Will_Dunkin_20260429_185624/frame_0020_0010.0s.png
21,10.5,252,10,L Gyrus front sup (2.28); R Sulcus suborbital (2.09); R Gyrus and Sulcus occipital inf (2.06); R Gyrus and Sulcus frontomargin (2.03); L Gyrus pariet inf-Angular (2.02); R Gyrus front sup (2.01); L Gyrus oc-temp med-Parahip (2.00); L Sulcus oc-temp med and Lingual (2.00),/content/drive/MyDrive/New project/deliverables/figures/brain_frames_0p5s/Good_Will_Dunkin_20260429_185624/frame_0021_0010.5s.png
22,11.0,264,11,R Gyrus and Sulcus frontomargin (2.07); R Gyrus and Sulcus cingul-Ant (2.00); L Gyrus pariet inf-Angular (1.98); R Sulcus suborbital (1.95); R Gyrus precuneus (1.94); L Gyrus front sup (1.94); L Gyrus oc-temp med-Parahip (1.94); L Sulcus oc-temp med and Lingual (1.93),/content/drive/MyDrive/New project/deliverables/figures/brain_frames_0p5s/Good_Will_Dunkin_20260429_185624/frame_0022_0011.0s.png
23,11.5,276,11,R Gyrus and Sulcus frontomargin (2.07); R Gyrus and Sulcus cingul-Ant (2.00); L Gyrus pariet inf-Angular (1.98); R Sulcus suborbital (1.95); R Gyrus precuneus (1.94); L Gyrus front sup (1.94); L Gyrus oc-temp med-Parahip (1.94); L Sulcus oc-temp med and Lingual (1.93),/content/drive/MyDrive/New project/deliverables/figures/brain_frames_0p5s/Good_Will_Dunkin_20260429_185624/frame_0023_0011.5s.png
24,12.0,288,12,R Gyrus front inf-Opercular (1.95); R Gyrus precuneus (1.93); R Gyrus and Sulcus cingul-Mid-Post (1.93); L Gyrus oc-temp med-Parahip (1.92); L Gyrus temporal middle (1.92); R Gyrus rectus (1.91); R Gyrus postcentral (1.90); R Gyrus cuneus (1.90),/content/drive/MyDrive/New project/deliverables/figures/brain_frames_0p5s/Good_Will_Dunkin_20260429_185624/frame_0024_0012.0s.png
