index,time_sec,video_frame_index,prediction_index,top_regions,png_path
0,0.0,0,0,R Sulcus front sup (2.64); R Sulcus orbital-H Shaped (2.48); L Sulcus orbital-H Shaped (2.45); R Gyrus rectus (2.30); R Gyrus temporal middle (2.27); R Sulcus orbital med-olfact (2.16); L Sulcus orbital lateral (2.14); L Gyrus front inf-Orbital (2.10),/content/drive/MyDrive/New project/deliverables/figures/brain_frames_0p5s/The_Choice_Pepsi_Super_Bowl_20260429_022611/frame_0000_0000.0s.png
1,0.5,12,0,R Sulcus front sup (2.64); R Sulcus orbital-H Shaped (2.48); L Sulcus orbital-H Shaped (2.45); R Gyrus rectus (2.30); R Gyrus temporal middle (2.27); R Sulcus orbital med-olfact (2.16); L Sulcus orbital lateral (2.14); L Gyrus front inf-Orbital (2.10),/content/drive/MyDrive/New project/deliverables/figures/brain_frames_0p5s/The_Choice_Pepsi_Super_Bowl_20260429_022611/frame_0001_0000.5s.png
2,1.0,24,1,R Sulcus front sup (2.45); R Gyrus temporal inf (2.33); R Pole temporal (2.23); R Gyrus temporal middle (2.19); R Gyrus oc-temp med-Parahip (2.17); R Sulcus orbital lateral (2.16); R Gyrus rectus (2.15); R Gyrus front inf-Orbital (2.11),/content/drive/MyDrive/New project/deliverables/figures/brain_frames_0p5s/The_Choice_Pepsi_Super_Bowl_20260429_022611/frame_0002_0001.0s.png
3,1.5,36,1,R Sulcus front sup (2.45); R Gyrus temporal inf (2.33); R Pole temporal (2.23); R Gyrus temporal middle (2.19); R Gyrus oc-temp med-Parahip (2.17); R Sulcus orbital lateral (2.16); R Gyrus rectus (2.15); R Gyrus front inf-Orbital (2.11),/content/drive/MyDrive/New project/deliverables/figures/brain_frames_0p5s/The_Choice_Pepsi_Super_Bowl_20260429_022611/frame_0003_0001.5s.png
4,2.0,48,2,R Pole temporal (2.41); R Sulcus intrapariet and P trans (2.29); R Gyrus oc-temp lat-fusifor (2.24); R Gyrus parietal sup (2.22); R Gyrus temp sup-Plan tempo (2.20); R Sulcus postcentral (2.20); R Sulcus orbital lateral (2.18); R Gyrus and Sulcus frontomargin (2.17),/content/drive/MyDrive/New project/deliverables/figures/brain_frames_0p5s/The_Choice_Pepsi_Super_Bowl_20260429_022611/frame_0004_0002.0s.png
5,2.5,60,2,R Pole temporal (2.41); R Sulcus intrapariet and P trans (2.29); R Gyrus oc-temp lat-fusifor (2.24); R Gyrus parietal sup (2.22); R Gyrus temp sup-Plan tempo (2.20); R Sulcus postcentral (2.20); R Sulcus orbital lateral (2.18); R Gyrus and Sulcus frontomargin (2.17),/content/drive/MyDrive/New project/deliverables/figures/brain_frames_0p5s/The_Choice_Pepsi_Super_Bowl_20260429_022611/frame_0005_0002.5s.png
6,3.0,72,3,R Sulcus orbital lateral (2.07); R Pole temporal (2.06); R Gyrus oc-temp lat-fusifor (1.99); R Sulcus orbital-H Shaped (1.95); L Gyrus temporal inf (1.91); R Sulcus intrapariet and P trans (1.85); R Sulcus oc-temp lat (1.85); R Sulcus collat transv ant (1.84),/content/drive/MyDrive/New project/deliverables/figures/brain_frames_0p5s/The_Choice_Pepsi_Super_Bowl_20260429_022611/frame_0006_0003.0s.png
7,3.5,84,3,R Sulcus orbital lateral (2.07); R Pole temporal (2.06); R Gyrus oc-temp lat-fusifor (1.99); R Sulcus orbital-H Shaped (1.95); L Gyrus temporal inf (1.91); R Sulcus intrapariet and P trans (1.85); R Sulcus oc-temp lat (1.85); R Sulcus collat transv ant (1.84),/content/drive/MyDrive/New project/deliverables/figures/brain_frames_0p5s/The_Choice_Pepsi_Super_Bowl_20260429_022611/frame_0007_0003.5s.png
8,4.0,96,4,R Gyrus temp sup-Plan tempo (1.85); R Sulcus orbital-H Shaped (1.80); R Gyrus pariet inf-Supramar (1.79); L Gyrus precentral (1.76); L Sulcus collat transv ant (1.74); L Gyrus rectus (1.73); L Lat Fis-ant-Vertical (1.73); R Lat Fis-ant-Horizont (1.71),/content/drive/MyDrive/New project/deliverables/figures/brain_frames_0p5s/The_Choice_Pepsi_Super_Bowl_20260429_022611/frame_0008_0004.0s.png
9,4.5,108,4,R Gyrus temp sup-Plan tempo (1.85); R Sulcus orbital-H Shaped (1.80); R Gyrus pariet inf-Supramar (1.79); L Gyrus precentral (1.76); L Sulcus collat transv ant (1.74); L Gyrus rectus (1.73); L Lat Fis-ant-Vertical (1.73); R Lat Fis-ant-Horizont (1.71),/content/drive/MyDrive/New project/deliverables/figures/brain_frames_0p5s/The_Choice_Pepsi_Super_Bowl_20260429_022611/frame_0009_0004.5s.png
