type,start,duration,timeline,subject,session,task,run,filepath,frequency,offset,stop,text,sequence_id,sentence,language,sentence_char,text_char,context,modality
Audio,0.0,30.09,default,default,,,,/content/drive/MyDrive/tribetest/superball6~16/2026년 버드 라이트 슈퍼볼 광고   맥주통   30초.wav,44100.0,0.0,30.09,,,,,,,,
Video,0.0,30.09,default,default,,,,/content/drive/MyDrive/tribetest/superball6~16/2026년 버드 라이트 슈퍼볼 광고   맥주통   30초.mp4,23.976023976023978,0.0,30.09,,,,,,,,
Sentence,0.9549989999999999,0.740002,default,default,,,,,,,1.695001,"Ooh, what's that?. ",,,,,,,
Text,0.955,26.545,default,default,,,,,,,27.5,"Ooh, what's that?. First beer of the wedding. Is there enough for everyone?. Oh, right there. I got this. Oh, oh, this is not necessary. There's a trail. Heck of a wedding, huh?",0.0,,english,,,,
Word,0.955,0.18000000000000005,default,default,,,,,,,1.135,"Ooh,",0.0,"Ooh, what's that?. ",english,0.0,0.0,"Ooh,",
Word,1.255,0.18000000000000016,default,default,,,,,,,1.435,what's,0.0,"Ooh, what's that?. ",english,5.0,5.0,"Ooh, what's",
Word,1.475,0.21999999999999997,default,default,,,,,,,1.695,that?,0.0,"Ooh, what's that?. ",english,12.0,12.0,"Ooh, what's that?",
Sentence,1.854999,0.7800019999999998,default,default,,,,,,,2.635001,First beer of the wedding. ,,,,,,,
Word,1.855,0.18000000000000016,default,default,,,,,,,2.035,First,1.0,First beer of the wedding. ,english,0.0,19.0,"Ooh, what's that?. First",
Word,2.075,0.13999999999999968,default,default,,,,,,,2.215,beer,1.0,First beer of the wedding. ,english,6.0,25.0,"Ooh, what's that?. First beer",
Word,2.235,0.040000000000000036,default,default,,,,,,,2.275,of,1.0,First beer of the wedding. ,english,11.0,30.0,"Ooh, what's that?. First beer of",
Word,2.295,0.06000000000000005,default,default,,,,,,,2.355,the,1.0,First beer of the wedding. ,english,14.0,33.0,"Ooh, what's that?. First beer of the",
Word,2.395,0.23999999999999977,default,default,,,,,,,2.635,wedding.,1.0,First beer of the wedding. ,english,18.0,37.0,"Ooh, what's that?. First beer of the wedding.",
Sentence,2.6749989999999997,0.9410020000000002,default,default,,,,,,,3.616001,Is there enough for everyone?. ,,,,,,,
Word,2.675,0.06000000000000005,default,default,,,,,,,2.735,Is,2.0,Is there enough for everyone?. ,english,0.0,46.0,"Ooh, what's that?. First beer of the wedding. Is",
Word,2.755,0.14000000000000012,default,default,,,,,,,2.895,there,2.0,Is there enough for everyone?. ,english,3.0,49.0,"Ooh, what's that?. First beer of the wedding. Is there",
Word,2.935,0.18000000000000016,default,default,,,,,,,3.115,enough,2.0,Is there enough for everyone?. ,english,9.0,55.0,"Ooh, what's that?. First beer of the wedding. Is there enough",
Word,3.135,0.10000000000000009,default,default,,,,,,,3.235,for,2.0,Is there enough for everyone?. ,english,16.0,62.0,"Ooh, what's that?. First beer of the wedding. Is there enough for",
Word,3.295,0.3210000000000002,default,default,,,,,,,3.616,everyone?,2.0,Is there enough for everyone?. ,english,20.0,66.0,"Ooh, what's that?. First beer of the wedding. Is there enough for everyone?",
Sentence,3.735999,0.480002,default,default,,,,,,,4.216001,"Oh, right there. ",,,,,,,
Word,3.736,0.13999999999999968,default,default,,,,,,,3.876,"Oh,",3.0,"Oh, right there. ",english,0.0,77.0,"Ooh, what's that?. First beer of the wedding. Is there enough for everyone?. Oh,",
Word,3.896,0.1200000000000001,default,default,,,,,,,4.016,right,3.0,"Oh, right there. ",english,4.0,81.0,"Ooh, what's that?. First beer of the wedding. Is there enough for everyone?. Oh, right",
Word,4.036,0.1800000000000006,default,default,,,,,,,4.216,there.,3.0,"Oh, right there. ",english,10.0,87.0,"Ooh, what's that?. First beer of the wedding. Is there enough for everyone?. Oh, right there.",
Sentence,6.455999,0.4400019999999995,default,default,,,,,,,6.896001,I got this. ,,,,,,,
Word,6.456,0.07999999999999918,default,default,,,,,,,6.536,I,4.0,I got this. ,english,0.0,94.0,"Ooh, what's that?. First beer of the wedding. Is there enough for everyone?. Oh, right there. I",
Word,6.556,0.1200000000000001,default,default,,,,,,,6.676,got,4.0,I got this. ,english,2.0,96.0,"Ooh, what's that?. First beer of the wedding. Is there enough for everyone?. Oh, right there. I got",
Word,6.716,0.17999999999999972,default,default,,,,,,,6.896,this.,4.0,I got this. ,english,6.0,100.0,"Ooh, what's that?. First beer of the wedding. Is there enough for everyone?. Oh, right there. I got this.",
