type,start,duration,timeline,subject,session,task,run,filepath,frequency,offset,stop,text,sequence_id,sentence,language,sentence_char,text_char,context,modality
Audio,0.0,30.09,default,default,,,,/content/gdrive/MyDrive/tribetest/29~38/Bananas   Instacart Big Game Commercial.wav,44100.0,0.0,30.09,,,,,,,,
Video,0.0,30.09,default,default,,,,/content/gdrive/MyDrive/tribetest/29~38/Bananas   Instacart Big Game Commercial.mp4,23.976023976023978,0.0,30.09,,,,,,,,
Sentence,2.2429989999999997,2.121002,default,default,,,,,,,4.364001,Instacart lets you choose your bananas. ,,,,,,,
Text,2.243,27.032,default,default,,,,,,,29.275,"Instacart lets you choose your bananas. Get them just how you like. Instacart lets you choose your bananas. From green to extra ripe. Use the app to control your bananas. What a time to be alive. I think you don't believe. What a time to be alive. No, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no,",0.0,,english,,,,
Word,2.243,0.6200000000000001,default,default,,,,,,,2.863,Instacart,0.0,Instacart lets you choose your bananas. ,english,0.0,0.0,Instacart,
Word,2.883,0.2200000000000002,default,default,,,,,,,3.103,lets,0.0,Instacart lets you choose your bananas. ,english,10.0,10.0,Instacart lets,
Word,3.123,0.0999999999999996,default,default,,,,,,,3.223,you,0.0,Instacart lets you choose your bananas. ,english,15.0,15.0,Instacart lets you,
Word,3.243,0.2610000000000001,default,default,,,,,,,3.504,choose,0.0,Instacart lets you choose your bananas. ,english,19.0,19.0,Instacart lets you choose,
Word,3.524,0.1400000000000001,default,default,,,,,,,3.664,your,0.0,Instacart lets you choose your bananas. ,english,26.0,26.0,Instacart lets you choose your,
Word,3.764,0.6000000000000001,default,default,,,,,,,4.364,bananas.,0.0,Instacart lets you choose your bananas. ,english,31.0,31.0,Instacart lets you choose your bananas.,
Sentence,4.403999,1.941002,default,default,,,,,,,6.345001,Get them just how you like. ,,,,,,,
