type,start,duration,timeline,subject,session,task,run,filepath,frequency,offset,stop,text,sequence_id,sentence,language,sentence_char,text_char,context,modality
Audio,0.0,30.09,default,default,,,,/content/drive/MyDrive/연선 tribe/New project/Bet On Kendall 30   Fanatics Sportsbook.wav,44100.0,0.0,30.09,,,,,,,,
Video,0.0,30.09,default,default,,,,/content/drive/MyDrive/연선 tribe/New project/Bet On Kendall 30   Fanatics Sportsbook.mp4,23.976023976023978,0.0,30.09,,,,,,,,
Sentence,0.090999,4.1230020000000005,default,default,,,,,,,4.2140010000000006,"Betting on the right guy with fanatic sportsbook, explained by kendall jenner. ",,,,,,,
Text,0.091,29.883,default,default,,,,,,,29.974,"Betting on the right guy with fanatic sportsbook, explained by kendall jenner. Haven't you heard?. The internet says i'm cursed. Any basketball player who dates me kind of gets bad luck. While the world's been talking about it, i've been betting on it. How do you think i am bored all of this?. Modeling?. But today, it's time to bet on something new. Football players with fanatic sportsbook. Let's get that ring, boys",0.0,,english,,,,
Word,0.091,0.30000000000000004,default,default,,,,,,,0.391,Betting,0.0,"Betting on the right guy with fanatic sportsbook, explained by kendall jenner. ",english,0.0,0.0,Betting,
Word,0.471,0.08000000000000007,default,default,,,,,,,0.551,on,0.0,"Betting on the right guy with fanatic sportsbook, explained by kendall jenner. ",english,8.0,8.0,Betting on,
Word,0.571,0.08000000000000007,default,default,,,,,,,0.651,the,0.0,"Betting on the right guy with fanatic sportsbook, explained by kendall jenner. ",english,11.0,11.0,Betting on the,
Word,0.711,0.20100000000000007,default,default,,,,,,,0.912,right,0.0,"Betting on the right guy with fanatic sportsbook, explained by kendall jenner. ",english,15.0,15.0,Betting on the right,
Word,0.952,0.3400000000000001,default,default,,,,,,,1.292,guy,0.0,"Betting on the right guy with fanatic sportsbook, explained by kendall jenner. ",english,21.0,21.0,Betting on the right guy,
Word,1.472,0.14000000000000012,default,default,,,,,,,1.612,with,0.0,"Betting on the right guy with fanatic sportsbook, explained by kendall jenner. ",english,25.0,25.0,Betting on the right guy with,
Word,1.632,0.3800000000000001,default,default,,,,,,,2.012,Fanatic,0.0,"Betting on the right guy with fanatic sportsbook, explained by kendall jenner. ",english,30.0,30.0,Betting on the right guy with fanatic,
Word,2.052,0.5409999999999999,default,default,,,,,,,2.593,"Sportsbook,",0.0,"Betting on the right guy with fanatic sportsbook, explained by kendall jenner. ",english,38.0,38.0,"Betting on the right guy with fanatic sportsbook,",
Word,2.813,0.45999999999999996,default,default,,,,,,,3.273,explained,0.0,"Betting on the right guy with fanatic sportsbook, explained by kendall jenner. ",english,50.0,50.0,"Betting on the right guy with fanatic sportsbook, explained",
Word,3.333,0.11999999999999966,default,default,,,,,,,3.453,by,0.0,"Betting on the right guy with fanatic sportsbook, explained by kendall jenner. ",english,60.0,60.0,"Betting on the right guy with fanatic sportsbook, explained by",
Word,3.493,0.30100000000000016,default,default,,,,,,,3.794,Kendall,0.0,"Betting on the right guy with fanatic sportsbook, explained by kendall jenner. ",english,63.0,63.0,"Betting on the right guy with fanatic sportsbook, explained by kendall",
Word,3.814,0.40000000000000036,default,default,,,,,,,4.214,Jenner.,0.0,"Betting on the right guy with fanatic sportsbook, explained by kendall jenner. ",english,71.0,71.0,"Betting on the right guy with fanatic sportsbook, explained by kendall jenner.",
Sentence,5.214999,0.7000020000000001,default,default,,,,,,,5.915001,Haven't you heard?. ,,,,,,,
Word,5.215,0.2400000000000002,default,default,,,,,,,5.455,Haven't,1.0,Haven't you heard?. ,english,0.0,79.0,"Betting on the right guy with fanatic sportsbook, explained by kendall jenner. Haven't",
Word,5.495,0.09999999999999964,default,default,,,,,,,5.595,you,1.0,Haven't you heard?. ,english,8.0,87.0,"Betting on the right guy with fanatic sportsbook, explained by kendall jenner. Haven't you",
Word,5.635,0.28000000000000025,default,default,,,,,,,5.915,heard?,1.0,Haven't you heard?. ,english,12.0,91.0,"Betting on the right guy with fanatic sportsbook, explained by kendall jenner. Haven't you heard?",
Sentence,6.314999,1.3010019999999993,default,default,,,,,,,7.616001,The internet says i'm cursed. ,,,,,,,
