type,start,duration,timeline,subject,session,task,run,filepath,frequency,offset,stop,text,sequence_id,sentence,language,sentence_char,text_char,context,modality
Audio,0.0,60.12,default,default,,,,/content/gdrive/MyDrive/tribetest/Budweiser   Super Bowl LX Commercial 'American Icons'.wav,44100.0,0.0,60.12,,,,,,,,
Video,0.0,60.12,default,default,,,,/content/gdrive/MyDrive/tribetest/Budweiser   Super Bowl LX Commercial 'American Icons'.mp4,23.976023976023978,0.0,60.12,,,,,,,,
Sentence,6.818999,49.553002,default,default,,,,,,,56.372001,Because i'm as free as a bird now and this purchase you crying?. ,,,,,,,
Text,6.819,50.394999999999996,default,default,,,,,,,57.214,Because i'm as free as a bird now and this purchase you crying?. Signs in my eyes,0.0,,english,,,,
Word,6.819,0.6210000000000004,default,default,,,,,,,7.44,Because,0.0,Because i'm as free as a bird now and this purchase you crying?. ,english,0.0,0.0,Because,
Word,7.54,0.4400000000000004,default,default,,,,,,,7.98,I'm,0.0,Because i'm as free as a bird now and this purchase you crying?. ,english,8.0,8.0,Because i'm,
Word,8.36,0.120000000000001,default,default,,,,,,,8.48,as,0.0,Because i'm as free as a bird now and this purchase you crying?. ,english,12.0,12.0,Because i'm as,
Word,8.581,0.08,default,default,,,,,,,8.661,free,0.0,Because i'm as free as a bird now and this purchase you crying?. ,english,15.0,15.0,Because i'm as free,
Word,8.981,0.3599999999999994,default,default,,,,,,,9.341,as,0.0,Because i'm as free as a bird now and this purchase you crying?. ,english,20.0,20.0,Because i'm as free as,
Word,9.541,0.1399999999999988,default,default,,,,,,,9.681,a,0.0,Because i'm as free as a bird now and this purchase you crying?. ,english,23.0,23.0,Because i'm as free as a,
Word,9.721,0.221,default,default,,,,,,,9.942,bird,0.0,Because i'm as free as a bird now and this purchase you crying?. ,english,25.0,25.0,Because i'm as free as a bird,
Word,10.002,0.4599999999999991,default,default,,,,,,,10.462,now,0.0,Because i'm as free as a bird now and this purchase you crying?. ,english,30.0,30.0,Because i'm as free as a bird now,
Word,10.862,0.2400000000000002,default,default,,,,,,,11.102,And,0.0,Because i'm as free as a bird now and this purchase you crying?. ,english,34.0,34.0,Because i'm as free as a bird now and,
Word,11.162,0.3209999999999997,default,default,,,,,,,11.483,this,0.0,Because i'm as free as a bird now and this purchase you crying?. ,english,38.0,38.0,Because i'm as free as a bird now and this,
Word,11.543,0.3399999999999998,default,default,,,,,,,11.883,purchase,0.0,Because i'm as free as a bird now and this purchase you crying?. ,english,43.0,43.0,Because i'm as free as a bird now and this purchase,
Word,54.527,0.1400000000000005,default,default,,,,,,,54.667,You,1.0,Because i'm as free as a bird now and this purchase you crying?. ,english,52.0,52.0,Because i'm as free as a bird now and this purchase you,
Word,54.688,1.6839999999999975,default,default,,,,,,,56.372,crying?,1.0,Because i'm as free as a bird now and this purchase you crying?. ,english,56.0,56.0,Because i'm as free as a bird now and this purchase you crying?,
Sentence,56.411999,0.8020019999999995,default,default,,,,,,,57.214001,Signs in my eyes,,,,,,,
Word,56.412,0.2610000000000028,default,default,,,,,,,56.673,Signs,2.0,Signs in my eyes,english,0.0,65.0,Because i'm as free as a bird now and this purchase you crying?. Signs,
Word,56.713,0.0799999999999983,default,default,,,,,,,56.793,in,2.0,Signs in my eyes,english,6.0,71.0,Because i'm as free as a bird now and this purchase you crying?. Signs in,
Word,56.813,0.1400000000000005,default,default,,,,,,,56.953,my,2.0,Signs in my eyes,english,9.0,74.0,Because i'm as free as a bird now and this purchase you crying?. Signs in my,
Word,57.074,0.1400000000000005,default,default,,,,,,,57.214,eyes.,2.0,Signs in my eyes,english,12.0,77.0,Because i'm as free as a bird now and this purchase you crying?. Signs in my eyes,
