type,start,duration,timeline,subject,session,task,run,filepath,frequency,offset,stop,text,sequence_id,sentence,language,sentence_char,text_char,context,modality
Audio,0.0,60.12,default,default,,,,/content/drive/MyDrive/연선 tribe/New project/Cadillac Formula 1 Team 2026 Livery Reveal   The Mission Begins.wav,44100.0,0.0,60.12,,,,,,,,
Video,0.0,60.12,default,default,,,,/content/drive/MyDrive/연선 tribe/New project/Cadillac Formula 1 Team 2026 Livery Reveal   The Mission Begins.mp4,23.976023976023978,0.0,60.12,,,,,,,,
Sentence,2.9769989999999997,3.9210019999999997,default,default,,,,,,,6.898000999999999,We choose to go to the moon in this decade and do the other things. ,,,,,,,
Text,2.977,51.637,default,default,,,,,,,54.614,"We choose to go to the moon in this decade and do the other things. Not because they are easy, but because they are hard. That goal will serve to organize and measure the best of our energies and skills. That challenge is one that we're willing to accept. One we are unwilling to postpone. Ignition sequence start. And one we intend to win. All engines on. Liftoff. We have a liftoff",0.0,,english,,,,
Word,2.977,0.38000000000000034,default,default,,,,,,,3.357,We,0.0,We choose to go to the moon in this decade and do the other things. ,english,0.0,0.0,We,
Word,3.397,0.4200000000000004,default,default,,,,,,,3.817,choose,0.0,We choose to go to the moon in this decade and do the other things. ,english,3.0,3.0,We choose,
Word,3.837,0.11999999999999966,default,default,,,,,,,3.957,to,0.0,We choose to go to the moon in this decade and do the other things. ,english,10.0,10.0,We choose to,
Word,3.997,0.17999999999999972,default,default,,,,,,,4.177,go,0.0,We choose to go to the moon in this decade and do the other things. ,english,13.0,13.0,We choose to go,
Word,4.197,0.09999999999999964,default,default,,,,,,,4.297,to,0.0,We choose to go to the moon in this decade and do the other things. ,english,16.0,16.0,We choose to go to,
Word,4.317,0.13999999999999968,default,default,,,,,,,4.457,the,0.0,We choose to go to the moon in this decade and do the other things. ,english,19.0,19.0,We choose to go to the,
Word,4.477,0.35999999999999943,default,default,,,,,,,4.837,moon,0.0,We choose to go to the moon in this decade and do the other things. ,english,23.0,23.0,We choose to go to the moon,
Word,4.897,0.09999999999999964,default,default,,,,,,,4.997,in,0.0,We choose to go to the moon in this decade and do the other things. ,english,28.0,28.0,We choose to go to the moon in,
Word,5.017,0.1999999999999993,default,default,,,,,,,5.217,this,0.0,We choose to go to the moon in this decade and do the other things. ,english,31.0,31.0,We choose to go to the moon in this,
Word,5.257,0.5010000000000003,default,default,,,,,,,5.758,decade,0.0,We choose to go to the moon in this decade and do the other things. ,english,36.0,36.0,We choose to go to the moon in this decade,
Word,5.838,0.09999999999999964,default,default,,,,,,,5.938,and,0.0,We choose to go to the moon in this decade and do the other things. ,english,43.0,43.0,We choose to go to the moon in this decade and,
Word,5.978,0.14000000000000057,default,default,,,,,,,6.118,do,0.0,We choose to go to the moon in this decade and do the other things. ,english,47.0,47.0,We choose to go to the moon in this decade and do,
Word,6.158,0.09999999999999964,default,default,,,,,,,6.258,the,0.0,We choose to go to the moon in this decade and do the other things. ,english,50.0,50.0,We choose to go to the moon in this decade and do the,
Word,6.318,0.1800000000000006,default,default,,,,,,,6.498,other,0.0,We choose to go to the moon in this decade and do the other things. ,english,54.0,54.0,We choose to go to the moon in this decade and do the other,
Word,6.538,0.35999999999999943,default,default,,,,,,,6.898,things.,0.0,We choose to go to the moon in this decade and do the other things. ,english,60.0,60.0,We choose to go to the moon in this decade and do the other things.,
Sentence,10.077999,4.261002000000001,default,default,,,,,,,14.339001000000001,"Not because they are easy, but because they are hard. ",,,,,,,
Word,10.078,0.2400000000000002,default,default,,,,,,,10.318,Not,1.0,"Not because they are easy, but because they are hard. ",english,0.0,68.0,We choose to go to the moon in this decade and do the other things. Not,
Word,10.358,0.5,default,default,,,,,,,10.858,because,1.0,"Not because they are easy, but because they are hard. ",english,4.0,72.0,We choose to go to the moon in this decade and do the other things. Not because,
Word,10.898,0.16000000000000014,default,default,,,,,,,11.058,they,1.0,"Not because they are easy, but because they are hard. ",english,12.0,80.0,We choose to go to the moon in this decade and do the other things. Not because they,
Word,11.139,0.10000000000000142,default,default,,,,,,,11.239,are,1.0,"Not because they are easy, but because they are hard. ",english,17.0,85.0,We choose to go to the moon in this decade and do the other things. Not because they are,
Word,11.379,0.4400000000000013,default,default,,,,,,,11.819,"easy,",1.0,"Not because they are easy, but because they are hard. ",english,21.0,89.0,"We choose to go to the moon in this decade and do the other things. Not because they are easy,",
Word,12.959,0.16000000000000014,default,default,,,,,,,13.119,but,1.0,"Not because they are easy, but because they are hard. ",english,27.0,95.0,"We choose to go to the moon in this decade and do the other things. Not because they are easy, but",
Word,13.179,0.4399999999999995,default,default,,,,,,,13.619,because,1.0,"Not because they are easy, but because they are hard. ",english,31.0,99.0,"We choose to go to the moon in this decade and do the other things. Not because they are easy, but because",
Word,13.639,0.14000000000000057,default,default,,,,,,,13.779,they,1.0,"Not because they are easy, but because they are hard. ",english,39.0,107.0,"We choose to go to the moon in this decade and do the other things. Not because they are easy, but because they",
Word,13.839,0.08000000000000007,default,default,,,,,,,13.919,are,1.0,"Not because they are easy, but because they are hard. ",english,44.0,112.0,"We choose to go to the moon in this decade and do the other things. Not because they are easy, but because they are",
Word,13.959,0.3800000000000008,default,default,,,,,,,14.339,hard.,1.0,"Not because they are easy, but because they are hard. ",english,48.0,116.0,"We choose to go to the moon in this decade and do the other things. Not because they are easy, but because they are hard.",
Sentence,22.720999,7.161002000000002,default,default,,,,,,,29.882001000000002,That goal will serve to organize and measure the best of our energies and skills. ,,,,,,,
Word,22.721,0.28000000000000114,default,default,,,,,,,23.001,That,2.0,That goal will serve to organize and measure the best of our energies and skills. ,english,0.0,122.0,"We choose to go to the moon in this decade and do the other things. Not because they are easy, but because they are hard. That",
Word,23.041,0.5399999999999991,default,default,,,,,,,23.581,goal,2.0,That goal will serve to organize and measure the best of our energies and skills. ,english,5.0,127.0,"We choose to go to the moon in this decade and do the other things. Not because they are easy, but because they are hard. That goal",
Word,24.321,0.23999999999999844,default,default,,,,,,,24.561,will,2.0,That goal will serve to organize and measure the best of our energies and skills. ,english,10.0,132.0,"We choose to go to the moon in this decade and do the other things. Not because they are easy, but because they are hard. That goal will",
Word,24.601,0.35999999999999943,default,default,,,,,,,24.961,serve,2.0,That goal will serve to organize and measure the best of our energies and skills. ,english,15.0,137.0,"We choose to go to the moon in this decade and do the other things. Not because they are easy, but because they are hard. That goal will serve",
Word,24.981,0.13999999999999702,default,default,,,,,,,25.121,to,2.0,That goal will serve to organize and measure the best of our energies and skills. ,english,21.0,143.0,"We choose to go to the moon in this decade and do the other things. Not because they are easy, but because they are hard. That goal will serve to",
Word,25.221,0.6400000000000006,default,default,,,,,,,25.861,organize,2.0,That goal will serve to organize and measure the best of our energies and skills. ,english,24.0,146.0,"We choose to go to the moon in this decade and do the other things. Not because they are easy, but because they are hard. That goal will serve to organize",
Word,25.941,0.10000000000000142,default,default,,,,,,,26.041,and,2.0,That goal will serve to organize and measure the best of our energies and skills. ,english,33.0,155.0,"We choose to go to the moon in this decade and do the other things. Not because they are easy, but because they are hard. That goal will serve to organize and",
Word,26.081,0.35999999999999943,default,default,,,,,,,26.441,measure,2.0,That goal will serve to organize and measure the best of our energies and skills. ,english,37.0,159.0,"We choose to go to the moon in this decade and do the other things. Not because they are easy, but because they are hard. That goal will serve to organize and measure",
Word,26.461,0.10000000000000142,default,default,,,,,,,26.561,the,2.0,That goal will serve to organize and measure the best of our energies and skills. ,english,45.0,167.0,"We choose to go to the moon in this decade and do the other things. Not because they are easy, but because they are hard. That goal will serve to organize and measure the",
Word,26.621,0.33999999999999986,default,default,,,,,,,26.961,best,2.0,That goal will serve to organize and measure the best of our energies and skills. ,english,49.0,171.0,"We choose to go to the moon in this decade and do the other things. Not because they are easy, but because they are hard. That goal will serve to organize and measure the best",
Word,28.582,0.0799999999999983,default,default,,,,,,,28.662,of,2.0,That goal will serve to organize and measure the best of our energies and skills. ,english,54.0,176.0,"We choose to go to the moon in this decade and do the other things. Not because they are easy, but because they are hard. That goal will serve to organize and measure the best of",
Word,28.722,0.09999999999999787,default,default,,,,,,,28.822,our,2.0,That goal will serve to organize and measure the best of our energies and skills. ,english,57.0,179.0,"We choose to go to the moon in this decade and do the other things. Not because they are easy, but because they are hard. That goal will serve to organize and measure the best of our",
