type,start,duration,timeline,subject,session,task,run,filepath,frequency,offset,stop,text,sequence_id,sentence,language,sentence_char,text_char,context,modality
Audio,0.0,30.09,default,default,,,,/content/drive/MyDrive/연선 tribe/New project/DraftKings live superbowl LX.wav,44100.0,0.0,30.09,,,,,,,,
Video,0.0,30.09,default,default,,,,/content/drive/MyDrive/연선 tribe/New project/DraftKings live superbowl LX.mp4,23.976023976023978,0.0,30.09,,,,,,,,
Sentence,1.187999,2.202002,default,default,,,,,,,3.390001,Nobody gets the thrill of being live more than us. ,,,,,,,
Text,1.188,28.664,default,default,,,,,,,29.852,"Nobody gets the thrill of being live more than us. So draftkings trusted us to do this ad live from the super bowl in santa clara. Tonight, live bet the game on draftkings to score your share of $5 million in prizes. There's so many live options to bet on, like seattle or new england. Next td. So bet on all the twists and turns, because when you're live, anything can happen. Oh. Did i get you?. Yeah, a lot",0.0,,english,,,,
Word,1.188,0.28,default,default,,,,,,,1.468,Nobody,0.0,Nobody gets the thrill of being live more than us. ,english,0.0,0.0,Nobody,
Word,1.508,0.15999999999999992,default,default,,,,,,,1.668,gets,0.0,Nobody gets the thrill of being live more than us. ,english,7.0,7.0,Nobody gets,
Word,1.688,0.08099999999999996,default,default,,,,,,,1.769,the,0.0,Nobody gets the thrill of being live more than us. ,english,12.0,12.0,Nobody gets the,
Word,1.809,0.26,default,default,,,,,,,2.069,thrill,0.0,Nobody gets the thrill of being live more than us. ,english,16.0,16.0,Nobody gets the thrill,
Word,2.109,0.040000000000000036,default,default,,,,,,,2.149,of,0.0,Nobody gets the thrill of being live more than us. ,english,23.0,23.0,Nobody gets the thrill of,
Word,2.189,0.18000000000000016,default,default,,,,,,,2.369,being,0.0,Nobody gets the thrill of being live more than us. ,english,26.0,26.0,Nobody gets the thrill of being,
Word,2.469,0.3200000000000003,default,default,,,,,,,2.789,live,0.0,Nobody gets the thrill of being live more than us. ,english,32.0,32.0,Nobody gets the thrill of being live,
Word,2.829,0.1809999999999996,default,default,,,,,,,3.01,more,0.0,Nobody gets the thrill of being live more than us. ,english,37.0,37.0,Nobody gets the thrill of being live more,
Word,3.03,0.1200000000000001,default,default,,,,,,,3.15,than,0.0,Nobody gets the thrill of being live more than us. ,english,42.0,42.0,Nobody gets the thrill of being live more than,
Word,3.27,0.1200000000000001,default,default,,,,,,,3.39,us.,0.0,Nobody gets the thrill of being live more than us. ,english,47.0,47.0,Nobody gets the thrill of being live more than us.,
Sentence,3.469999,4.584002,default,default,,,,,,,8.054001,So draftkings trusted us to do this ad live from the super bowl in santa clara. ,,,,,,,
Word,3.47,0.11999999999999966,default,default,,,,,,,3.59,So,1.0,So draftkings trusted us to do this ad live from the super bowl in santa clara. ,english,0.0,51.0,Nobody gets the thrill of being live more than us. So,
Word,3.63,0.5810000000000004,default,default,,,,,,,4.211,DraftKings,1.0,So draftkings trusted us to do this ad live from the super bowl in santa clara. ,english,3.0,54.0,Nobody gets the thrill of being live more than us. So draftkings,
Word,4.231,0.3600000000000003,default,default,,,,,,,4.591,trusted,1.0,So draftkings trusted us to do this ad live from the super bowl in santa clara. ,english,14.0,65.0,Nobody gets the thrill of being live more than us. So draftkings trusted,
Word,4.751,0.09999999999999964,default,default,,,,,,,4.851,us,1.0,So draftkings trusted us to do this ad live from the super bowl in santa clara. ,english,22.0,73.0,Nobody gets the thrill of being live more than us. So draftkings trusted us,
Word,4.911,0.14000000000000057,default,default,,,,,,,5.051,to,1.0,So draftkings trusted us to do this ad live from the super bowl in santa clara. ,english,25.0,76.0,Nobody gets the thrill of being live more than us. So draftkings trusted us to,
Word,5.071,0.14000000000000057,default,default,,,,,,,5.211,do,1.0,So draftkings trusted us to do this ad live from the super bowl in santa clara. ,english,28.0,79.0,Nobody gets the thrill of being live more than us. So draftkings trusted us to do,
Word,5.251,0.14100000000000001,default,default,,,,,,,5.392,this,1.0,So draftkings trusted us to do this ad live from the super bowl in santa clara. ,english,31.0,82.0,Nobody gets the thrill of being live more than us. So draftkings trusted us to do this,
Word,5.552,0.14000000000000057,default,default,,,,,,,5.692,ad,1.0,So draftkings trusted us to do this ad live from the super bowl in santa clara. ,english,36.0,87.0,Nobody gets the thrill of being live more than us. So draftkings trusted us to do this ad,
Word,5.772,0.39999999999999947,default,default,,,,,,,6.172,live,1.0,So draftkings trusted us to do this ad live from the super bowl in santa clara. ,english,39.0,90.0,Nobody gets the thrill of being live more than us. So draftkings trusted us to do this ad live,
Word,6.192,0.13999999999999968,default,default,,,,,,,6.332,from,1.0,So draftkings trusted us to do this ad live from the super bowl in santa clara. ,english,44.0,95.0,Nobody gets the thrill of being live more than us. So draftkings trusted us to do this ad live from,
Word,6.352,0.09999999999999964,default,default,,,,,,,6.452,the,1.0,So draftkings trusted us to do this ad live from the super bowl in santa clara. ,english,49.0,100.0,Nobody gets the thrill of being live more than us. So draftkings trusted us to do this ad live from the,
Word,6.492,0.24099999999999966,default,default,,,,,,,6.733,Super,1.0,So draftkings trusted us to do this ad live from the super bowl in santa clara. ,english,53.0,104.0,Nobody gets the thrill of being live more than us. So draftkings trusted us to do this ad live from the super,
Word,6.753,0.28000000000000025,default,default,,,,,,,7.033,Bowl,1.0,So draftkings trusted us to do this ad live from the super bowl in santa clara. ,english,59.0,110.0,Nobody gets the thrill of being live more than us. So draftkings trusted us to do this ad live from the super bowl,
Word,7.093,0.1200000000000001,default,default,,,,,,,7.213,in,1.0,So draftkings trusted us to do this ad live from the super bowl in santa clara. ,english,64.0,115.0,Nobody gets the thrill of being live more than us. So draftkings trusted us to do this ad live from the super bowl in,
Word,7.293,0.33999999999999986,default,default,,,,,,,7.633,Santa,1.0,So draftkings trusted us to do this ad live from the super bowl in santa clara. ,english,67.0,118.0,Nobody gets the thrill of being live more than us. So draftkings trusted us to do this ad live from the super bowl in santa,
Word,7.653,0.4010000000000007,default,default,,,,,,,8.054,Clara.,1.0,So draftkings trusted us to do this ad live from the super bowl in santa clara. ,english,73.0,124.0,Nobody gets the thrill of being live more than us. So draftkings trusted us to do this ad live from the super bowl in santa clara.,
Sentence,8.113999000000002,4.6040019999999995,default,default,,,,,,,12.718001000000001,"Tonight, live bet the game on draftkings to score your share of $5 million in prizes. ",,,,,,,
Word,8.114,0.33999999999999986,default,default,,,,,,,8.454,"Tonight,",2.0,"Tonight, live bet the game on draftkings to score your share of $5 million in prizes. ",english,0.0,131.0,"Nobody gets the thrill of being live more than us. So draftkings trusted us to do this ad live from the super bowl in santa clara. Tonight,",
Word,8.514,0.28000000000000114,default,default,,,,,,,8.794,live,2.0,"Tonight, live bet the game on draftkings to score your share of $5 million in prizes. ",english,9.0,140.0,"Nobody gets the thrill of being live more than us. So draftkings trusted us to do this ad live from the super bowl in santa clara. Tonight, live",
Word,8.814,0.1609999999999996,default,default,,,,,,,8.975,bet,2.0,"Tonight, live bet the game on draftkings to score your share of $5 million in prizes. ",english,14.0,145.0,"Nobody gets the thrill of being live more than us. So draftkings trusted us to do this ad live from the super bowl in santa clara. Tonight, live bet",
Word,8.995,0.10000000000000142,default,default,,,,,,,9.095,the,2.0,"Tonight, live bet the game on draftkings to score your share of $5 million in prizes. ",english,18.0,149.0,"Nobody gets the thrill of being live more than us. So draftkings trusted us to do this ad live from the super bowl in santa clara. Tonight, live bet the",
Word,9.115,0.22000000000000064,default,default,,,,,,,9.335,game,2.0,"Tonight, live bet the game on draftkings to score your share of $5 million in prizes. ",english,22.0,153.0,"Nobody gets the thrill of being live more than us. So draftkings trusted us to do this ad live from the super bowl in santa clara. Tonight, live bet the game",
Word,9.395,0.09999999999999964,default,default,,,,,,,9.495,on,2.0,"Tonight, live bet the game on draftkings to score your share of $5 million in prizes. ",english,27.0,158.0,"Nobody gets the thrill of being live more than us. So draftkings trusted us to do this ad live from the super bowl in santa clara. Tonight, live bet the game on",
Word,9.535,0.5399999999999991,default,default,,,,,,,10.075,DraftKings,2.0,"Tonight, live bet the game on draftkings to score your share of $5 million in prizes. ",english,30.0,161.0,"Nobody gets the thrill of being live more than us. So draftkings trusted us to do this ad live from the super bowl in santa clara. Tonight, live bet the game on draftkings",
Word,10.095,0.10099999999999909,default,default,,,,,,,10.196,to,2.0,"Tonight, live bet the game on draftkings to score your share of $5 million in prizes. ",english,41.0,172.0,"Nobody gets the thrill of being live more than us. So draftkings trusted us to do this ad live from the super bowl in santa clara. Tonight, live bet the game on draftkings to",
Word,10.236,0.3199999999999985,default,default,,,,,,,10.556,score,2.0,"Tonight, live bet the game on draftkings to score your share of $5 million in prizes. ",english,44.0,175.0,"Nobody gets the thrill of being live more than us. So draftkings trusted us to do this ad live from the super bowl in santa clara. Tonight, live bet the game on draftkings to score",
Word,10.616,0.20000000000000107,default,default,,,,,,,10.816,your,2.0,"Tonight, live bet the game on draftkings to score your share of $5 million in prizes. ",english,50.0,181.0,"Nobody gets the thrill of being live more than us. So draftkings trusted us to do this ad live from the super bowl in santa clara. Tonight, live bet the game on draftkings to score your",
Word,10.876,0.22000000000000064,default,default,,,,,,,11.096,share,2.0,"Tonight, live bet the game on draftkings to score your share of $5 million in prizes. ",english,55.0,186.0,"Nobody gets the thrill of being live more than us. So draftkings trusted us to do this ad live from the super bowl in santa clara. Tonight, live bet the game on draftkings to score your share",
Word,11.156,0.05999999999999872,default,default,,,,,,,11.216,of,2.0,"Tonight, live bet the game on draftkings to score your share of $5 million in prizes. ",english,61.0,192.0,"Nobody gets the thrill of being live more than us. So draftkings trusted us to do this ad live from the super bowl in santa clara. Tonight, live bet the game on draftkings to score your share of",
Word,11.597,0.120000000000001,default,default,,,,,,,11.717,$5,2.0,"Tonight, live bet the game on draftkings to score your share of $5 million in prizes. ",english,65.0,196.0,"Nobody gets the thrill of being live more than us. So draftkings trusted us to do this ad live from the super bowl in santa clara. Tonight, live bet the game on draftkings to score your share of $5 ",
Word,11.837,0.3200000000000003,default,default,,,,,,,12.157,million,2.0,"Tonight, live bet the game on draftkings to score your share of $5 million in prizes. ",english,67.0,198.0,"Nobody gets the thrill of being live more than us. So draftkings trusted us to do this ad live from the super bowl in santa clara. Tonight, live bet the game on draftkings to score your share of $5 million",
Word,12.197,0.0600000000000005,default,default,,,,,,,12.257,in,2.0,"Tonight, live bet the game on draftkings to score your share of $5 million in prizes. ",english,75.0,206.0,"Nobody gets the thrill of being live more than us. So draftkings trusted us to do this ad live from the super bowl in santa clara. Tonight, live bet the game on draftkings to score your share of $5 million in",
Word,12.277,0.4410000000000007,default,default,,,,,,,12.718,prizes.,2.0,"Tonight, live bet the game on draftkings to score your share of $5 million in prizes. ",english,78.0,209.0,"Nobody gets the thrill of being live more than us. So draftkings trusted us to do this ad live from the super bowl in santa clara. Tonight, live bet the game on draftkings to score your share of $5 million in prizes.",
Sentence,14.478999,3.9430020000000012,default,default,,,,,,,18.422001,"There's so many live options to bet on, like seattle or new england. ",,,,,,,
Word,14.479,0.2400000000000002,default,default,,,,,,,14.719,There's,3.0,"There's so many live options to bet on, like seattle or new england. ",english,0.0,217.0,"Nobody gets the thrill of being live more than us. So draftkings trusted us to do this ad live from the super bowl in santa clara. Tonight, live bet the game on draftkings to score your share of $5 million in prizes. There's",
Word,14.839,0.20099999999999874,default,default,,,,,,,15.04,so,3.0,"There's so many live options to bet on, like seattle or new england. ",english,8.0,225.0,"Nobody gets the thrill of being live more than us. So draftkings trusted us to do this ad live from the super bowl in santa clara. Tonight, live bet the game on draftkings to score your share of $5 million in prizes. There's so",
Word,15.12,0.1800000000000015,default,default,,,,,,,15.3,many,3.0,"There's so many live options to bet on, like seattle or new england. ",english,11.0,228.0,"Nobody gets the thrill of being live more than us. So draftkings trusted us to do this ad live from the super bowl in santa clara. Tonight, live bet the game on draftkings to score your share of $5 million in prizes. There's so many",
Word,15.36,0.20000000000000107,default,default,,,,,,,15.56,live,3.0,"There's so many live options to bet on, like seattle or new england. ",english,16.0,233.0,"Nobody gets the thrill of being live more than us. So draftkings trusted us to do this ad live from the super bowl in santa clara. Tonight, live bet the game on draftkings to score your share of $5 million in prizes. There's so many live",
Word,15.7,0.3200000000000003,default,default,,,,,,,16.02,options,3.0,"There's so many live options to bet on, like seattle or new england. ",english,21.0,238.0,"Nobody gets the thrill of being live more than us. So draftkings trusted us to do this ad live from the super bowl in santa clara. Tonight, live bet the game on draftkings to score your share of $5 million in prizes. There's so many live options",
Word,16.04,0.10000000000000142,default,default,,,,,,,16.14,to,3.0,"There's so many live options to bet on, like seattle or new england. ",english,29.0,246.0,"Nobody gets the thrill of being live more than us. So draftkings trusted us to do this ad live from the super bowl in santa clara. Tonight, live bet the game on draftkings to score your share of $5 million in prizes. There's so many live options to",
Word,16.18,0.2010000000000005,default,default,,,,,,,16.381,bet,3.0,"There's so many live options to bet on, like seattle or new england. ",english,32.0,249.0,"Nobody gets the thrill of being live more than us. So draftkings trusted us to do this ad live from the super bowl in santa clara. Tonight, live bet the game on draftkings to score your share of $5 million in prizes. There's so many live options to bet",
Word,16.501,0.09999999999999787,default,default,,,,,,,16.601,"on,",3.0,"There's so many live options to bet on, like seattle or new england. ",english,36.0,253.0,"Nobody gets the thrill of being live more than us. So draftkings trusted us to do this ad live from the super bowl in santa clara. Tonight, live bet the game on draftkings to score your share of $5 million in prizes. There's so many live options to bet on,",
Word,16.701,0.21999999999999886,default,default,,,,,,,16.921,like,3.0,"There's so many live options to bet on, like seattle or new england. ",english,40.0,257.0,"Nobody gets the thrill of being live more than us. So draftkings trusted us to do this ad live from the super bowl in santa clara. Tonight, live bet the game on draftkings to score your share of $5 million in prizes. There's so many live options to bet on, like",
Word,17.101,0.48100000000000165,default,default,,,,,,,17.582,Seattle,3.0,"There's so many live options to bet on, like seattle or new england. ",english,45.0,262.0,"Nobody gets the thrill of being live more than us. So draftkings trusted us to do this ad live from the super bowl in santa clara. Tonight, live bet the game on draftkings to score your share of $5 million in prizes. There's so many live options to bet on, like seattle",
Word,17.702,0.11999999999999744,default,default,,,,,,,17.822,or,3.0,"There's so many live options to bet on, like seattle or new england. ",english,53.0,270.0,"Nobody gets the thrill of being live more than us. So draftkings trusted us to do this ad live from the super bowl in santa clara. Tonight, live bet the game on draftkings to score your share of $5 million in prizes. There's so many live options to bet on, like seattle or",
Word,17.882,0.11999999999999744,default,default,,,,,,,18.002,New,3.0,"There's so many live options to bet on, like seattle or new england. ",english,56.0,273.0,"Nobody gets the thrill of being live more than us. So draftkings trusted us to do this ad live from the super bowl in santa clara. Tonight, live bet the game on draftkings to score your share of $5 million in prizes. There's so many live options to bet on, like seattle or new",
Word,18.102,0.3200000000000003,default,default,,,,,,,18.422,England.,3.0,"There's so many live options to bet on, like seattle or new england. ",english,60.0,277.0,"Nobody gets the thrill of being live more than us. So draftkings trusted us to do this ad live from the super bowl in santa clara. Tonight, live bet the game on draftkings to score your share of $5 million in prizes. There's so many live options to bet on, like seattle or new england.",
Sentence,18.541999,0.6410019999999982,default,default,,,,,,,19.183000999999997,Next td. ,,,,,,,
Word,18.542,0.22100000000000009,default,default,,,,,,,18.763,Next,4.0,Next td. ,english,0.0,286.0,"Nobody gets the thrill of being live more than us. So draftkings trusted us to do this ad live from the super bowl in santa clara. Tonight, live bet the game on draftkings to score your share of $5 million in prizes. There's so many live options to bet on, like seattle or new england. Next",
Word,18.803,0.379999999999999,default,default,,,,,,,19.183,TD.,4.0,Next td. ,english,5.0,291.0,"Nobody gets the thrill of being live more than us. So draftkings trusted us to do this ad live from the super bowl in santa clara. Tonight, live bet the game on draftkings to score your share of $5 million in prizes. There's so many live options to bet on, like seattle or new england. Next td.",
Sentence,19.342999,4.084002,default,default,,,,,,,23.427000999999997,"So bet on all the twists and turns, because when you're live, anything can happen. ",,,,,,,
Word,19.343,0.14000000000000057,default,default,,,,,,,19.483,So,5.0,"So bet on all the twists and turns, because when you're live, anything can happen. ",english,0.0,295.0,"Nobody gets the thrill of being live more than us. So draftkings trusted us to do this ad live from the super bowl in santa clara. Tonight, live bet the game on draftkings to score your share of $5 million in prizes. There's so many live options to bet on, like seattle or new england. Next td. So",
Word,19.523,0.1999999999999993,default,default,,,,,,,19.723,bet,5.0,"So bet on all the twists and turns, because when you're live, anything can happen. ",english,3.0,298.0,"Nobody gets the thrill of being live more than us. So draftkings trusted us to do this ad live from the super bowl in santa clara. Tonight, live bet the game on draftkings to score your share of $5 million in prizes. There's so many live options to bet on, like seattle or new england. Next td. So bet",
Word,19.783,0.08099999999999952,default,default,,,,,,,19.864,on,5.0,"So bet on all the twists and turns, because when you're live, anything can happen. ",english,7.0,302.0,"Nobody gets the thrill of being live more than us. So draftkings trusted us to do this ad live from the super bowl in santa clara. Tonight, live bet the game on draftkings to score your share of $5 million in prizes. There's so many live options to bet on, like seattle or new england. Next td. So bet on",
Word,20.004,0.16000000000000014,default,default,,,,,,,20.164,all,5.0,"So bet on all the twists and turns, because when you're live, anything can happen. ",english,10.0,305.0,"Nobody gets the thrill of being live more than us. So draftkings trusted us to do this ad live from the super bowl in santa clara. Tonight, live bet the game on draftkings to score your share of $5 million in prizes. There's so many live options to bet on, like seattle or new england. Next td. So bet on all",
Word,20.184,0.09999999999999787,default,default,,,,,,,20.284,the,5.0,"So bet on all the twists and turns, because when you're live, anything can happen. ",english,14.0,309.0,"Nobody gets the thrill of being live more than us. So draftkings trusted us to do this ad live from the super bowl in santa clara. Tonight, live bet the game on draftkings to score your share of $5 million in prizes. There's so many live options to bet on, like seattle or new england. Next td. So bet on all the",
Word,20.324,0.35999999999999943,default,default,,,,,,,20.684,twists,5.0,"So bet on all the twists and turns, because when you're live, anything can happen. ",english,18.0,313.0,"Nobody gets the thrill of being live more than us. So draftkings trusted us to do this ad live from the super bowl in santa clara. Tonight, live bet the game on draftkings to score your share of $5 million in prizes. There's so many live options to bet on, like seattle or new england. Next td. So bet on all the twists",
Word,20.724,0.0799999999999983,default,default,,,,,,,20.804,and,5.0,"So bet on all the twists and turns, because when you're live, anything can happen. ",english,25.0,320.0,"Nobody gets the thrill of being live more than us. So draftkings trusted us to do this ad live from the super bowl in santa clara. Tonight, live bet the game on draftkings to score your share of $5 million in prizes. There's so many live options to bet on, like seattle or new england. Next td. So bet on all the twists and",
Word,20.864,0.3409999999999975,default,default,,,,,,,21.205,"turns,",5.0,"So bet on all the twists and turns, because when you're live, anything can happen. ",english,29.0,324.0,"Nobody gets the thrill of being live more than us. So draftkings trusted us to do this ad live from the super bowl in santa clara. Tonight, live bet the game on draftkings to score your share of $5 million in prizes. There's so many live options to bet on, like seattle or new england. Next td. So bet on all the twists and turns,",
Word,21.225,0.16000000000000014,default,default,,,,,,,21.385,because,5.0,"So bet on all the twists and turns, because when you're live, anything can happen. ",english,36.0,331.0,"Nobody gets the thrill of being live more than us. So draftkings trusted us to do this ad live from the super bowl in santa clara. Tonight, live bet the game on draftkings to score your share of $5 million in prizes. There's so many live options to bet on, like seattle or new england. Next td. So bet on all the twists and turns, because",
