type,start,duration,timeline,subject,session,task,run,filepath,frequency,offset,stop,text,sequence_id,sentence,language,sentence_char,text_char,context,modality
Audio,0.0,30.09,default,default,,,,/content/gdrive/MyDrive/tribetest/29~38/Grubhub   Big Game 2026   The Feest.wav,44100.0,0.0,30.09,,,,,,,,
Video,0.0,30.09,default,default,,,,/content/gdrive/MyDrive/tribetest/29~38/Grubhub   Big Game 2026   The Feest.mp4,23.976023976023978,0.0,30.09,,,,,,,,
Sentence,1.9769990000000002,2.9250019999999997,default,default,,,,,,,4.902001,"And for the final course, we have the fees. ",,,,,,,
Text,1.977,27.862,default,default,,,,,,,29.839,"And for the final course, we have the fees. Oh, no. Who will eat the fees?. I couldn't possibly stomach the fees. I have a terrible fee allergy. Who will eat the fees?. Grubhub will eat the fees. Grubhub will eat the fees?. Grubhub will eat the fees. Grubhub will eat the fees. Yes, that's what i said. No delivery fees, no service fees, no more fees on restaurant orders over 50",0.0,,english,,,,
Word,1.977,0.1199999999999998,default,default,,,,,,,2.097,And,0.0,"And for the final course, we have the fees. ",english,0.0,0.0,And,
Word,2.178,0.1,default,default,,,,,,,2.278,for,0.0,"And for the final course, we have the fees. ",english,4.0,4.0,And for,
Word,2.298,0.08,default,default,,,,,,,2.378,the,0.0,"And for the final course, we have the fees. ",english,8.0,8.0,And for the,
Word,2.438,0.3199999999999998,default,default,,,,,,,2.758,final,0.0,"And for the final course, we have the fees. ",english,12.0,12.0,And for the final,
Word,2.818,0.3409999999999997,default,default,,,,,,,3.159,"course,",0.0,"And for the final course, we have the fees. ",english,18.0,18.0,"And for the final course,",
Word,3.359,0.1400000000000001,default,default,,,,,,,3.499,we,0.0,"And for the final course, we have the fees. ",english,26.0,26.0,"And for the final course, we",
Word,3.56,0.2999999999999998,default,default,,,,,,,3.86,have,0.0,"And for the final course, we have the fees. ",english,29.0,29.0,"And for the final course, we have",
Word,4.241,0.1000000000000005,default,default,,,,,,,4.341,the,0.0,"And for the final course, we have the fees. ",english,34.0,34.0,"And for the final course, we have the",
Word,4.401,0.5010000000000003,default,default,,,,,,,4.902,fees.,0.0,"And for the final course, we have the fees. ",english,38.0,38.0,"And for the final course, we have the fees.",
Sentence,5.902998999999999,0.9010020000000006,default,default,,,,,,,6.804001,"Oh, no. ",,,,,,,
Word,5.903,0.5610000000000008,default,default,,,,,,,6.464,"Oh,",1.0,"Oh, no. ",english,0.0,44.0,"And for the final course, we have the fees. Oh,",
Word,6.504,0.3000000000000007,default,default,,,,,,,6.804,no.,1.0,"Oh, no. ",english,4.0,48.0,"And for the final course, we have the fees. Oh, no.",
Sentence,6.863999,2.0230020000000004,default,default,,,,,,,8.887001,Who will eat the fees?. ,,,,,,,
Word,6.864,0.4009999999999998,default,default,,,,,,,7.265,Who,2.0,Who will eat the fees?. ,english,0.0,52.0,"And for the final course, we have the fees. Oh, no. Who",
Word,7.445,0.2409999999999996,default,default,,,,,,,7.686,will,2.0,Who will eat the fees?. ,english,4.0,56.0,"And for the final course, we have the fees. Oh, no. Who will",
Word,7.786,0.2000000000000001,default,default,,,,,,,7.986,eat,2.0,Who will eat the fees?. ,english,9.0,61.0,"And for the final course, we have the fees. Oh, no. Who will eat",
Word,8.226,0.1209999999999986,default,default,,,,,,,8.347,the,2.0,Who will eat the fees?. ,english,13.0,65.0,"And for the final course, we have the fees. Oh, no. Who will eat the",
Word,8.407,0.4800000000000004,default,default,,,,,,,8.887,fees?,2.0,Who will eat the fees?. ,english,17.0,69.0,"And for the final course, we have the fees. Oh, no. Who will eat the fees?",
Sentence,9.107999000000001,1.7220019999999996,default,default,,,,,,,10.830001000000001,I couldn't possibly stomach the fees. ,,,,,,,
Word,9.108,0.08,default,default,,,,,,,9.188,I,3.0,I couldn't possibly stomach the fees. ,english,0.0,76.0,"And for the final course, we have the fees. Oh, no. Who will eat the fees?. I",
Word,9.228,0.2400000000000002,default,default,,,,,,,9.468,couldn't,3.0,I couldn't possibly stomach the fees. ,english,2.0,78.0,"And for the final course, we have the fees. Oh, no. Who will eat the fees?. I couldn't",
Word,9.548,0.5210000000000008,default,default,,,,,,,10.069,possibly,3.0,I couldn't possibly stomach the fees. ,english,11.0,87.0,"And for the final course, we have the fees. Oh, no. Who will eat the fees?. I couldn't possibly",
Word,10.109,0.3010000000000001,default,default,,,,,,,10.41,stomach,3.0,I couldn't possibly stomach the fees. ,english,20.0,96.0,"And for the final course, we have the fees. Oh, no. Who will eat the fees?. I couldn't possibly stomach",
Word,10.43,0.08,default,default,,,,,,,10.51,the,3.0,I couldn't possibly stomach the fees. ,english,28.0,104.0,"And for the final course, we have the fees. Oh, no. Who will eat the fees?. I couldn't possibly stomach the",
Word,10.55,0.2799999999999993,default,default,,,,,,,10.83,fees.,3.0,I couldn't possibly stomach the fees. ,english,32.0,108.0,"And for the final course, we have the fees. Oh, no. Who will eat the fees?. I couldn't possibly stomach the fees.",
Sentence,10.889999000000001,2.2840019999999988,default,default,,,,,,,13.174001,I have a terrible fee allergy. ,,,,,,,
Word,10.89,0.0409999999999985,default,default,,,,,,,10.931,I,4.0,I have a terrible fee allergy. ,english,0.0,114.0,"And for the final course, we have the fees. Oh, no. Who will eat the fees?. I couldn't possibly stomach the fees. I",
Word,11.031,0.1799999999999997,default,default,,,,,,,11.211,have,4.0,I have a terrible fee allergy. ,english,2.0,116.0,"And for the final course, we have the fees. Oh, no. Who will eat the fees?. I couldn't possibly stomach the fees. I have",
Word,11.271,0.0399999999999991,default,default,,,,,,,11.311,a,4.0,I have a terrible fee allergy. ,english,7.0,121.0,"And for the final course, we have the fees. Oh, no. Who will eat the fees?. I couldn't possibly stomach the fees. I have a",
Word,11.411,0.5609999999999999,default,default,,,,,,,11.972,terrible,4.0,I have a terrible fee allergy. ,english,9.0,123.0,"And for the final course, we have the fees. Oh, no. Who will eat the fees?. I couldn't possibly stomach the fees. I have a terrible",
