type,start,duration,timeline,subject,session,task,run,filepath,frequency,offset,stop,text,sequence_id,sentence,language,sentence_char,text_char,context,modality
Audio,0.0,60.09,default,default,,,,/content/drive/MyDrive/tribetest/LAY'S®   Last Harvest   Super Bowl LX Commercial.wav,44100.0,0.0,60.09,,,,,,,,
Video,0.0,60.09,default,default,,,,/content/drive/MyDrive/tribetest/LAY'S®   Last Harvest   Super Bowl LX Commercial.mp4,23.94,0.0,60.09,,,,,,,,
Sentence,0.7179989999999999,0.7810020000000001,default,default,,,,,,,1.499001,So i've been thinking. ,,,,,,,
Text,0.718,45.748999999999995,default,default,,,,,,,46.467,"So i've been thinking. Might be time to hang it up. How about one last time, together?. Ok, kiddo. I walked across an empty land. I knew the pathway like the back of my hand. I felt the earth beneath my feet. Sat by the river and it made me complete. I got one. One more thing. It's your farm now. So why don't we go somewhere only we",0.0,,english,,,,
Word,0.718,0.12,default,default,,,,,,,0.838,So,0.0,So i've been thinking. ,english,0.0,0.0,So,
Word,0.858,0.0999999999999999,default,default,,,,,,,0.9579999999999999,I've,0.0,So i've been thinking. ,english,3.0,3.0,So i've,
Word,0.978,0.1400000000000001,default,default,,,,,,,1.118,been,0.0,So i've been thinking. ,english,8.0,8.0,So i've been,
Word,1.138,0.3610000000000002,default,default,,,,,,,1.499,thinking.,0.0,So i've been thinking. ,english,13.0,13.0,So i've been thinking.,
Sentence,4.000999,1.000002,default,default,,,,,,,5.0010010000000005,Might be time to hang it up. ,,,,,,,
Word,4.001,0.1399999999999996,default,default,,,,,,,4.141,Might,1.0,Might be time to hang it up. ,english,0.0,23.0,So i've been thinking. Might,
Word,4.161,0.1000000000000005,default,default,,,,,,,4.261,be,1.0,Might be time to hang it up. ,english,6.0,29.0,So i've been thinking. Might be,
Word,4.281,0.2000000000000001,default,default,,,,,,,4.481,time,1.0,Might be time to hang it up. ,english,9.0,32.0,So i've been thinking. Might be time,
Word,4.501,0.0599999999999996,default,default,,,,,,,4.561,to,1.0,Might be time to hang it up. ,english,14.0,37.0,So i've been thinking. Might be time to,
Word,4.601,0.1399999999999996,default,default,,,,,,,4.741,hang,1.0,Might be time to hang it up. ,english,17.0,40.0,So i've been thinking. Might be time to hang,
Word,4.781,0.0600000000000005,default,default,,,,,,,4.841,it,1.0,Might be time to hang it up. ,english,22.0,45.0,So i've been thinking. Might be time to hang it,
Word,4.921,0.08,default,default,,,,,,,5.001,up.,1.0,Might be time to hang it up. ,english,25.0,48.0,So i've been thinking. Might be time to hang it up.,
Sentence,8.283999000000001,2.061002,default,default,,,,,,,10.345001000000002,"How about one last time, together?. ",,,,,,,
Word,8.284,0.1199999999999992,default,default,,,,,,,8.404,How,2.0,"How about one last time, together?. ",english,0.0,52.0,So i've been thinking. Might be time to hang it up. How,
Word,8.424,0.200000000000001,default,default,,,,,,,8.624,about,2.0,"How about one last time, together?. ",english,4.0,56.0,So i've been thinking. Might be time to hang it up. How about,
Word,8.704,0.08,default,default,,,,,,,8.784,one,2.0,"How about one last time, together?. ",english,10.0,62.0,So i've been thinking. Might be time to hang it up. How about one,
Word,8.824,0.2400000000000002,default,default,,,,,,,9.064,last,2.0,"How about one last time, together?. ",english,14.0,66.0,So i've been thinking. Might be time to hang it up. How about one last,
Word,9.104,0.2410000000000014,default,default,,,,,,,9.345,"time,",2.0,"How about one last time, together?. ",english,19.0,71.0,"So i've been thinking. Might be time to hang it up. How about one last time,",
Word,9.945,0.4000000000000003,default,default,,,,,,,10.345,together?,2.0,"How about one last time, together?. ",english,25.0,77.0,"So i've been thinking. Might be time to hang it up. How about one last time, together?",
Sentence,12.646999000000001,1.8410019999999994,default,default,,,,,,,14.488001,"Ok, kiddo. ",,,,,,,
Word,12.647,0.2799999999999993,default,default,,,,,,,12.927,"OK,",3.0,"Ok, kiddo. ",english,0.0,88.0,"So i've been thinking. Might be time to hang it up. How about one last time, together?. Ok,",
Word,12.947,1.5410000000000004,default,default,,,,,,,14.488,kiddo.,3.0,"Ok, kiddo. ",english,4.0,92.0,"So i've been thinking. Might be time to hang it up. How about one last time, together?. Ok, kiddo.",
Sentence,14.507999,3.9230020000000017,default,default,,,,,,,18.431001000000002,I walked across an empty land. ,,,,,,,
Word,14.508,0.0200000000000013,default,default,,,,,,,14.528,I,4.0,I walked across an empty land. ,english,0.0,99.0,"So i've been thinking. Might be time to hang it up. How about one last time, together?. Ok, kiddo. I",
Word,14.568,0.4009999999999998,default,default,,,,,,,14.969,walked,4.0,I walked across an empty land. ,english,2.0,101.0,"So i've been thinking. Might be time to hang it up. How about one last time, together?. Ok, kiddo. I walked",
Word,15.009,0.6799999999999997,default,default,,,,,,,15.689,across,4.0,I walked across an empty land. ,english,9.0,108.0,"So i've been thinking. Might be time to hang it up. How about one last time, together?. Ok, kiddo. I walked across",
Word,17.15,0.1210000000000022,default,default,,,,,,,17.271,an,4.0,I walked across an empty land. ,english,16.0,115.0,"So i've been thinking. Might be time to hang it up. How about one last time, together?. Ok, kiddo. I walked across an",
Word,17.431,0.4399999999999977,default,default,,,,,,,17.871,empty,4.0,I walked across an empty land. ,english,19.0,118.0,"So i've been thinking. Might be time to hang it up. How about one last time, together?. Ok, kiddo. I walked across an empty",
Word,17.931,0.5,default,default,,,,,,,18.431,land.,4.0,I walked across an empty land. ,english,25.0,124.0,"So i've been thinking. Might be time to hang it up. How about one last time, together?. Ok, kiddo. I walked across an empty land.",
Sentence,19.992998999999998,4.943002000000002,default,default,,,,,,,24.936000999999997,I knew the pathway like the back of my hand. ,,,,,,,
Word,19.993,0.1600000000000001,default,default,,,,,,,20.153,I,5.0,I knew the pathway like the back of my hand. ,english,0.0,130.0,"So i've been thinking. Might be time to hang it up. How about one last time, together?. Ok, kiddo. I walked across an empty land. I",
Word,20.173,0.2800000000000011,default,default,,,,,,,20.453,knew,5.0,I knew the pathway like the back of my hand. ,english,2.0,132.0,"So i've been thinking. Might be time to hang it up. How about one last time, together?. Ok, kiddo. I walked across an empty land. I knew",
Word,20.533,0.2399999999999984,default,default,,,,,,,20.773,the,5.0,I knew the pathway like the back of my hand. ,english,7.0,137.0,"So i've been thinking. Might be time to hang it up. How about one last time, together?. Ok, kiddo. I walked across an empty land. I knew the",
Word,20.813,0.7409999999999997,default,default,,,,,,,21.554,pathway,5.0,I knew the pathway like the back of my hand. ,english,11.0,141.0,"So i've been thinking. Might be time to hang it up. How about one last time, together?. Ok, kiddo. I walked across an empty land. I knew the pathway",
Word,21.594,0.3399999999999998,default,default,,,,,,,21.934,like,5.0,I knew the pathway like the back of my hand. ,english,19.0,149.0,"So i've been thinking. Might be time to hang it up. How about one last time, together?. Ok, kiddo. I walked across an empty land. I knew the pathway like",
Word,21.954,0.2800000000000011,default,default,,,,,,,22.234,the,5.0,I knew the pathway like the back of my hand. ,english,24.0,154.0,"So i've been thinking. Might be time to hang it up. How about one last time, together?. Ok, kiddo. I walked across an empty land. I knew the pathway like the",
