type,start,duration,timeline,subject,session,task,run,filepath,frequency,offset,stop,text,sequence_id,sentence,language,sentence_char,text_char,context,modality
Audio,0.0,30.14,default,default,,,,/content/gdrive/MyDrive/tribetest/29~38/Mike Tyson Takes on the Fight of His Life in Super Bowl.wav,44100.0,0.0,30.14,,,,,,,,
Video,0.0,30.14,default,default,,,,/content/gdrive/MyDrive/tribetest/29~38/Mike Tyson Takes on the Fight of His Life in Super Bowl.mp4,23.976023976023978,0.0,30.14,,,,,,,,
Sentence,0.27099900000000005,1.3410020000000002,default,default,,,,,,,1.6120010000000002,My sister's name was denise. ,,,,,,,
Text,0.271,26.221,default,default,,,,,,,26.492,"My sister's name was denise. She died of obesity at 25. She had a heart attack. I was so fat and nasty. I would eat anything. I was like 345 pounds. A quart of ice cream every hour. I had so much self-hate when i was like that. I just wanted to kill myself. We're the most powerful country in the world, and we have the most obese, fudgy people. Something has to be done about processed food in this country",0.0,,english,,,,
Word,0.271,0.12,default,default,,,,,,,0.391,My,0.0,My sister's name was denise. ,english,0.0,0.0,My,
Word,0.451,0.3809999999999999,default,default,,,,,,,0.8319999999999999,sister's,0.0,My sister's name was denise. ,english,3.0,3.0,My sister's,
Word,0.872,0.16,default,default,,,,,,,1.032,name,0.0,My sister's name was denise. ,english,12.0,12.0,My sister's name,
Word,1.052,0.0999999999999998,default,default,,,,,,,1.152,was,0.0,My sister's name was denise. ,english,17.0,17.0,My sister's name was,
Word,1.192,0.4200000000000001,default,default,,,,,,,1.612,Denise.,0.0,My sister's name was denise. ,english,21.0,21.0,My sister's name was denise.,
Sentence,1.691999,2.0420019999999997,default,default,,,,,,,3.7340009999999997,She died of obesity at 25. ,,,,,,,
Word,1.692,0.1200000000000001,default,default,,,,,,,1.812,She,1.0,She died of obesity at 25. ,english,0.0,29.0,My sister's name was denise. She,
Word,1.872,0.2209999999999998,default,default,,,,,,,2.093,died,1.0,She died of obesity at 25. ,english,4.0,33.0,My sister's name was denise. She died,
Word,2.153,0.04,default,default,,,,,,,2.193,of,1.0,She died of obesity at 25. ,english,9.0,38.0,My sister's name was denise. She died of,
Word,2.293,0.5999999999999996,default,default,,,,,,,2.893,obesity,1.0,She died of obesity at 25. ,english,12.0,41.0,My sister's name was denise. She died of obesity,
Word,2.933,0.4010000000000002,default,default,,,,,,,3.334,at,1.0,She died of obesity at 25. ,english,20.0,49.0,My sister's name was denise. She died of obesity at,
Word,3.414,0.3199999999999998,default,default,,,,,,,3.734,25.,1.0,She died of obesity at 25. ,english,23.0,52.0,My sister's name was denise. She died of obesity at 25.,
Sentence,3.993999,0.8610020000000002,default,default,,,,,,,4.855001000000001,She had a heart attack. ,,,,,,,
Word,3.994,0.1,default,default,,,,,,,4.094,She,2.0,She had a heart attack. ,english,0.0,56.0,My sister's name was denise. She died of obesity at 25. She,
Word,4.134,0.0999999999999996,default,default,,,,,,,4.234,had,2.0,She had a heart attack. ,english,4.0,60.0,My sister's name was denise. She died of obesity at 25. She had,
Word,4.274,0.0199999999999995,default,default,,,,,,,4.294,a,2.0,She had a heart attack. ,english,8.0,64.0,My sister's name was denise. She died of obesity at 25. She had a,
Word,4.314,0.181,default,default,,,,,,,4.495,heart,2.0,She had a heart attack. ,english,10.0,66.0,My sister's name was denise. She died of obesity at 25. She had a heart,
Word,4.535,0.3200000000000003,default,default,,,,,,,4.855,attack.,2.0,She had a heart attack. ,english,16.0,72.0,My sister's name was denise. She died of obesity at 25. She had a heart attack.,
Sentence,6.475999,1.3610019999999998,default,default,,,,,,,7.837001,I was so fat and nasty. ,,,,,,,
Word,6.476,0.0599999999999996,default,default,,,,,,,6.536,I,3.0,I was so fat and nasty. ,english,0.0,80.0,My sister's name was denise. She died of obesity at 25. She had a heart attack. I,
Word,6.576,0.1400000000000005,default,default,,,,,,,6.716,was,3.0,I was so fat and nasty. ,english,2.0,82.0,My sister's name was denise. She died of obesity at 25. She had a heart attack. I was,
Word,6.756,0.1799999999999997,default,default,,,,,,,6.936,so,3.0,I was so fat and nasty. ,english,6.0,86.0,My sister's name was denise. She died of obesity at 25. She had a heart attack. I was so,
Word,7.057,0.2599999999999998,default,default,,,,,,,7.317,fat,3.0,I was so fat and nasty. ,english,9.0,89.0,My sister's name was denise. She died of obesity at 25. She had a heart attack. I was so fat,
Word,7.357,0.08,default,default,,,,,,,7.437,and,3.0,I was so fat and nasty. ,english,13.0,93.0,My sister's name was denise. She died of obesity at 25. She had a heart attack. I was so fat and,
Word,7.477,0.3599999999999994,default,default,,,,,,,7.837,nasty.,3.0,I was so fat and nasty. ,english,17.0,97.0,My sister's name was denise. She died of obesity at 25. She had a heart attack. I was so fat and nasty.,
Sentence,7.896999,1.1210020000000005,default,default,,,,,,,9.018001,I would eat anything. ,,,,,,,
Word,7.897,0.0599999999999996,default,default,,,,,,,7.957,I,4.0,I would eat anything. ,english,0.0,104.0,My sister's name was denise. She died of obesity at 25. She had a heart attack. I was so fat and nasty. I,
Word,7.997,0.1999999999999993,default,default,,,,,,,8.197,would,4.0,I would eat anything. ,english,2.0,106.0,My sister's name was denise. She died of obesity at 25. She had a heart attack. I was so fat and nasty. I would,
Word,8.257,0.1210000000000004,default,default,,,,,,,8.378,eat,4.0,I would eat anything. ,english,8.0,112.0,My sister's name was denise. She died of obesity at 25. She had a heart attack. I was so fat and nasty. I would eat,
Word,8.518,0.5,default,default,,,,,,,9.018,anything.,4.0,I would eat anything. ,english,12.0,116.0,My sister's name was denise. She died of obesity at 25. She had a heart attack. I was so fat and nasty. I would eat anything.,
Sentence,9.377999,2.3020019999999994,default,default,,,,,,,11.680001,I was like 345 pounds. ,,,,,,,
Word,9.378,0.0600000000000005,default,default,,,,,,,9.438,I,5.0,I was like 345 pounds. ,english,0.0,126.0,My sister's name was denise. She died of obesity at 25. She had a heart attack. I was so fat and nasty. I would eat anything. I,
Word,9.478,0.1210000000000004,default,default,,,,,,,9.599,was,5.0,I was like 345 pounds. ,english,2.0,128.0,My sister's name was denise. She died of obesity at 25. She had a heart attack. I was so fat and nasty. I would eat anything. I was,
Word,9.619,0.7400000000000002,default,default,,,,,,,10.359,like,5.0,I was like 345 pounds. ,english,6.0,132.0,My sister's name was denise. She died of obesity at 25. She had a heart attack. I was so fat and nasty. I would eat anything. I was like,
Word,10.379,0.0600000000000005,default,default,,,,,,,10.439,345,5.0,I was like 345 pounds. ,english,11.0,137.0,My sister's name was denise. She died of obesity at 25. She had a heart attack. I was so fat and nasty. I would eat anything. I was like 345,
Word,11.28,0.4000000000000003,default,default,,,,,,,11.68,pounds.,5.0,I was like 345 pounds. ,english,15.0,141.0,My sister's name was denise. She died of obesity at 25. She had a heart attack. I was so fat and nasty. I would eat anything. I was like 345 pounds.,
Sentence,11.699999,1.6610020000000014,default,default,,,,,,,13.361001000000002,A quart of ice cream every hour. ,,,,,,,
Word,11.7,0.0200000000000013,default,default,,,,,,,11.72,A,6.0,A quart of ice cream every hour. ,english,0.0,149.0,My sister's name was denise. She died of obesity at 25. She had a heart attack. I was so fat and nasty. I would eat anything. I was like 345 pounds. A,
Word,11.78,0.3000000000000007,default,default,,,,,,,12.08,quart,6.0,A quart of ice cream every hour. ,english,2.0,151.0,My sister's name was denise. She died of obesity at 25. She had a heart attack. I was so fat and nasty. I would eat anything. I was like 345 pounds. A quart,
Word,12.12,0.0410000000000003,default,default,,,,,,,12.161,of,6.0,A quart of ice cream every hour. ,english,8.0,157.0,My sister's name was denise. She died of obesity at 25. She had a heart attack. I was so fat and nasty. I would eat anything. I was like 345 pounds. A quart of,
Word,12.301,0.1400000000000005,default,default,,,,,,,12.441,ice,6.0,A quart of ice cream every hour. ,english,11.0,160.0,My sister's name was denise. She died of obesity at 25. She had a heart attack. I was so fat and nasty. I would eat anything. I was like 345 pounds. A quart of ice,
Word,12.481,0.2200000000000006,default,default,,,,,,,12.701,cream,6.0,A quart of ice cream every hour. ,english,15.0,164.0,My sister's name was denise. She died of obesity at 25. She had a heart attack. I was so fat and nasty. I would eat anything. I was like 345 pounds. A quart of ice cream,
Word,12.781,0.1999999999999993,default,default,,,,,,,12.981,every,6.0,A quart of ice cream every hour. ,english,21.0,170.0,My sister's name was denise. She died of obesity at 25. She had a heart attack. I was so fat and nasty. I would eat anything. I was like 345 pounds. A quart of ice cream every,
Word,13.161,0.200000000000001,default,default,,,,,,,13.361,hour.,6.0,A quart of ice cream every hour. ,english,27.0,176.0,My sister's name was denise. She died of obesity at 25. She had a heart attack. I was so fat and nasty. I would eat anything. I was like 345 pounds. A quart of ice cream every hour.,
Sentence,13.741999000000002,1.941001999999999,default,default,,,,,,,15.683001,I had so much self-hate when i was like that. ,,,,,,,
Word,13.742,0.0599999999999987,default,default,,,,,,,13.802,I,7.0,I had so much self-hate when i was like that. ,english,0.0,182.0,My sister's name was denise. She died of obesity at 25. She had a heart attack. I was so fat and nasty. I would eat anything. I was like 345 pounds. A quart of ice cream every hour. I,
Word,13.842,0.1399999999999988,default,default,,,,,,,13.982,had,7.0,I had so much self-hate when i was like that. ,english,2.0,184.0,My sister's name was denise. She died of obesity at 25. She had a heart attack. I was so fat and nasty. I would eat anything. I was like 345 pounds. A quart of ice cream every hour. I had,
Word,14.022,0.0999999999999996,default,default,,,,,,,14.122,so,7.0,I had so much self-hate when i was like that. ,english,6.0,188.0,My sister's name was denise. She died of obesity at 25. She had a heart attack. I was so fat and nasty. I would eat anything. I was like 345 pounds. A quart of ice cream every hour. I had so,
Word,14.162,0.1399999999999988,default,default,,,,,,,14.302,much,7.0,I had so much self-hate when i was like that. ,english,9.0,191.0,My sister's name was denise. She died of obesity at 25. She had a heart attack. I was so fat and nasty. I would eat anything. I was like 345 pounds. A quart of ice cream every hour. I had so much,
Word,14.342,0.5809999999999995,default,default,,,,,,,14.923,self-hate,7.0,I had so much self-hate when i was like that. ,english,14.0,196.0,My sister's name was denise. She died of obesity at 25. She had a heart attack. I was so fat and nasty. I would eat anything. I was like 345 pounds. A quart of ice cream every hour. I had so much self-hate,
Word,14.963,0.120000000000001,default,default,,,,,,,15.083,when,7.0,I had so much self-hate when i was like that. ,english,24.0,206.0,My sister's name was denise. She died of obesity at 25. She had a heart attack. I was so fat and nasty. I would eat anything. I was like 345 pounds. A quart of ice cream every hour. I had so much self-hate when,
Word,15.103,0.0199999999999995,default,default,,,,,,,15.123,I,7.0,I had so much self-hate when i was like that. ,english,29.0,211.0,My sister's name was denise. She died of obesity at 25. She had a heart attack. I was so fat and nasty. I would eat anything. I was like 345 pounds. A quart of ice cream every hour. I had so much self-hate when i,
Word,15.163,0.1600000000000001,default,default,,,,,,,15.323,was,7.0,I had so much self-hate when i was like that. ,english,31.0,213.0,My sister's name was denise. She died of obesity at 25. She had a heart attack. I was so fat and nasty. I would eat anything. I was like 345 pounds. A quart of ice cream every hour. I had so much self-hate when i was,
Word,15.363,0.1600000000000001,default,default,,,,,,,15.523,like,7.0,I had so much self-hate when i was like that. ,english,35.0,217.0,My sister's name was denise. She died of obesity at 25. She had a heart attack. I was so fat and nasty. I would eat anything. I was like 345 pounds. A quart of ice cream every hour. I had so much self-hate when i was like,
Word,15.563,0.1199999999999992,default,default,,,,,,,15.683,that.,7.0,I had so much self-hate when i was like that. ,english,40.0,222.0,My sister's name was denise. She died of obesity at 25. She had a heart attack. I was so fat and nasty. I would eat anything. I was like 345 pounds. A quart of ice cream every hour. I had so much self-hate when i was like that.,
