type,start,duration,timeline,subject,session,task,run,filepath,frequency,offset,stop,text,sequence_id,sentence,language,sentence_char,text_char,context,modality
Audio,0.0,30.09,default,default,,,,/content/drive/MyDrive/연선 tribe/New project/NERDS Juicy Gummy Clusters Big Game Commercial ft. Andy Cohen   Official 30   2026.wav,44100.0,0.0,30.09,,,,,,,,
Video,0.0,30.09,default,default,,,,/content/drive/MyDrive/연선 tribe/New project/NERDS Juicy Gummy Clusters Big Game Commercial ft. Andy Cohen   Official 30   2026.mp4,23.976023976023978,0.0,30.09,,,,,,,,
Sentence,3.4929989999999997,0.8800020000000003,default,default,,,,,,,4.373001,To best buds. ,,,,,,,
Text,3.493,26.034000000000002,default,default,,,,,,,29.527,"To best buds. Taste buds. Whoa, you're juicy and mega now?. We gotta show the world the new you. Work it, gummy. Mmm. Ooh, crunchy couture. How delicious are we?. Taste buds. New nerds juicy gummy clusters. Unleash your senses",0.0,,english,,,,
Word,3.493,0.1200000000000001,default,default,,,,,,,3.613,to,0.0,To best buds. ,english,0.0,0.0,To,
Word,3.653,0.2599999999999998,default,default,,,,,,,3.913,Best,0.0,To best buds. ,english,3.0,3.0,To best,
Word,3.953,0.4200000000000004,default,default,,,,,,,4.373,Buds.,0.0,To best buds. ,english,8.0,8.0,To best buds.,
Sentence,5.113999,0.8000019999999998,default,default,,,,,,,5.914001,Taste buds. ,,,,,,,
Word,5.114,0.3799999999999999,default,default,,,,,,,5.494,Taste,1.0,Taste buds. ,english,0.0,14.0,To best buds. Taste,
Word,5.554,0.35999999999999943,default,default,,,,,,,5.914,Buds.,1.0,Taste buds. ,english,6.0,20.0,To best buds. Taste buds.,
Sentence,6.534999,1.8810020000000003,default,default,,,,,,,8.416001,"Whoa, you're juicy and mega now?. ",,,,,,,
Word,6.535,0.33999999999999986,default,default,,,,,,,6.875,"Whoa,",2.0,"Whoa, you're juicy and mega now?. ",english,0.0,26.0,"To best buds. Taste buds. Whoa,",
Word,6.915,0.16000000000000014,default,default,,,,,,,7.075,you're,2.0,"Whoa, you're juicy and mega now?. ",english,6.0,32.0,"To best buds. Taste buds. Whoa, you're",
Word,7.115,0.3799999999999999,default,default,,,,,,,7.495,juicy,2.0,"Whoa, you're juicy and mega now?. ",english,13.0,39.0,"To best buds. Taste buds. Whoa, you're juicy",
Word,7.615,0.13999999999999968,default,default,,,,,,,7.755,and,2.0,"Whoa, you're juicy and mega now?. ",english,19.0,45.0,"To best buds. Taste buds. Whoa, you're juicy and",
Word,7.775,0.3200000000000003,default,default,,,,,,,8.095,mega,2.0,"Whoa, you're juicy and mega now?. ",english,23.0,49.0,"To best buds. Taste buds. Whoa, you're juicy and mega",
Word,8.135,0.2810000000000006,default,default,,,,,,,8.416,now?,2.0,"Whoa, you're juicy and mega now?. ",english,28.0,54.0,"To best buds. Taste buds. Whoa, you're juicy and mega now?",
Sentence,8.735999000000001,1.7210020000000001,default,default,,,,,,,10.457001000000002,We gotta show the world the new you. ,,,,,,,
Word,8.736,0.11999999999999922,default,default,,,,,,,8.856,We,3.0,We gotta show the world the new you. ,english,0.0,60.0,"To best buds. Taste buds. Whoa, you're juicy and mega now?. We",
Word,8.876,0.17999999999999972,default,default,,,,,,,9.056,gotta,3.0,We gotta show the world the new you. ,english,3.0,63.0,"To best buds. Taste buds. Whoa, you're juicy and mega now?. We gotta",
Word,9.096,0.16000000000000014,default,default,,,,,,,9.256,show,3.0,We gotta show the world the new you. ,english,9.0,69.0,"To best buds. Taste buds. Whoa, you're juicy and mega now?. We gotta show",
Word,9.296,0.08000000000000007,default,default,,,,,,,9.376,the,3.0,We gotta show the world the new you. ,english,14.0,74.0,"To best buds. Taste buds. Whoa, you're juicy and mega now?. We gotta show the",
Word,9.416,0.3200000000000003,default,default,,,,,,,9.736,world,3.0,We gotta show the world the new you. ,english,18.0,78.0,"To best buds. Taste buds. Whoa, you're juicy and mega now?. We gotta show the world",
Word,9.756,0.09999999999999964,default,default,,,,,,,9.856,the,3.0,We gotta show the world the new you. ,english,24.0,84.0,"To best buds. Taste buds. Whoa, you're juicy and mega now?. We gotta show the world the",
Word,9.896,0.1399999999999988,default,default,,,,,,,10.036,new,3.0,We gotta show the world the new you. ,english,28.0,88.0,"To best buds. Taste buds. Whoa, you're juicy and mega now?. We gotta show the world the new",
Word,10.076,0.3810000000000002,default,default,,,,,,,10.457,you.,3.0,We gotta show the world the new you. ,english,32.0,92.0,"To best buds. Taste buds. Whoa, you're juicy and mega now?. We gotta show the world the new you.",
Sentence,11.036999000000002,1.141002,default,default,,,,,,,12.178001000000002,"Work it, gummy. ",,,,,,,
Word,11.037,0.3199999999999985,default,default,,,,,,,11.357,Work,4.0,"Work it, gummy. ",english,0.0,97.0,"To best buds. Taste buds. Whoa, you're juicy and mega now?. We gotta show the world the new you. Work",
Word,11.457,0.1399999999999988,default,default,,,,,,,11.597,"it,",4.0,"Work it, gummy. ",english,5.0,102.0,"To best buds. Taste buds. Whoa, you're juicy and mega now?. We gotta show the world the new you. Work it,",
Word,11.657,0.5210000000000008,default,default,,,,,,,12.178,gummy.,4.0,"Work it, gummy. ",english,9.0,106.0,"To best buds. Taste buds. Whoa, you're juicy and mega now?. We gotta show the world the new you. Work it, gummy.",
Sentence,12.197999000000001,3.8420019999999986,default,default,,,,,,,16.040001,Mmm. ,,,,,,,
Word,12.198,3.8419999999999987,default,default,,,,,,,16.04,Mmm.,5.0,Mmm. ,english,0.0,113.0,"To best buds. Taste buds. Whoa, you're juicy and mega now?. We gotta show the world the new you. Work it, gummy. Mmm.",
Sentence,16.639999,2.0210020000000006,default,default,,,,,,,18.661001,"Ooh, crunchy couture. ",,,,,,,
Word,16.64,0.5,default,default,,,,,,,17.14,"Ooh,",6.0,"Ooh, crunchy couture. ",english,0.0,118.0,"To best buds. Taste buds. Whoa, you're juicy and mega now?. We gotta show the world the new you. Work it, gummy. Mmm. Ooh,",
Word,17.2,0.6410000000000018,default,default,,,,,,,17.841,crunchy,6.0,"Ooh, crunchy couture. ",english,5.0,123.0,"To best buds. Taste buds. Whoa, you're juicy and mega now?. We gotta show the world the new you. Work it, gummy. Mmm. Ooh, crunchy",
Word,17.861,0.8000000000000007,default,default,,,,,,,18.661,couture.,6.0,"Ooh, crunchy couture. ",english,13.0,131.0,"To best buds. Taste buds. Whoa, you're juicy and mega now?. We gotta show the world the new you. Work it, gummy. Mmm. Ooh, crunchy couture.",
Sentence,19.020999,1.9810019999999982,default,default,,,,,,,21.002000999999996,How delicious are we?. ,,,,,,,
Word,19.021,0.17999999999999972,default,default,,,,,,,19.201,How,7.0,How delicious are we?. ,english,0.0,140.0,"To best buds. Taste buds. Whoa, you're juicy and mega now?. We gotta show the world the new you. Work it, gummy. Mmm. Ooh, crunchy couture. How",
Word,19.261,0.7609999999999992,default,default,,,,,,,20.022,delicious,7.0,How delicious are we?. ,english,4.0,144.0,"To best buds. Taste buds. Whoa, you're juicy and mega now?. We gotta show the world the new you. Work it, gummy. Mmm. Ooh, crunchy couture. How delicious",
Word,20.262,0.14000000000000057,default,default,,,,,,,20.402,are,7.0,How delicious are we?. ,english,14.0,154.0,"To best buds. Taste buds. Whoa, you're juicy and mega now?. We gotta show the world the new you. Work it, gummy. Mmm. Ooh, crunchy couture. How delicious are",
