type,start,duration,timeline,subject,session,task,run,filepath,frequency,offset,stop,text,sequence_id,sentence,language,sentence_char,text_char,context,modality
Audio,0.0,30.09,default,default,,,,/content/drive/MyDrive/tribetest/superball6~16/NFL Super Bowl LX   “You Are Special”.wav,44100.0,0.0,30.09,,,,,,,,
Video,0.0,30.09,default,default,,,,/content/drive/MyDrive/tribetest/superball6~16/NFL Super Bowl LX   “You Are Special”.mp4,23.976023976023978,0.0,30.09,,,,,,,,
Sentence,0.671999,1.481002,default,default,,,,,,,2.1530009999999997,You are my friend. ,,,,,,,
Text,0.672,25.183,default,default,,,,,,,25.855,"You are my friend. You are special. You are my friend. You're special to me. You are the only one like you. Like you, my friend. You're special to me. There's only one in this wonderful world. You are special",0.0,,english,,,,
Word,0.672,0.26,default,default,,,,,,,0.932,You,0.0,You are my friend. ,english,0.0,0.0,You,
Word,1.172,0.10000000000000009,default,default,,,,,,,1.272,are,0.0,You are my friend. ,english,4.0,4.0,You are,
Word,1.352,0.26,default,default,,,,,,,1.612,my,0.0,You are my friend. ,english,8.0,8.0,You are my,
Word,1.753,0.40000000000000013,default,default,,,,,,,2.153,friend.,0.0,You are my friend. ,english,11.0,11.0,You are my friend.,
Sentence,2.232999,1.2210020000000001,default,default,,,,,,,3.454001,You are special. ,,,,,,,
Word,2.233,0.17999999999999972,default,default,,,,,,,2.413,You,1.0,You are special. ,english,0.0,19.0,You are my friend. You,
Word,2.593,0.10000000000000009,default,default,,,,,,,2.693,are,1.0,You are special. ,english,4.0,23.0,You are my friend. You are,
Word,2.834,0.6200000000000001,default,default,,,,,,,3.454,special.,1.0,You are special. ,english,8.0,27.0,You are my friend. You are special.,
Sentence,3.853999,1.4820020000000003,default,default,,,,,,,5.336001,You are my friend. ,,,,,,,
Word,3.854,0.22100000000000009,default,default,,,,,,,4.075,You,2.0,You are my friend. ,english,0.0,36.0,You are my friend. You are special. You,
Word,4.375,0.13999999999999968,default,default,,,,,,,4.515,are,2.0,You are my friend. ,english,4.0,40.0,You are my friend. You are special. You are,
Word,4.615,0.2400000000000002,default,default,,,,,,,4.855,my,2.0,You are my friend. ,english,8.0,44.0,You are my friend. You are special. You are my,
Word,4.935,0.4010000000000007,default,default,,,,,,,5.336,friend.,2.0,You are my friend. ,english,11.0,47.0,You are my friend. You are special. You are my friend.,
Sentence,6.776999,1.8420019999999997,default,default,,,,,,,8.619000999999999,You're special to me. ,,,,,,,
Word,6.777,0.28000000000000025,default,default,,,,,,,7.057,You're,3.0,You're special to me. ,english,0.0,55.0,You are my friend. You are special. You are my friend. You're,
Word,7.097,0.641,default,default,,,,,,,7.738,special,3.0,You're special to me. ,english,7.0,62.0,You are my friend. You are special. You are my friend. You're special,
Word,7.978,0.17999999999999972,default,default,,,,,,,8.158,to,3.0,You're special to me. ,english,15.0,70.0,You are my friend. You are special. You are my friend. You're special to,
Word,8.218,0.4009999999999998,default,default,,,,,,,8.619,me.,3.0,You're special to me. ,english,18.0,73.0,You are my friend. You are special. You are my friend. You're special to me.,
Sentence,9.419999,2.702002,default,default,,,,,,,12.122001000000001,You are the only one like you. ,,,,,,,
Word,9.42,0.2599999999999998,default,default,,,,,,,9.68,You,4.0,You are the only one like you. ,english,0.0,77.0,You are my friend. You are special. You are my friend. You're special to me. You,
Word,9.86,0.16000000000000014,default,default,,,,,,,10.02,are,4.0,You are the only one like you. ,english,4.0,81.0,You are my friend. You are special. You are my friend. You're special to me. You are,
Word,10.06,0.17999999999999972,default,default,,,,,,,10.24,the,4.0,You are the only one like you. ,english,8.0,85.0,You are my friend. You are special. You are my friend. You're special to me. You are the,
Word,10.34,0.5410000000000004,default,default,,,,,,,10.881,only,4.0,You are the only one like you. ,english,12.0,89.0,You are my friend. You are special. You are my friend. You're special to me. You are the only,
Word,11.081,0.120000000000001,default,default,,,,,,,11.201,one,4.0,You are the only one like you. ,english,17.0,94.0,You are my friend. You are special. You are my friend. You're special to me. You are the only one,
Word,11.261,0.36100000000000065,default,default,,,,,,,11.622,like,4.0,You are the only one like you. ,english,21.0,98.0,You are my friend. You are special. You are my friend. You're special to me. You are the only one like,
Word,11.682,0.4399999999999995,default,default,,,,,,,12.122,you.,4.0,You are the only one like you. ,english,26.0,103.0,You are my friend. You are special. You are my friend. You're special to me. You are the only one like you.,
Sentence,12.441999000000001,2.0620019999999992,default,default,,,,,,,14.504001,"Like you, my friend. ",,,,,,,
Word,12.442,0.48099999999999987,default,default,,,,,,,12.923,Like,5.0,"Like you, my friend. ",english,0.0,108.0,You are my friend. You are special. You are my friend. You're special to me. You are the only one like you. Like,
Word,13.063,0.1399999999999988,default,default,,,,,,,13.203,"you,",5.0,"Like you, my friend. ",english,5.0,113.0,"You are my friend. You are special. You are my friend. You're special to me. You are the only one like you. Like you,",
Word,13.243,0.3200000000000003,default,default,,,,,,,13.563,my,5.0,"Like you, my friend. ",english,10.0,118.0,"You are my friend. You are special. You are my friend. You're special to me. You are the only one like you. Like you, my",
Word,13.603,0.9009999999999998,default,default,,,,,,,14.504,friend.,5.0,"Like you, my friend. ",english,13.0,121.0,"You are my friend. You are special. You are my friend. You're special to me. You are the only one like you. Like you, my friend.",
Sentence,14.663999,2.9830019999999986,default,default,,,,,,,17.647001,You're special to me. ,,,,,,,
Word,14.664,0.5809999999999995,default,default,,,,,,,15.245,You're,6.0,You're special to me. ,english,0.0,129.0,"You are my friend. You are special. You are my friend. You're special to me. You are the only one like you. Like you, my friend. You're",
Word,15.665,1.1610000000000014,default,default,,,,,,,16.826,special,6.0,You're special to me. ,english,7.0,136.0,"You are my friend. You are special. You are my friend. You're special to me. You are the only one like you. Like you, my friend. You're special",
Word,16.866,0.12099999999999866,default,default,,,,,,,16.987,to,6.0,You're special to me. ,english,15.0,144.0,"You are my friend. You are special. You are my friend. You're special to me. You are the only one like you. Like you, my friend. You're special to",
Word,17.007,0.639999999999997,default,default,,,,,,,17.647,me.,6.0,You're special to me. ,english,18.0,147.0,"You are my friend. You are special. You are my friend. You're special to me. You are the only one like you. Like you, my friend. You're special to me.",
Sentence,18.067999,3.923001999999998,default,default,,,,,,,21.991000999999997,There's only one in this wonderful world. ,,,,,,,
Word,18.068,0.35999999999999943,default,default,,,,,,,18.428,There's,7.0,There's only one in this wonderful world. ,english,0.0,151.0,"You are my friend. You are special. You are my friend. You're special to me. You are the only one like you. Like you, my friend. You're special to me. There's",
Word,18.608,0.41999999999999815,default,default,,,,,,,19.028,only,7.0,There's only one in this wonderful world. ,english,8.0,159.0,"You are my friend. You are special. You are my friend. You're special to me. You are the only one like you. Like you, my friend. You're special to me. There's only",
Word,19.349,0.120000000000001,default,default,,,,,,,19.469,one,7.0,There's only one in this wonderful world. ,english,13.0,164.0,"You are my friend. You are special. You are my friend. You're special to me. You are the only one like you. Like you, my friend. You're special to me. There's only one",
Word,19.629,0.11999999999999744,default,default,,,,,,,19.749,in,7.0,There's only one in this wonderful world. ,english,17.0,168.0,"You are my friend. You are special. You are my friend. You're special to me. You are the only one like you. Like you, my friend. You're special to me. There's only one in",
Word,19.789,0.23999999999999844,default,default,,,,,,,20.029,this,7.0,There's only one in this wonderful world. ,english,20.0,171.0,"You are my friend. You are special. You are my friend. You're special to me. You are the only one like you. Like you, my friend. You're special to me. There's only one in this",
Word,20.129,0.940999999999999,default,default,,,,,,,21.07,wonderful,7.0,There's only one in this wonderful world. ,english,25.0,176.0,"You are my friend. You are special. You are my friend. You're special to me. You are the only one like you. Like you, my friend. You're special to me. There's only one in this wonderful",
Word,21.13,0.8610000000000007,default,default,,,,,,,21.991,world.,7.0,There's only one in this wonderful world. ,english,35.0,186.0,"You are my friend. You are special. You are my friend. You're special to me. You are the only one like you. Like you, my friend. You're special to me. There's only one in this wonderful world.",
Sentence,22.310999,3.5440020000000003,default,default,,,,,,,25.855000999999998,You are special,,,,,,,
