type,start,duration,timeline,subject,session,task,run,filepath,frequency,offset,stop,text,sequence_id,sentence,language,sentence_char,text_char,context,modality
Audio,0.0,60.12,default,default,,,,/content/drive/MyDrive/tribetest/17~28/New Home   Google Gemini SB Commercial 2026.wav,44100.0,0.0,60.12,,,,,,,,
Video,0.0,60.12,default,default,,,,/content/drive/MyDrive/tribetest/17~28/New Home   Google Gemini SB Commercial 2026.mp4,23.976023976023978,0.0,60.12,,,,,,,,
Sentence,10.737999,1.343002,default,default,,,,,,,12.081001,That's my room?. ,,,,,,,
Text,10.738,41.687,default,default,,,,,,,52.425,"That's my room?. Yeah, it's next to mine. And watch. Wow, can it be blue?. Yeah. And charlie's bed can go right there?. Here?. Yeah. Cool. And look, here's the yard. Oh, we could have a trampoline. Um, still no. Oh, mom, what about your garden?. Oh, we'll plant it together, just like before. So it'll be like our old house?. It'll be whatever we want it to be",0.0,,english,,,,
Word,10.738,0.782,default,default,,,,,,,11.52,That's,0.0,That's my room?. ,english,0.0,0.0,That's,
Word,11.58,0.14000000000000057,default,default,,,,,,,11.72,my,0.0,That's my room?. ,english,7.0,7.0,That's my,
Word,11.76,0.32099999999999973,default,default,,,,,,,12.081,room?,0.0,That's my room?. ,english,10.0,10.0,That's my room?,
Sentence,12.321999,1.0420020000000016,default,default,,,,,,,13.364001000000002,"Yeah, it's next to mine. ",,,,,,,
Word,12.322,0.26000000000000156,default,default,,,,,,,12.582,"Yeah,",1.0,"Yeah, it's next to mine. ",english,0.0,17.0,"That's my room?. Yeah,",
Word,12.622,0.09999999999999964,default,default,,,,,,,12.722,it's,1.0,"Yeah, it's next to mine. ",english,6.0,23.0,"That's my room?. Yeah, it's",
Word,12.762,0.18099999999999916,default,default,,,,,,,12.943,next,1.0,"Yeah, it's next to mine. ",english,11.0,28.0,"That's my room?. Yeah, it's next",
Word,12.963,0.08000000000000007,default,default,,,,,,,13.043,to,1.0,"Yeah, it's next to mine. ",english,16.0,33.0,"That's my room?. Yeah, it's next to",
Word,13.083,0.2810000000000006,default,default,,,,,,,13.364,mine.,1.0,"Yeah, it's next to mine. ",english,19.0,36.0,"That's my room?. Yeah, it's next to mine.",
Sentence,14.605999,0.4410020000000007,default,default,,,,,,,15.047001000000002,And watch. ,,,,,,,
Word,14.606,0.09999999999999964,default,default,,,,,,,14.706,And,2.0,And watch. ,english,0.0,42.0,"That's my room?. Yeah, it's next to mine. And",
Word,14.746,0.30100000000000016,default,default,,,,,,,15.047,watch.,2.0,And watch. ,english,4.0,46.0,"That's my room?. Yeah, it's next to mine. And watch.",
Sentence,19.392999,2.162001999999999,default,default,,,,,,,21.555000999999997,"Wow, can it be blue?. ",,,,,,,
Word,19.393,0.5210000000000008,default,default,,,,,,,19.914,"Wow,",3.0,"Wow, can it be blue?. ",english,0.0,53.0,"That's my room?. Yeah, it's next to mine. And watch. Wow,",
Word,20.414,0.23999999999999844,default,default,,,,,,,20.654,can,3.0,"Wow, can it be blue?. ",english,5.0,58.0,"That's my room?. Yeah, it's next to mine. And watch. Wow, can",
Word,20.694,0.120000000000001,default,default,,,,,,,20.814,it,3.0,"Wow, can it be blue?. ",english,9.0,62.0,"That's my room?. Yeah, it's next to mine. And watch. Wow, can it",
Word,20.874,0.22100000000000009,default,default,,,,,,,21.095,be,3.0,"Wow, can it be blue?. ",english,12.0,65.0,"That's my room?. Yeah, it's next to mine. And watch. Wow, can it be",
Word,21.135,0.41999999999999815,default,default,,,,,,,21.555,blue?,3.0,"Wow, can it be blue?. ",english,15.0,68.0,"That's my room?. Yeah, it's next to mine. And watch. Wow, can it be blue?",
Sentence,22.054999,0.4200020000000017,default,default,,,,,,,22.475001,Yeah. ,,,,,,,
Word,22.055,0.4200000000000017,default,default,,,,,,,22.475,Yeah.,4.0,Yeah. ,english,0.0,75.0,"That's my room?. Yeah, it's next to mine. And watch. Wow, can it be blue?. Yeah.",
Sentence,23.615999,2.3620020000000017,default,default,,,,,,,25.978001,And charlie's bed can go right there?. ,,,,,,,
Word,23.616,0.1999999999999993,default,default,,,,,,,23.816,And,5.0,And charlie's bed can go right there?. ,english,0.0,81.0,"That's my room?. Yeah, it's next to mine. And watch. Wow, can it be blue?. Yeah. And",
Word,23.936,0.5410000000000004,default,default,,,,,,,24.477,Charlie's,5.0,And charlie's bed can go right there?. ,english,4.0,85.0,"That's my room?. Yeah, it's next to mine. And watch. Wow, can it be blue?. Yeah. And charlie's",
Word,24.557,0.240000000000002,default,default,,,,,,,24.797,bed,5.0,And charlie's bed can go right there?. ,english,14.0,95.0,"That's my room?. Yeah, it's next to mine. And watch. Wow, can it be blue?. Yeah. And charlie's bed",
Word,24.857,0.17999999999999972,default,default,,,,,,,25.037,can,5.0,And charlie's bed can go right there?. ,english,18.0,99.0,"That's my room?. Yeah, it's next to mine. And watch. Wow, can it be blue?. Yeah. And charlie's bed can",
