type,start,duration,timeline,subject,session,task,run,filepath,frequency,offset,stop,text,sequence_id,sentence,language,sentence_char,text_char,context,modality
Audio,0.0,30.12,default,default,,,,/content/drive/MyDrive/연선 tribe/New project/Oakley Meta   Athletic Intelligence is Here - Part Two.wav,44100.0,0.0,30.12,,,,,,,,
Video,0.0,30.12,default,default,,,,/content/drive/MyDrive/연선 tribe/New project/Oakley Meta   Athletic Intelligence is Here - Part Two.mp4,23.976023976023978,0.0,30.12,,,,,,,,
Sentence,0.650999,1.841002,default,default,,,,,,,2.492001,"Hey meta, when does a storm hit?. ",,,,,,,
Text,0.651,9.966000000000001,default,default,,,,,,,10.617,"Hey meta, when does a storm hit?. Expect rain in an hour. We have lift off!. Hey meta, you don't listen to me. Hey meta, post that on instagram!",0.0,,english,,,,
Word,0.651,0.09999999999999998,default,default,,,,,,,0.751,Hey,0.0,"Hey meta, when does a storm hit?. ",english,0.0,0.0,Hey,
Word,0.791,0.31999999999999995,default,default,,,,,,,1.111,"Meta,",0.0,"Hey meta, when does a storm hit?. ",english,4.0,4.0,"Hey meta,",
Word,1.412,0.14000000000000012,default,default,,,,,,,1.552,when,0.0,"Hey meta, when does a storm hit?. ",english,10.0,10.0,"Hey meta, when",
Word,1.572,0.15999999999999992,default,default,,,,,,,1.732,does,0.0,"Hey meta, when does a storm hit?. ",english,15.0,15.0,"Hey meta, when does",
Word,1.772,0.040000000000000036,default,default,,,,,,,1.812,a,0.0,"Hey meta, when does a storm hit?. ",english,20.0,20.0,"Hey meta, when does a",
Word,1.892,0.30000000000000027,default,default,,,,,,,2.192,storm,0.0,"Hey meta, when does a storm hit?. ",english,22.0,22.0,"Hey meta, when does a storm",
Word,2.232,0.2599999999999998,default,default,,,,,,,2.492,hit?,0.0,"Hey meta, when does a storm hit?. ",english,28.0,28.0,"Hey meta, when does a storm hit?",
Sentence,2.651999,1.081002,default,default,,,,,,,3.733001,Expect rain in an hour. ,,,,,,,
Word,2.652,0.33999999999999986,default,default,,,,,,,2.992,Expect,1.0,Expect rain in an hour. ,english,0.0,34.0,"Hey meta, when does a storm hit?. Expect",
Word,3.033,0.20000000000000018,default,default,,,,,,,3.233,rain,1.0,Expect rain in an hour. ,english,7.0,41.0,"Hey meta, when does a storm hit?. Expect rain",
Word,3.273,0.08000000000000007,default,default,,,,,,,3.353,in,1.0,Expect rain in an hour. ,english,12.0,46.0,"Hey meta, when does a storm hit?. Expect rain in",
Word,3.393,0.06000000000000005,default,default,,,,,,,3.453,an,1.0,Expect rain in an hour. ,english,15.0,49.0,"Hey meta, when does a storm hit?. Expect rain in an",
Word,3.533,0.20000000000000018,default,default,,,,,,,3.733,hour.,1.0,Expect rain in an hour. ,english,18.0,52.0,"Hey meta, when does a storm hit?. Expect rain in an hour.",
Sentence,3.772999,1.081002,default,default,,,,,,,4.854001,We have lift off!. ,,,,,,,
Word,3.773,0.10000000000000009,default,default,,,,,,,3.873,We,2.0,We have lift off!. ,english,0.0,58.0,"Hey meta, when does a storm hit?. Expect rain in an hour. We",
Word,4.093,0.16000000000000014,default,default,,,,,,,4.253,have,2.0,We have lift off!. ,english,3.0,61.0,"Hey meta, when does a storm hit?. Expect rain in an hour. We have",
Word,4.273,0.42100000000000026,default,default,,,,,,,4.694,lift,2.0,We have lift off!. ,english,8.0,66.0,"Hey meta, when does a storm hit?. Expect rain in an hour. We have lift",
Word,4.774,0.08000000000000007,default,default,,,,,,,4.854,off!,2.0,We have lift off!. ,english,13.0,71.0,"Hey meta, when does a storm hit?. Expect rain in an hour. We have lift off!",
Sentence,4.8739989999999995,3.562002,default,default,,,,,,,8.436001,"Hey meta, you don't listen to me. ",,,,,,,
Word,4.874,0.14000000000000057,default,default,,,,,,,5.014,Hey,3.0,"Hey meta, you don't listen to me. ",english,0.0,77.0,"Hey meta, when does a storm hit?. Expect rain in an hour. We have lift off!. Hey",
Word,5.074,1.641,default,default,,,,,,,6.715,"Meta,",3.0,"Hey meta, you don't listen to me. ",english,4.0,81.0,"Hey meta, when does a storm hit?. Expect rain in an hour. We have lift off!. Hey meta,",
Word,6.735,0.27999999999999936,default,default,,,,,,,7.015,you,3.0,"Hey meta, you don't listen to me. ",english,10.0,87.0,"Hey meta, when does a storm hit?. Expect rain in an hour. We have lift off!. Hey meta, you",
Word,7.035,0.1200000000000001,default,default,,,,,,,7.155,don't,3.0,"Hey meta, you don't listen to me. ",english,14.0,91.0,"Hey meta, when does a storm hit?. Expect rain in an hour. We have lift off!. Hey meta, you don't",
Word,7.175,0.3200000000000003,default,default,,,,,,,7.495,listen,3.0,"Hey meta, you don't listen to me. ",english,20.0,97.0,"Hey meta, when does a storm hit?. Expect rain in an hour. We have lift off!. Hey meta, you don't listen",
Word,7.635,0.1200000000000001,default,default,,,,,,,7.755,to,3.0,"Hey meta, you don't listen to me. ",english,27.0,104.0,"Hey meta, when does a storm hit?. Expect rain in an hour. We have lift off!. Hey meta, you don't listen to",
Word,7.795,0.641,default,default,,,,,,,8.436,me.,3.0,"Hey meta, you don't listen to me. ",english,30.0,107.0,"Hey meta, when does a storm hit?. Expect rain in an hour. We have lift off!. Hey meta, you don't listen to me.",
Sentence,9.015999,1.601002000000001,default,default,,,,,,,10.617001000000002,"Hey meta, post that on instagram!",,,,,,,
Word,9.016,0.11999999999999922,default,default,,,,,,,9.136,Hey,4.0,"Hey meta, post that on instagram!",english,0.0,111.0,"Hey meta, when does a storm hit?. Expect rain in an hour. We have lift off!. Hey meta, you don't listen to me. Hey",
Word,9.176,0.1999999999999993,default,default,,,,,,,9.376,"Meta,",4.0,"Hey meta, post that on instagram!",english,4.0,115.0,"Hey meta, when does a storm hit?. Expect rain in an hour. We have lift off!. Hey meta, you don't listen to me. Hey meta,",
Word,9.396,0.09999999999999964,default,default,,,,,,,9.496,post,4.0,"Hey meta, post that on instagram!",english,10.0,121.0,"Hey meta, when does a storm hit?. Expect rain in an hour. We have lift off!. Hey meta, you don't listen to me. Hey meta, post",
Word,9.516,0.18099999999999916,default,default,,,,,,,9.697,that,4.0,"Hey meta, post that on instagram!",english,15.0,126.0,"Hey meta, when does a storm hit?. Expect rain in an hour. We have lift off!. Hey meta, you don't listen to me. Hey meta, post that",
Word,9.797,0.05999999999999872,default,default,,,,,,,9.857,on,4.0,"Hey meta, post that on instagram!",english,20.0,131.0,"Hey meta, when does a storm hit?. Expect rain in an hour. We have lift off!. Hey meta, you don't listen to me. Hey meta, post that on",
Word,9.897,0.7200000000000006,default,default,,,,,,,10.617,Instagram!,4.0,"Hey meta, post that on instagram!",english,23.0,134.0,"Hey meta, when does a storm hit?. Expect rain in an hour. We have lift off!. Hey meta, you don't listen to me. Hey meta, post that on instagram!",
