type,start,duration,timeline,subject,session,task,run,filepath,frequency,offset,stop,text,sequence_id,sentence,language,sentence_char,text_char,context,modality
Audio,0.0,30.14,default,default,,,,/content/drive/MyDrive/tribetest/17~28/Pringles   Pringleleo.wav,44100.0,0.0,30.14,,,,,,,,
Video,0.0,30.14,default,default,,,,/content/drive/MyDrive/tribetest/17~28/Pringles   Pringleleo.mp4,23.976023976023978,0.0,30.14,,,,,,,,
Sentence,0.07099899999999999,1.2410020000000002,default,default,,,,,,,1.3120010000000002,I'm so tired of boys. ,,,,,,,
Text,0.071,15.767,default,default,,,,,,,15.838,"I'm so tired of boys. I need a man. Build him. Pringle leo. You made it!. Once you pop, the pop don't stop",0.0,,english,,,,
Word,0.071,0.10000000000000002,default,default,,,,,,,0.171,I'm,0.0,I'm so tired of boys. ,english,0.0,0.0,I'm,
Word,0.191,0.12,default,default,,,,,,,0.311,so,0.0,I'm so tired of boys. ,english,4.0,4.0,I'm so,
Word,0.411,0.27999999999999997,default,default,,,,,,,0.691,tired,0.0,I'm so tired of boys. ,english,7.0,7.0,I'm so tired,
Word,0.731,0.06000000000000005,default,default,,,,,,,0.791,of,0.0,I'm so tired of boys. ,english,13.0,13.0,I'm so tired of,
Word,0.871,0.44100000000000006,default,default,,,,,,,1.312,boys.,0.0,I'm so tired of boys. ,english,16.0,16.0,I'm so tired of boys.,
Sentence,1.8119990000000001,0.7400019999999999,default,default,,,,,,,2.552001,I need a man. ,,,,,,,
Word,1.812,0.040000000000000036,default,default,,,,,,,1.852,I,1.0,I need a man. ,english,0.0,22.0,I'm so tired of boys. I,
Word,1.892,0.1200000000000001,default,default,,,,,,,2.012,need,1.0,I need a man. ,english,2.0,24.0,I'm so tired of boys. I need,
Word,2.052,0.020000000000000018,default,default,,,,,,,2.072,a,1.0,I need a man. ,english,7.0,29.0,I'm so tired of boys. I need a,
Word,2.172,0.3799999999999999,default,default,,,,,,,2.552,man.,1.0,I need a man. ,english,9.0,31.0,I'm so tired of boys. I need a man.,
Sentence,2.571999,1.521002,default,default,,,,,,,4.093001,Build him. ,,,,,,,
Word,2.572,1.08,default,default,,,,,,,3.652,Build,2.0,Build him. ,english,0.0,36.0,I'm so tired of boys. I need a man. Build,
Word,3.713,0.3799999999999999,default,default,,,,,,,4.093,him.,2.0,Build him. ,english,6.0,42.0,I'm so tired of boys. I need a man. Build him.,
Sentence,10.134999,0.8210019999999997,default,default,,,,,,,10.956001,Pringle leo. ,,,,,,,
Word,10.135,0.35999999999999943,default,default,,,,,,,10.495,Pringle,3.0,Pringle leo. ,english,0.0,47.0,I'm so tired of boys. I need a man. Build him. Pringle,
Word,10.535,0.4209999999999994,default,default,,,,,,,10.956,Leo.,3.0,Pringle leo. ,english,8.0,55.0,I'm so tired of boys. I need a man. Build him. Pringle leo.,
Sentence,10.975999000000002,0.5400019999999991,default,default,,,,,,,11.516001000000001,You made it!. ,,,,,,,
Word,10.976,0.1399999999999988,default,default,,,,,,,11.116,You,4.0,You made it!. ,english,0.0,60.0,I'm so tired of boys. I need a man. Build him. Pringle leo. You,
Word,11.136,0.16000000000000014,default,default,,,,,,,11.296,made,4.0,You made it!. ,english,4.0,64.0,I'm so tired of boys. I need a man. Build him. Pringle leo. You made,
Word,11.336,0.17999999999999972,default,default,,,,,,,11.516,it!,4.0,You made it!. ,english,9.0,69.0,I'm so tired of boys. I need a man. Build him. Pringle leo. You made it!,
Sentence,11.695999,4.142002,default,default,,,,,,,15.838001,"Once you pop, the pop don't stop",,,,,,,
Word,11.696,0.5999999999999996,default,default,,,,,,,12.296,Once,5.0,"Once you pop, the pop don't stop",english,0.0,74.0,I'm so tired of boys. I need a man. Build him. Pringle leo. You made it!. Once,
Word,12.316,0.29999999999999893,default,default,,,,,,,12.616,you,5.0,"Once you pop, the pop don't stop",english,5.0,79.0,I'm so tired of boys. I need a man. Build him. Pringle leo. You made it!. Once you,
Word,12.636,0.20000000000000107,default,default,,,,,,,12.836,"pop,",5.0,"Once you pop, the pop don't stop",english,9.0,83.0,"I'm so tired of boys. I need a man. Build him. Pringle leo. You made it!. Once you pop,",
Word,12.856,0.17999999999999972,default,default,,,,,,,13.036,the,5.0,"Once you pop, the pop don't stop",english,14.0,88.0,"I'm so tired of boys. I need a man. Build him. Pringle leo. You made it!. Once you pop, the",
Word,13.076,0.32099999999999973,default,default,,,,,,,13.397,pop,5.0,"Once you pop, the pop don't stop",english,18.0,92.0,"I'm so tired of boys. I need a man. Build him. Pringle leo. You made it!. Once you pop, the pop",
Word,13.437,0.3600000000000012,default,default,,,,,,,13.797,don't,5.0,"Once you pop, the pop don't stop",english,22.0,96.0,"I'm so tired of boys. I need a man. Build him. Pringle leo. You made it!. Once you pop, the pop don't",
Word,15.397,0.44099999999999895,default,default,,,,,,,15.838,stop.,5.0,"Once you pop, the pop don't stop",english,28.0,102.0,"I'm so tired of boys. I need a man. Build him. Pringle leo. You made it!. Once you pop, the pop don't stop",
