type,start,duration,timeline,subject,session,task,run,filepath,frequency,offset,stop,text,sequence_id,sentence,language,sentence_char,text_char,context,modality
Audio,0.0,30.09,default,default,,,,/content/drive/MyDrive/tribetest/superball6~16/Search Party from Ring   Be A Hero In Your Neighborhood.wav,44100.0,0.0,30.09,,,,,,,,
Video,0.0,30.09,default,default,,,,/content/drive/MyDrive/tribetest/superball6~16/Search Party from Ring   Be A Hero In Your Neighborhood.mp4,24.01,0.0,30.09,,,,,,,,
Sentence,0.097999,0.9210019999999999,default,default,,,,,,,1.0190009999999998,This is milo. ,,,,,,,
Text,0.098,29.781000000000002,default,default,,,,,,,29.879,"This is milo. Pets are family. But every year, 10 million go missing. And the way we look for them hasn't changed in years. Until now. One post of a dog's photo in the ring app starts outdoor cameras looking for a match. Search party from ring uses ai to help families find lost dogs. Since launch, more than a dog a day has been reunited with their family. Be a hero in your neighborhood with search party. Available to everyone for free right now. Join the neighborhood at ring.com",0.0,,english,,,,
Word,0.098,0.12,default,default,,,,,,,0.218,This,0.0,This is milo. ,english,0.0,0.0,This,
Word,0.278,0.07999999999999996,default,default,,,,,,,0.358,is,0.0,This is milo. ,english,5.0,5.0,This is,
Word,0.418,0.601,default,default,,,,,,,1.019,Milo.,0.0,This is milo. ,english,8.0,8.0,This is milo.,
Sentence,1.078999,0.7810020000000001,default,default,,,,,,,1.860001,Pets are family. ,,,,,,,
Word,1.079,0.19999999999999996,default,default,,,,,,,1.279,Pets,1.0,Pets are family. ,english,0.0,14.0,This is milo. Pets,
Word,1.319,0.121,default,default,,,,,,,1.44,are,1.0,Pets are family. ,english,5.0,19.0,This is milo. Pets are,
Word,1.48,0.3800000000000001,default,default,,,,,,,1.86,family.,1.0,Pets are family. ,english,9.0,23.0,This is milo. Pets are family.,
Sentence,2.9809989999999997,2.2230019999999997,default,default,,,,,,,5.204001,"But every year, 10 million go missing. ",,,,,,,
Word,2.981,0.121,default,default,,,,,,,3.102,But,2.0,"But every year, 10 million go missing. ",english,0.0,31.0,This is milo. Pets are family. But,
Word,3.202,0.20000000000000018,default,default,,,,,,,3.402,every,2.0,"But every year, 10 million go missing. ",english,4.0,35.0,This is milo. Pets are family. But every,
Word,3.462,0.6409999999999996,default,default,,,,,,,4.103,"year,",2.0,"But every year, 10 million go missing. ",english,10.0,41.0,"This is milo. Pets are family. But every year,",
Word,4.243,0.09999999999999964,default,default,,,,,,,4.343,10,2.0,"But every year, 10 million go missing. ",english,16.0,47.0,"This is milo. Pets are family. But every year, 10",
Word,4.403,0.30100000000000016,default,default,,,,,,,4.704,million,2.0,"But every year, 10 million go missing. ",english,19.0,50.0,"This is milo. Pets are family. But every year, 10 million",
Word,4.724,0.1200000000000001,default,default,,,,,,,4.844,go,2.0,"But every year, 10 million go missing. ",english,27.0,58.0,"This is milo. Pets are family. But every year, 10 million go",
Word,4.884,0.3199999999999994,default,default,,,,,,,5.204,missing.,2.0,"But every year, 10 million go missing. ",english,30.0,61.0,"This is milo. Pets are family. But every year, 10 million go missing.",
Sentence,5.644998999999999,2.5630020000000004,default,default,,,,,,,8.208001,And the way we look for them hasn't changed in years. ,,,,,,,
Word,5.645,0.08000000000000007,default,default,,,,,,,5.725,And,3.0,And the way we look for them hasn't changed in years. ,english,0.0,70.0,"This is milo. Pets are family. But every year, 10 million go missing. And",
Word,5.745,0.05999999999999961,default,default,,,,,,,5.805,the,3.0,And the way we look for them hasn't changed in years. ,english,4.0,74.0,"This is milo. Pets are family. But every year, 10 million go missing. And the",
Word,5.845,0.10000000000000053,default,default,,,,,,,5.945,way,3.0,And the way we look for them hasn't changed in years. ,english,8.0,78.0,"This is milo. Pets are family. But every year, 10 million go missing. And the way",
Word,5.985,0.09999999999999964,default,default,,,,,,,6.085,we,3.0,And the way we look for them hasn't changed in years. ,english,12.0,82.0,"This is milo. Pets are family. But every year, 10 million go missing. And the way we",
Word,6.125,0.17999999999999972,default,default,,,,,,,6.305,look,3.0,And the way we look for them hasn't changed in years. ,english,15.0,85.0,"This is milo. Pets are family. But every year, 10 million go missing. And the way we look",
Word,6.325,0.10099999999999998,default,default,,,,,,,6.426,for,3.0,And the way we look for them hasn't changed in years. ,english,20.0,90.0,"This is milo. Pets are family. But every year, 10 million go missing. And the way we look for",
Word,6.446,0.20000000000000018,default,default,,,,,,,6.646,them,3.0,And the way we look for them hasn't changed in years. ,english,24.0,94.0,"This is milo. Pets are family. But every year, 10 million go missing. And the way we look for them",
Word,6.786,0.28000000000000025,default,default,,,,,,,7.066,hasn't,3.0,And the way we look for them hasn't changed in years. ,english,29.0,99.0,"This is milo. Pets are family. But every year, 10 million go missing. And the way we look for them hasn't",
Word,7.106,0.42100000000000026,default,default,,,,,,,7.527,changed,3.0,And the way we look for them hasn't changed in years. ,english,36.0,106.0,"This is milo. Pets are family. But every year, 10 million go missing. And the way we look for them hasn't changed",
Word,7.627,0.08000000000000007,default,default,,,,,,,7.707,in,3.0,And the way we look for them hasn't changed in years. ,english,44.0,114.0,"This is milo. Pets are family. But every year, 10 million go missing. And the way we look for them hasn't changed in",
Word,7.827,0.3810000000000002,default,default,,,,,,,8.208,years.,3.0,And the way we look for them hasn't changed in years. ,english,47.0,117.0,"This is milo. Pets are family. But every year, 10 million go missing. And the way we look for them hasn't changed in years.",
Sentence,9.959999000000002,0.7210019999999983,default,default,,,,,,,10.681001,Until now. ,,,,,,,
Word,9.96,0.3609999999999989,default,default,,,,,,,10.321,Until,4.0,Until now. ,english,0.0,124.0,"This is milo. Pets are family. But every year, 10 million go missing. And the way we look for them hasn't changed in years. Until",
Word,10.441,0.23999999999999844,default,default,,,,,,,10.681,now.,4.0,Until now. ,english,6.0,130.0,"This is milo. Pets are family. But every year, 10 million go missing. And the way we look for them hasn't changed in years. Until now.",
Sentence,11.402999000000001,3.607001999999999,default,default,,,,,,,15.010001,One post of a dog's photo in the ring app starts outdoor cameras looking for a match. ,,,,,,,
