type,start,duration,timeline,subject,session,task,run,filepath,frequency,offset,stop,text,sequence_id,sentence,language,sentence_char,text_char,context,modality
Audio,0.0,30.09,default,default,,,,/content/drive/MyDrive/tribetest/17~28/Sticky Note SB LX Commercial.wav,44100.0,0.0,30.09,,,,,,,,
Video,0.0,30.09,default,default,,,,/content/drive/MyDrive/tribetest/17~28/Sticky Note SB LX Commercial.mp4,23.976023976023978,0.0,30.09,,,,,,,,
Sentence,3.157999,1.7410020000000002,default,default,,,,,,,4.899001,"Oh, look at him. ",,,,,,,
Text,3.158,20.676,default,default,,,,,,,23.834,"Oh, look at him. Did you see that?. Should we tell him?. So bad. Oh my gosh. That's not funny. Stop. Do not listen to that. Thank you, man. I know how it feels",0.0,,english,,,,
Word,3.158,0.3799999999999999,default,default,,,,,,,3.538,"Oh,",0.0,"Oh, look at him. ",english,0.0,0.0,"Oh,",
Word,3.618,0.14100000000000001,default,default,,,,,,,3.759,look,0.0,"Oh, look at him. ",english,4.0,4.0,"Oh, look",
Word,3.819,0.5,default,default,,,,,,,4.319,at,0.0,"Oh, look at him. ",english,9.0,9.0,"Oh, look at",
Word,4.339,0.5599999999999996,default,default,,,,,,,4.899,him.,0.0,"Oh, look at him. ",english,12.0,12.0,"Oh, look at him.",
Sentence,4.938999,4.204002000000001,default,default,,,,,,,9.143001000000002,Did you see that?. ,,,,,,,
Word,4.939,0.30100000000000016,default,default,,,,,,,5.24,Did,1.0,Did you see that?. ,english,0.0,17.0,"Oh, look at him. Did",
Word,5.92,0.4009999999999998,default,default,,,,,,,6.321,you,1.0,Did you see that?. ,english,4.0,21.0,"Oh, look at him. Did you",
Word,6.701,0.3000000000000007,default,default,,,,,,,7.001,see,1.0,Did you see that?. ,english,8.0,25.0,"Oh, look at him. Did you see",
Word,7.021,2.1220000000000008,default,default,,,,,,,9.143,that?,1.0,Did you see that?. ,english,12.0,29.0,"Oh, look at him. Did you see that?",
Sentence,9.502999,1.7210020000000001,default,default,,,,,,,11.224001000000001,Should we tell him?. ,,,,,,,
Word,9.503,0.4599999999999991,default,default,,,,,,,9.963,Should,2.0,Should we tell him?. ,english,0.0,36.0,"Oh, look at him. Did you see that?. Should",
Word,9.983,0.12099999999999866,default,default,,,,,,,10.104,we,2.0,Should we tell him?. ,english,7.0,43.0,"Oh, look at him. Did you see that?. Should we",
Word,10.124,0.9599999999999991,default,default,,,,,,,11.084,tell,2.0,Should we tell him?. ,english,10.0,46.0,"Oh, look at him. Did you see that?. Should we tell",
Word,11.124,0.09999999999999964,default,default,,,,,,,11.224,him?,2.0,Should we tell him?. ,english,15.0,51.0,"Oh, look at him. Did you see that?. Should we tell him?",
Sentence,11.243999,0.36100200000000066,default,default,,,,,,,11.605001000000001,So bad. ,,,,,,,
Word,11.244,0.1609999999999996,default,default,,,,,,,11.405,So,3.0,So bad. ,english,0.0,57.0,"Oh, look at him. Did you see that?. Should we tell him?. So",
Word,11.425,0.17999999999999972,default,default,,,,,,,11.605,bad.,3.0,So bad. ,english,3.0,60.0,"Oh, look at him. Did you see that?. Should we tell him?. So bad.",
Sentence,11.724999,0.5600020000000004,default,default,,,,,,,12.285001000000001,Oh my gosh. ,,,,,,,
Word,11.725,0.08000000000000007,default,default,,,,,,,11.805,Oh,4.0,Oh my gosh. ,english,0.0,65.0,"Oh, look at him. Did you see that?. Should we tell him?. So bad. Oh",
Word,11.825,0.1800000000000015,default,default,,,,,,,12.005,my,4.0,Oh my gosh. ,english,3.0,68.0,"Oh, look at him. Did you see that?. Should we tell him?. So bad. Oh my",
Word,12.105,0.17999999999999972,default,default,,,,,,,12.285,gosh.,4.0,Oh my gosh. ,english,6.0,71.0,"Oh, look at him. Did you see that?. Should we tell him?. So bad. Oh my gosh.",
Sentence,12.304999,1.8620020000000002,default,default,,,,,,,14.167001,That's not funny. ,,,,,,,
Word,12.305,0.6010000000000009,default,default,,,,,,,12.906,That's,5.0,That's not funny. ,english,0.0,77.0,"Oh, look at him. Did you see that?. Should we tell him?. So bad. Oh my gosh. That's",
Word,12.946,0.17999999999999972,default,default,,,,,,,13.126,not,5.0,That's not funny. ,english,7.0,84.0,"Oh, look at him. Did you see that?. Should we tell him?. So bad. Oh my gosh. That's not",
Word,13.226,0.940999999999999,default,default,,,,,,,14.167,funny.,5.0,That's not funny. ,english,11.0,88.0,"Oh, look at him. Did you see that?. Should we tell him?. So bad. Oh my gosh. That's not funny.",
Sentence,14.426999,0.6200020000000009,default,default,,,,,,,15.047001000000002,Stop. ,,,,,,,
Word,14.427,0.620000000000001,default,default,,,,,,,15.047,Stop.,6.0,Stop. ,english,0.0,95.0,"Oh, look at him. Did you see that?. Should we tell him?. So bad. Oh my gosh. That's not funny. Stop.",
Sentence,16.027998999999998,4.083002000000002,default,default,,,,,,,20.111001,Do not listen to that. ,,,,,,,
Word,16.028,0.22000000000000242,default,default,,,,,,,16.248,Do,7.0,Do not listen to that. ,english,0.0,101.0,"Oh, look at him. Did you see that?. Should we tell him?. So bad. Oh my gosh. That's not funny. Stop. Do",
Word,16.368,0.2410000000000032,default,default,,,,,,,16.609,not,7.0,Do not listen to that. ,english,3.0,104.0,"Oh, look at him. Did you see that?. Should we tell him?. So bad. Oh my gosh. That's not funny. Stop. Do not",
Word,16.649,0.23999999999999844,default,default,,,,,,,16.889,listen,7.0,Do not listen to that. ,english,7.0,108.0,"Oh, look at him. Did you see that?. Should we tell him?. So bad. Oh my gosh. That's not funny. Stop. Do not listen",
