type,start,duration,timeline,subject,session,task,run,filepath,frequency,offset,stop,text,sequence_id,sentence,language,sentence_char,text_char,context,modality
Video,0.0,60.12,default,default,,,,/content/drive/MyDrive/tribetest/superball6~16/Super Bowl LX   Champion.mp4,23.976023976023978,0.0,60.12,,,,,,,,
Audio,0.0,60.12,default,default,,,,/content/drive/MyDrive/tribetest/superball6~16/Super Bowl LX   Champion.wav,44100.0,0.0,60.12,,,,,,,,
Sentence,0.856999,1.5600019999999999,default,default,,,,,,,2.417001,"All right, listen up. ",,,,,,,
Text,0.857,52.926,default,default,,,,,,,53.783,"All right, listen up. Today we face our toughest opponent. They may be bigger, stronger, faster, but i'll never surrender. Who am i?. I am a champion. I'm unbreakable, unstoppable, unbelievable. Weakness will not be in my heart. Defeat will not be in my creed. Who am i?. I'm a champion. I'm a monster, a beast. No one will defy me or deny me. Who am i?. I'm a champion. Belief is my superpower. It has moved mountains. It has put a man on the moon. I believe in myself even when others doubt me. Who am i?. I am a champion. History will remember me and the world will know my name. Who am i?. I am a champion. Who am i?. I am a champion. Who am i?. I am a champion",0.0,,english,,,,
Word,0.857,0.12,default,default,,,,,,,0.977,All,0.0,"All right, listen up. ",english,0.0,0.0,All,
Word,1.017,0.2200000000000002,default,default,,,,,,,1.237,"right,",0.0,"All right, listen up. ",english,4.0,4.0,"All right,",
Word,1.857,0.3800000000000001,default,default,,,,,,,2.237,listen,0.0,"All right, listen up. ",english,11.0,11.0,"All right, listen",
Word,2.317,0.09999999999999964,default,default,,,,,,,2.417,up.,0.0,"All right, listen up. ",english,18.0,18.0,"All right, listen up.",
Sentence,3.0169989999999998,2.5410019999999998,default,default,,,,,,,5.558000999999999,Today we face our toughest opponent. ,,,,,,,
Word,3.017,0.3610000000000002,default,default,,,,,,,3.378,Today,1.0,Today we face our toughest opponent. ,english,0.0,22.0,"All right, listen up. Today",
Word,3.458,0.1599999999999997,default,default,,,,,,,3.618,we,1.0,Today we face our toughest opponent. ,english,6.0,28.0,"All right, listen up. Today we",
Word,3.658,0.2400000000000002,default,default,,,,,,,3.898,face,1.0,Today we face our toughest opponent. ,english,9.0,31.0,"All right, listen up. Today we face",
Word,3.998,0.09999999999999964,default,default,,,,,,,4.098,our,1.0,Today we face our toughest opponent. ,english,14.0,36.0,"All right, listen up. Today we face our",
Word,4.218,0.5200000000000005,default,default,,,,,,,4.738,toughest,1.0,Today we face our toughest opponent. ,english,18.0,40.0,"All right, listen up. Today we face our toughest",
Word,5.018,0.54,default,default,,,,,,,5.558,opponent.,1.0,Today we face our toughest opponent. ,english,27.0,49.0,"All right, listen up. Today we face our toughest opponent.",
Sentence,5.577999,7.161002000000001,default,default,,,,,,,12.739001000000002,"They may be bigger, stronger, faster, but i'll never surrender. ",,,,,,,
Word,5.578,0.5599999999999996,default,default,,,,,,,6.138,They,2.0,"They may be bigger, stronger, faster, but i'll never surrender. ",english,0.0,59.0,"All right, listen up. Today we face our toughest opponent. They",
Word,6.158,0.17999999999999972,default,default,,,,,,,6.338,may,2.0,"They may be bigger, stronger, faster, but i'll never surrender. ",english,5.0,64.0,"All right, listen up. Today we face our toughest opponent. They may",
Word,6.378,0.16000000000000014,default,default,,,,,,,6.538,be,2.0,"They may be bigger, stronger, faster, but i'll never surrender. ",english,9.0,68.0,"All right, listen up. Today we face our toughest opponent. They may be",
Word,6.718,0.3200000000000003,default,default,,,,,,,7.038,"bigger,",2.0,"They may be bigger, stronger, faster, but i'll never surrender. ",english,12.0,71.0,"All right, listen up. Today we face our toughest opponent. They may be bigger,",
