type,start,duration,timeline,subject,session,task,run,filepath,frequency,offset,stop,text,sequence_id,sentence,language,sentence_char,text_char,context,modality
Audio,0.0,30.09,default,default,,,,/content/drive/MyDrive/tribetest/17~28/Superhero Belt   Toyota.wav,44100.0,0.0,30.09,,,,,,,,
Video,0.0,30.09,default,default,,,,/content/drive/MyDrive/tribetest/17~28/Superhero Belt   Toyota.mp4,23.976023976023978,0.0,30.09,,,,,,,,
Sentence,1.721999,0.5210019999999999,default,default,,,,,,,2.243001,For a drive. ,,,,,,,
Text,1.722,18.500999999999998,default,default,,,,,,,20.223,For a drive. Let's put your superhero belt on. Ready to go grandpa?. Wow. Returning the favor is a gift. Superhero belt?,0.0,,english,,,,
Word,1.722,0.1200000000000001,default,default,,,,,,,1.842,for,0.0,For a drive. ,english,0.0,0.0,For,
Word,1.862,0.019999999999999796,default,default,,,,,,,1.882,a,0.0,For a drive. ,english,4.0,4.0,For a,
Word,1.922,0.32099999999999995,default,default,,,,,,,2.243,drive.,0.0,For a drive. ,english,6.0,6.0,For a drive.,
Sentence,8.789999,1.261002000000001,default,default,,,,,,,10.051001000000001,Let's put your superhero belt on. ,,,,,,,
Word,8.79,0.1800000000000015,default,default,,,,,,,8.97,Let's,1.0,Let's put your superhero belt on. ,english,0.0,13.0,For a drive. Let's,
Word,9.01,0.09999999999999964,default,default,,,,,,,9.11,put,1.0,Let's put your superhero belt on. ,english,6.0,19.0,For a drive. Let's put,
Word,9.13,0.11999999999999922,default,default,,,,,,,9.25,your,1.0,Let's put your superhero belt on. ,english,10.0,23.0,For a drive. Let's put your,
Word,9.27,0.4009999999999998,default,default,,,,,,,9.671,superhero,1.0,Let's put your superhero belt on. ,english,15.0,28.0,For a drive. Let's put your superhero,
Word,9.691,0.17999999999999972,default,default,,,,,,,9.871,belt,1.0,Let's put your superhero belt on. ,english,25.0,38.0,For a drive. Let's put your superhero belt,
Word,9.971,0.08000000000000007,default,default,,,,,,,10.051,on.,1.0,Let's put your superhero belt on. ,english,30.0,43.0,For a drive. Let's put your superhero belt on.,
Sentence,10.070999,2.423002,default,default,,,,,,,12.494001,Ready to go grandpa?. ,,,,,,,
Word,10.071,1.5419999999999998,default,default,,,,,,,11.613,Ready,2.0,Ready to go grandpa?. ,english,0.0,47.0,For a drive. Let's put your superhero belt on. Ready,
Word,11.773,0.16000000000000014,default,default,,,,,,,11.933,to,2.0,Ready to go grandpa?. ,english,6.0,53.0,For a drive. Let's put your superhero belt on. Ready to,
Word,11.953,0.12100000000000044,default,default,,,,,,,12.074,go,2.0,Ready to go grandpa?. ,english,9.0,56.0,For a drive. Let's put your superhero belt on. Ready to go,
Word,12.094,0.40000000000000036,default,default,,,,,,,12.494,grandpa?,2.0,Ready to go grandpa?. ,english,12.0,59.0,For a drive. Let's put your superhero belt on. Ready to go grandpa?,
Sentence,12.533999000000001,3.184001999999999,default,default,,,,,,,15.718001000000001,Wow. ,,,,,,,
Word,12.534,3.1839999999999993,default,default,,,,,,,15.718,Wow.,3.0,Wow. ,english,0.0,69.0,For a drive. Let's put your superhero belt on. Ready to go grandpa?. Wow.,
Sentence,17.018998999999997,2.0820020000000006,default,default,,,,,,,19.101000999999997,Returning the favor is a gift. ,,,,,,,
Word,17.019,0.4410000000000025,default,default,,,,,,,17.46,Returning,4.0,Returning the favor is a gift. ,english,0.0,74.0,For a drive. Let's put your superhero belt on. Ready to go grandpa?. Wow. Returning,
Word,17.5,0.0799999999999983,default,default,,,,,,,17.58,the,4.0,Returning the favor is a gift. ,english,10.0,84.0,For a drive. Let's put your superhero belt on. Ready to go grandpa?. Wow. Returning the,
Word,17.64,0.35999999999999943,default,default,,,,,,,18.0,favor,4.0,Returning the favor is a gift. ,english,14.0,88.0,For a drive. Let's put your superhero belt on. Ready to go grandpa?. Wow. Returning the favor,
Word,18.581,0.08000000000000185,default,default,,,,,,,18.661,is,4.0,Returning the favor is a gift. ,english,20.0,94.0,For a drive. Let's put your superhero belt on. Ready to go grandpa?. Wow. Returning the favor is,
Word,18.721,0.019999999999999574,default,default,,,,,,,18.741,a,4.0,Returning the favor is a gift. ,english,23.0,97.0,For a drive. Let's put your superhero belt on. Ready to go grandpa?. Wow. Returning the favor is a,
Word,18.781,0.3200000000000003,default,default,,,,,,,19.101,gift.,4.0,Returning the favor is a gift. ,english,25.0,99.0,For a drive. Let's put your superhero belt on. Ready to go grandpa?. Wow. Returning the favor is a gift.,
Sentence,19.441999,0.7810019999999988,default,default,,,,,,,20.223000999999996,Superhero belt?,,,,,,,
Word,19.442,0.4800000000000004,default,default,,,,,,,19.922,Superhero,5.0,Superhero belt?,english,0.0,105.0,For a drive. Let's put your superhero belt on. Ready to go grandpa?. Wow. Returning the favor is a gift. Superhero,
Word,19.942,0.2809999999999988,default,default,,,,,,,20.223,belt?,5.0,Superhero belt?,english,10.0,115.0,For a drive. Let's put your superhero belt on. Ready to go grandpa?. Wow. Returning the favor is a gift. Superhero belt?,
