type,start,duration,timeline,subject,session,task,run,filepath,frequency,offset,stop,text,sequence_id,sentence,language,sentence_char,text_char,context,modality
Audio,0.0,30.09,default,default,,,,/content/drive/MyDrive/tribetest/The Choice   Pepsi   Super Bowl.wav,44100.0,0.0,30.09,,,,,,,,
Video,0.0,30.09,default,default,,,,/content/drive/MyDrive/tribetest/The Choice   Pepsi   Super Bowl.mp4,23.976023976023978,0.0,30.09,,,,,,,,
Sentence,4.622999,0.2210020000000001,default,default,,,,,,,4.8440010000000004,Huh?. ,,,,,,,
Text,4.623,3.226,default,default,,,,,,,7.849,"Huh?. You're not the only one. Look, this can be heavy",0.0,,english,,,,
Word,4.623,0.22100000000000009,default,default,,,,,,,4.844,Huh?,0.0,Huh?. ,english,0.0,0.0,Huh?,
Sentence,5.524999,1.0220019999999994,default,default,,,,,,,6.547001,You're not the only one. ,,,,,,,
Word,5.525,0.21999999999999975,default,default,,,,,,,5.745,You're,1.0,You're not the only one. ,english,0.0,6.0,Huh?. You're,
Word,5.765,0.14100000000000001,default,default,,,,,,,5.906,not,1.0,You're not the only one. ,english,7.0,13.0,Huh?. You're not,
Word,5.926,0.08000000000000007,default,default,,,,,,,6.006,the,1.0,You're not the only one. ,english,11.0,17.0,Huh?. You're not the,
Word,6.086,0.17999999999999972,default,default,,,,,,,6.266,only,1.0,You're not the only one. ,english,15.0,21.0,Huh?. You're not the only,
Word,6.407,0.13999999999999968,default,default,,,,,,,6.547,one.,1.0,You're not the only one. ,english,20.0,26.0,Huh?. You're not the only one.,
Sentence,6.566999,1.282002,default,default,,,,,,,7.849001,"Look, this can be heavy",,,,,,,
Word,6.567,0.42100000000000026,default,default,,,,,,,6.988,"Look,",2.0,"Look, this can be heavy",english,0.0,31.0,"Huh?. You're not the only one. Look,",
Word,7.028,0.16000000000000014,default,default,,,,,,,7.188,this,2.0,"Look, this can be heavy",english,6.0,37.0,"Huh?. You're not the only one. Look, this",
Word,7.228,0.22100000000000009,default,default,,,,,,,7.449,can,2.0,"Look, this can be heavy",english,11.0,42.0,"Huh?. You're not the only one. Look, this can",
Word,7.469,0.09999999999999964,default,default,,,,,,,7.569,be,2.0,"Look, this can be heavy",english,15.0,46.0,"Huh?. You're not the only one. Look, this can be",
Word,7.629,0.22000000000000064,default,default,,,,,,,7.849,heavy.,2.0,"Look, this can be heavy",english,18.0,49.0,"Huh?. You're not the only one. Look, this can be heavy",
