type,start,duration,timeline,subject,session,task,run,filepath,frequency,offset,stop,text,sequence_id,sentence,language,sentence_char,text_char,context,modality
Audio,0.0,45.09,default,default,,,,/content/gdrive/MyDrive/tribetest/29~38/The Expert feat. Adrien Brody TurboTax 2026 Super Bowl Commercial (Official TV Ad 45).wav,44100.0,0.0,45.09,,,,,,,,
Video,0.0,45.09,default,default,,,,/content/gdrive/MyDrive/tribetest/29~38/The Expert feat. Adrien Brody TurboTax 2026 Super Bowl Commercial (Official TV Ad 45).mp4,23.976023976023978,0.0,45.09,,,,,,,,
Sentence,0.170999,3.623002,default,default,,,,,,,3.794001,They say death and taxes are the only guarantees in life. ,,,,,,,
Text,0.171,43.461,default,default,,,,,,,43.632,"They say death and taxes are the only guarantees in life. At least death only happens to you once. Brace yourself. The pain is coming. I can taste it. Cut!. Why is there rain?. Dials it up, right?. No, adrian, we need you to dial things down. I'm just trying to tap into the pain of taxes. You know, you're not some regular tax guy. You are a turbotax expert, like janet. We take the pain out of taxes, remember?. Let's go again. Just smile and be happy. I don't do happy. If there's no drama, there's no adrian brody. I can pay for that. I can deduct that. Through the rain",0.0,,english,,,,
Word,0.171,0.16,default,default,,,,,,,0.331,They,0.0,They say death and taxes are the only guarantees in life. ,english,0.0,0.0,They,
Word,0.411,0.24,default,default,,,,,,,0.651,say,0.0,They say death and taxes are the only guarantees in life. ,english,5.0,5.0,They say,
Word,0.751,0.281,default,default,,,,,,,1.032,death,0.0,They say death and taxes are the only guarantees in life. ,english,9.0,9.0,They say death,
Word,1.112,0.1199999999999998,default,default,,,,,,,1.232,and,0.0,They say death and taxes are the only guarantees in life. ,english,15.0,15.0,They say death and,
Word,1.292,0.6199999999999999,default,default,,,,,,,1.912,taxes,0.0,They say death and taxes are the only guarantees in life. ,english,19.0,19.0,They say death and taxes,
Word,2.032,0.08,default,default,,,,,,,2.112,are,0.0,They say death and taxes are the only guarantees in life. ,english,25.0,25.0,They say death and taxes are,
Word,2.152,0.141,default,default,,,,,,,2.293,the,0.0,They say death and taxes are the only guarantees in life. ,english,29.0,29.0,They say death and taxes are the,
Word,2.373,0.2399999999999997,default,default,,,,,,,2.613,only,0.0,They say death and taxes are the only guarantees in life. ,english,33.0,33.0,They say death and taxes are the only,
Word,2.653,0.6800000000000002,default,default,,,,,,,3.333,guarantees,0.0,They say death and taxes are the only guarantees in life. ,english,38.0,38.0,They say death and taxes are the only guarantees,
Word,3.413,0.08,default,default,,,,,,,3.493,in,0.0,They say death and taxes are the only guarantees in life. ,english,49.0,49.0,They say death and taxes are the only guarantees in,
Word,3.553,0.2410000000000001,default,default,,,,,,,3.794,life.,0.0,They say death and taxes are the only guarantees in life. ,english,52.0,52.0,They say death and taxes are the only guarantees in life.,
Sentence,4.313999,1.8810020000000003,default,default,,,,,,,6.195001,At least death only happens to you once. ,,,,,,,
Word,4.314,0.0599999999999996,default,default,,,,,,,4.374,At,1.0,At least death only happens to you once. ,english,0.0,58.0,They say death and taxes are the only guarantees in life. At,
Word,4.414,0.2000000000000001,default,default,,,,,,,4.614,least,1.0,At least death only happens to you once. ,english,3.0,61.0,They say death and taxes are the only guarantees in life. At least,
Word,4.654,0.2800000000000002,default,default,,,,,,,4.934,death,1.0,At least death only happens to you once. ,english,9.0,67.0,They say death and taxes are the only guarantees in life. At least death,
Word,4.994,0.181,default,default,,,,,,,5.175,only,1.0,At least death only happens to you once. ,english,15.0,73.0,They say death and taxes are the only guarantees in life. At least death only,
Word,5.215,0.3399999999999998,default,default,,,,,,,5.555,happens,1.0,At least death only happens to you once. ,english,20.0,78.0,They say death and taxes are the only guarantees in life. At least death only happens,
Word,5.575,0.0999999999999996,default,default,,,,,,,5.675,to,1.0,At least death only happens to you once. ,english,28.0,86.0,They say death and taxes are the only guarantees in life. At least death only happens to,
Word,5.715,0.1600000000000001,default,default,,,,,,,5.875,you,1.0,At least death only happens to you once. ,english,31.0,89.0,They say death and taxes are the only guarantees in life. At least death only happens to you,
Word,6.055,0.1400000000000005,default,default,,,,,,,6.195,once.,1.0,At least death only happens to you once. ,english,35.0,93.0,They say death and taxes are the only guarantees in life. At least death only happens to you once.,
Sentence,7.455999,0.8010019999999992,default,default,,,,,,,8.257000999999999,Brace yourself. ,,,,,,,
Word,7.456,0.2999999999999998,default,default,,,,,,,7.756,Brace,2.0,Brace yourself. ,english,0.0,99.0,They say death and taxes are the only guarantees in life. At least death only happens to you once. Brace,
Word,7.776,0.4809999999999998,default,default,,,,,,,8.257,yourself.,2.0,Brace yourself. ,english,6.0,105.0,They say death and taxes are the only guarantees in life. At least death only happens to you once. Brace yourself.,
Sentence,8.596999,0.9810019999999998,default,default,,,,,,,9.578001,The pain is coming. ,,,,,,,
Word,8.597,0.0999999999999996,default,default,,,,,,,8.697,The,3.0,The pain is coming. ,english,0.0,115.0,They say death and taxes are the only guarantees in life. At least death only happens to you once. Brace yourself. The,
Word,8.737,0.2799999999999993,default,default,,,,,,,9.017,pain,3.0,The pain is coming. ,english,4.0,119.0,They say death and taxes are the only guarantees in life. At least death only happens to you once. Brace yourself. The pain,
Word,9.057,0.08,default,default,,,,,,,9.137,is,3.0,The pain is coming. ,english,9.0,124.0,They say death and taxes are the only guarantees in life. At least death only happens to you once. Brace yourself. The pain is,
Word,9.197,0.3810000000000002,default,default,,,,,,,9.578,coming.,3.0,The pain is coming. ,english,12.0,127.0,They say death and taxes are the only guarantees in life. At least death only happens to you once. Brace yourself. The pain is coming.,
