type,start,duration,timeline,subject,session,task,run,filepath,frequency,offset,stop,text,sequence_id,sentence,language,sentence_char,text_char,context,modality
Audio,0.0,60.12,default,default,,,,/content/drive/MyDrive/tribetest/17~28/Universal Orlando Resort - “Lil’ Bro”.wav,44100.0,0.0,60.12,,,,,,,,
Video,0.0,60.12,default,default,,,,/content/drive/MyDrive/tribetest/17~28/Universal Orlando Resort - “Lil’ Bro”.mp4,23.976023976023978,0.0,60.12,,,,,,,,
Sentence,2.776999,1.521002,default,default,,,,,,,4.298001,I got it!. ,,,,,,,
Text,2.777,55.266,default,default,,,,,,,58.043,"I got it!. Next time, little man. I got it, little man. I got you, man. You good, little man?. Don't call me little man. Little man!. Let me see. Whoa!. Look at you guys. Whoa!. Hey, you're too little, little man. You flinched!. Don't call me little man. You good man?. Yeah man. Four parks. One vacation that changes everything. You good little man?. Universal orlando resort",0.0,,english,,,,
Word,2.777,0.040000000000000036,default,default,,,,,,,2.817,I,0.0,I got it!. ,english,0.0,0.0,I,
Word,2.857,0.2999999999999998,default,default,,,,,,,3.157,got,0.0,I got it!. ,english,2.0,2.0,I got,
Word,4.078,0.21999999999999975,default,default,,,,,,,4.298,it!,0.0,I got it!. ,english,6.0,6.0,I got it!,
Sentence,4.3179989999999995,1.0200020000000005,default,default,,,,,,,5.338001,"Next time, little man. ",,,,,,,
Word,4.318,0.10000000000000053,default,default,,,,,,,4.418,Next,1.0,"Next time, little man. ",english,0.0,11.0,I got it!. Next,
Word,4.438,0.2400000000000002,default,default,,,,,,,4.678,"time,",1.0,"Next time, little man. ",english,5.0,16.0,"I got it!. Next time,",
Word,4.698,0.23999999999999932,default,default,,,,,,,4.938,little,1.0,"Next time, little man. ",english,11.0,22.0,"I got it!. Next time, little",
Word,4.958,0.3799999999999999,default,default,,,,,,,5.338,man.,1.0,"Next time, little man. ",english,18.0,29.0,"I got it!. Next time, little man.",
Sentence,6.598999,0.9200019999999999,default,default,,,,,,,7.519001,"I got it, little man. ",,,,,,,
Word,6.599,0.2400000000000002,default,default,,,,,,,6.839,I,2.0,"I got it, little man. ",english,0.0,34.0,"I got it!. Next time, little man. I",
Word,6.879,0.10000000000000053,default,default,,,,,,,6.979,got,2.0,"I got it, little man. ",english,2.0,36.0,"I got it!. Next time, little man. I got",
Word,6.999,0.0600000000000005,default,default,,,,,,,7.059,"it,",2.0,"I got it, little man. ",english,6.0,40.0,"I got it!. Next time, little man. I got it,",
Word,7.099,0.17999999999999972,default,default,,,,,,,7.279,little,2.0,"I got it, little man. ",english,10.0,44.0,"I got it!. Next time, little man. I got it, little",
Word,7.299,0.21999999999999975,default,default,,,,,,,7.519,man.,2.0,"I got it, little man. ",english,17.0,51.0,"I got it!. Next time, little man. I got it, little man.",
Sentence,7.618999,1.101002000000001,default,default,,,,,,,8.720001,"I got you, man. ",,,,,,,
Word,7.619,0.0600000000000005,default,default,,,,,,,7.679,I,3.0,"I got you, man. ",english,0.0,56.0,"I got it!. Next time, little man. I got it, little man. I",
Word,7.979,0.1800000000000006,default,default,,,,,,,8.159,got,3.0,"I got you, man. ",english,2.0,58.0,"I got it!. Next time, little man. I got it, little man. I got",
Word,8.179,0.2010000000000005,default,default,,,,,,,8.38,"you,",3.0,"I got you, man. ",english,6.0,62.0,"I got it!. Next time, little man. I got it, little man. I got you,",
Word,8.42,0.3000000000000007,default,default,,,,,,,8.72,man.,3.0,"I got you, man. ",english,11.0,67.0,"I got it!. Next time, little man. I got it, little man. I got you, man.",
Sentence,10.640999,0.8400019999999998,default,default,,,,,,,11.481001000000001,"You good, little man?. ",,,,,,,
Word,10.641,0.16000000000000014,default,default,,,,,,,10.801,You,4.0,"You good, little man?. ",english,0.0,72.0,"I got it!. Next time, little man. I got it, little man. I got you, man. You",
Word,10.821,0.16000000000000014,default,default,,,,,,,10.981,"good,",4.0,"You good, little man?. ",english,4.0,76.0,"I got it!. Next time, little man. I got it, little man. I got you, man. You good,",
Word,11.001,0.20000000000000107,default,default,,,,,,,11.201,little,4.0,"You good, little man?. ",english,10.0,82.0,"I got it!. Next time, little man. I got it, little man. I got you, man. You good, little",
Word,11.241,0.2400000000000002,default,default,,,,,,,11.481,man?,4.0,"You good, little man?. ",english,17.0,89.0,"I got it!. Next time, little man. I got it, little man. I got you, man. You good, little man?",
Sentence,11.700999000000001,1.7810019999999989,default,default,,,,,,,13.482001,Don't call me little man. ,,,,,,,
Word,11.701,0.17999999999999972,default,default,,,,,,,11.881,Don't,5.0,Don't call me little man. ,english,0.0,95.0,"I got it!. Next time, little man. I got it, little man. I got you, man. You good, little man?. Don't",
Word,11.921,0.20000000000000107,default,default,,,,,,,12.121,call,5.0,Don't call me little man. ,english,6.0,101.0,"I got it!. Next time, little man. I got it, little man. I got you, man. You good, little man?. Don't call",
Word,12.141,0.08000000000000007,default,default,,,,,,,12.221,me,5.0,Don't call me little man. ,english,11.0,106.0,"I got it!. Next time, little man. I got it, little man. I got you, man. You good, little man?. Don't call me",
Word,12.261,0.48100000000000165,default,default,,,,,,,12.742,little,5.0,Don't call me little man. ,english,14.0,109.0,"I got it!. Next time, little man. I got it, little man. I got you, man. You good, little man?. Don't call me little",
Word,13.222,0.2599999999999998,default,default,,,,,,,13.482,man.,5.0,Don't call me little man. ,english,21.0,116.0,"I got it!. Next time, little man. I got it, little man. I got you, man. You good, little man?. Don't call me little man.",
Sentence,13.501999000000001,0.7200019999999988,default,default,,,,,,,14.222001,Little man!. ,,,,,,,
Word,13.502,0.2400000000000002,default,default,,,,,,,13.742,Little,6.0,Little man!. ,english,0.0,121.0,"I got it!. Next time, little man. I got it, little man. I got you, man. You good, little man?. Don't call me little man. Little",
Word,13.782,0.4399999999999995,default,default,,,,,,,14.222,man!,6.0,Little man!. ,english,7.0,128.0,"I got it!. Next time, little man. I got it, little man. I got you, man. You good, little man?. Don't call me little man. Little man!",
Sentence,14.241999000000002,0.8010019999999983,default,default,,,,,,,15.043001,Let me see. ,,,,,,,
Word,14.242,0.2599999999999998,default,default,,,,,,,14.502,Let,7.0,Let me see. ,english,0.0,134.0,"I got it!. Next time, little man. I got it, little man. I got you, man. You good, little man?. Don't call me little man. Little man!. Let",
Word,14.522,0.1999999999999993,default,default,,,,,,,14.722,me,7.0,Let me see. ,english,4.0,138.0,"I got it!. Next time, little man. I got it, little man. I got you, man. You good, little man?. Don't call me little man. Little man!. Let me",
Word,14.943,0.09999999999999964,default,default,,,,,,,15.043,see.,7.0,Let me see. ,english,7.0,141.0,"I got it!. Next time, little man. I got it, little man. I got you, man. You good, little man?. Don't call me little man. Little man!. Let me see.",
Sentence,15.062999000000001,0.3200019999999985,default,default,,,,,,,15.383001,Whoa!. ,,,,,,,
Word,15.063,0.3199999999999985,default,default,,,,,,,15.383,Whoa!,8.0,Whoa!. ,english,0.0,146.0,"I got it!. Next time, little man. I got it, little man. I got you, man. You good, little man?. Don't call me little man. Little man!. Let me see. Whoa!",
Sentence,15.442999,0.7200020000000006,default,default,,,,,,,16.163001,Look at you guys. ,,,,,,,
Word,15.443,0.16000000000000014,default,default,,,,,,,15.603,Look,9.0,Look at you guys. ,english,0.0,153.0,"I got it!. Next time, little man. I got it, little man. I got you, man. You good, little man?. Don't call me little man. Little man!. Let me see. Whoa!. Look",
Word,15.623,0.16000000000000014,default,default,,,,,,,15.783,at,9.0,Look at you guys. ,english,5.0,158.0,"I got it!. Next time, little man. I got it, little man. I got you, man. You good, little man?. Don't call me little man. Little man!. Let me see. Whoa!. Look at",
Word,15.803,0.15999999999999837,default,default,,,,,,,15.963,you,9.0,Look at you guys. ,english,8.0,161.0,"I got it!. Next time, little man. I got it, little man. I got you, man. You good, little man?. Don't call me little man. Little man!. Let me see. Whoa!. Look at you",
Word,15.983,0.17999999999999972,default,default,,,,,,,16.163,guys.,9.0,Look at you guys. ,english,12.0,165.0,"I got it!. Next time, little man. I got it, little man. I got you, man. You good, little man?. Don't call me little man. Little man!. Let me see. Whoa!. Look at you guys.",
Sentence,16.182999,0.26000200000000157,default,default,,,,,,,16.443001,Whoa!. ,,,,,,,
Word,16.183,0.26000000000000156,default,default,,,,,,,16.443,Whoa!,10.0,Whoa!. ,english,0.0,171.0,"I got it!. Next time, little man. I got it, little man. I got you, man. You good, little man?. Don't call me little man. Little man!. Let me see. Whoa!. Look at you guys. Whoa!",
Sentence,16.502999,1.8610020000000007,default,default,,,,,,,18.364001,"Hey, you're too little, little man. ",,,,,,,
Word,16.503,0.17999999999999972,default,default,,,,,,,16.683,"Hey,",11.0,"Hey, you're too little, little man. ",english,0.0,178.0,"I got it!. Next time, little man. I got it, little man. I got you, man. You good, little man?. Don't call me little man. Little man!. Let me see. Whoa!. Look at you guys. Whoa!. Hey,",
Word,16.703,0.16000000000000014,default,default,,,,,,,16.863,you're,11.0,"Hey, you're too little, little man. ",english,5.0,183.0,"I got it!. Next time, little man. I got it, little man. I got you, man. You good, little man?. Don't call me little man. Little man!. Let me see. Whoa!. Look at you guys. Whoa!. Hey, you're",
Word,16.883,0.060000000000002274,default,default,,,,,,,16.943,too,11.0,"Hey, you're too little, little man. ",english,12.0,190.0,"I got it!. Next time, little man. I got it, little man. I got you, man. You good, little man?. Don't call me little man. Little man!. Let me see. Whoa!. Look at you guys. Whoa!. Hey, you're too",
Word,16.983,0.4609999999999985,default,default,,,,,,,17.444,"little,",11.0,"Hey, you're too little, little man. ",english,16.0,194.0,"I got it!. Next time, little man. I got it, little man. I got you, man. You good, little man?. Don't call me little man. Little man!. Let me see. Whoa!. Look at you guys. Whoa!. Hey, you're too little,",
Word,17.484,0.6599999999999966,default,default,,,,,,,18.144,little,11.0,"Hey, you're too little, little man. ",english,24.0,202.0,"I got it!. Next time, little man. I got it, little man. I got you, man. You good, little man?. Don't call me little man. Little man!. Let me see. Whoa!. Look at you guys. Whoa!. Hey, you're too little, little",
Word,18.164,0.1999999999999993,default,default,,,,,,,18.364,man.,11.0,"Hey, you're too little, little man. ",english,31.0,209.0,"I got it!. Next time, little man. I got it, little man. I got you, man. You good, little man?. Don't call me little man. Little man!. Let me see. Whoa!. Look at you guys. Whoa!. Hey, you're too little, little man.",
Sentence,35.193999000000005,0.780001999999994,default,default,,,,,,,35.974001,You flinched!. ,,,,,,,
Word,35.194,0.17999999999999972,default,default,,,,,,,35.374,You,12.0,You flinched!. ,english,0.0,214.0,"I got it!. Next time, little man. I got it, little man. I got you, man. You good, little man?. Don't call me little man. Little man!. Let me see. Whoa!. Look at you guys. Whoa!. Hey, you're too little, little man. You",
Word,35.394,0.5799999999999983,default,default,,,,,,,35.974,flinched!,12.0,You flinched!. ,english,4.0,218.0,"I got it!. Next time, little man. I got it, little man. I got you, man. You good, little man?. Don't call me little man. Little man!. Let me see. Whoa!. Look at you guys. Whoa!. Hey, you're too little, little man. You flinched!",
Sentence,37.094999,4.842001999999999,default,default,,,,,,,41.937001,Don't call me little man. ,,,,,,,
Word,37.095,0.21999999999999886,default,default,,,,,,,37.315,Don't,13.0,Don't call me little man. ,english,0.0,229.0,"I got it!. Next time, little man. I got it, little man. I got you, man. You good, little man?. Don't call me little man. Little man!. Let me see. Whoa!. Look at you guys. Whoa!. Hey, you're too little, little man. You flinched!. Don't",
Word,37.335,0.3399999999999963,default,default,,,,,,,37.675,call,13.0,Don't call me little man. ,english,6.0,235.0,"I got it!. Next time, little man. I got it, little man. I got you, man. You good, little man?. Don't call me little man. Little man!. Let me see. Whoa!. Look at you guys. Whoa!. Hey, you're too little, little man. You flinched!. Don't call",
Word,37.695,0.1599999999999966,default,default,,,,,,,37.855,me,13.0,Don't call me little man. ,english,11.0,240.0,"I got it!. Next time, little man. I got it, little man. I got you, man. You good, little man?. Don't call me little man. Little man!. Let me see. Whoa!. Look at you guys. Whoa!. Hey, you're too little, little man. You flinched!. Don't call me",
Word,37.895,2.9809999999999945,default,default,,,,,,,40.876,little,13.0,Don't call me little man. ,english,14.0,243.0,"I got it!. Next time, little man. I got it, little man. I got you, man. You good, little man?. Don't call me little man. Little man!. Let me see. Whoa!. Look at you guys. Whoa!. Hey, you're too little, little man. You flinched!. Don't call me little",
Word,41.777,0.1599999999999966,default,default,,,,,,,41.937,man.,13.0,Don't call me little man. ,english,21.0,250.0,"I got it!. Next time, little man. I got it, little man. I got you, man. You good, little man?. Don't call me little man. Little man!. Let me see. Whoa!. Look at you guys. Whoa!. Hey, you're too little, little man. You flinched!. Don't call me little man.",
Sentence,41.956999,1.960002000000001,default,default,,,,,,,43.917001000000006,You good man?. ,,,,,,,
Word,41.957,0.21999999999999886,default,default,,,,,,,42.177,You,14.0,You good man?. ,english,0.0,255.0,"I got it!. Next time, little man. I got it, little man. I got you, man. You good, little man?. Don't call me little man. Little man!. Let me see. Whoa!. Look at you guys. Whoa!. Hey, you're too little, little man. You flinched!. Don't call me little man. You",
Word,42.197,0.259999999999998,default,default,,,,,,,42.457,good,14.0,You good man?. ,english,4.0,259.0,"I got it!. Next time, little man. I got it, little man. I got you, man. You good, little man?. Don't call me little man. Little man!. Let me see. Whoa!. Look at you guys. Whoa!. Hey, you're too little, little man. You flinched!. Don't call me little man. You good",
Word,43.417,0.5,default,default,,,,,,,43.917,man?,14.0,You good man?. ,english,9.0,264.0,"I got it!. Next time, little man. I got it, little man. I got you, man. You good, little man?. Don't call me little man. Little man!. Let me see. Whoa!. Look at you guys. Whoa!. Hey, you're too little, little man. You flinched!. Don't call me little man. You good man?",
Sentence,48.278999000000006,1.081001999999996,default,default,,,,,,,49.360001000000004,Yeah man. ,,,,,,,
Word,48.279,0.7399999999999949,default,default,,,,,,,49.019,Yeah,15.0,Yeah man. ,english,0.0,270.0,"I got it!. Next time, little man. I got it, little man. I got you, man. You good, little man?. Don't call me little man. Little man!. Let me see. Whoa!. Look at you guys. Whoa!. Hey, you're too little, little man. You flinched!. Don't call me little man. You good man?. Yeah",
Word,49.039,0.32099999999999795,default,default,,,,,,,49.36,man.,15.0,Yeah man. ,english,5.0,275.0,"I got it!. Next time, little man. I got it, little man. I got you, man. You good, little man?. Don't call me little man. Little man!. Let me see. Whoa!. Look at you guys. Whoa!. Hey, you're too little, little man. You flinched!. Don't call me little man. You good man?. Yeah man.",
Sentence,49.659999,0.7800020000000011,default,default,,,,,,,50.440001,Four parks. ,,,,,,,
Word,49.66,0.28000000000000114,default,default,,,,,,,49.94,Four,16.0,Four parks. ,english,0.0,280.0,"I got it!. Next time, little man. I got it, little man. I got you, man. You good, little man?. Don't call me little man. Little man!. Let me see. Whoa!. Look at you guys. Whoa!. Hey, you're too little, little man. You flinched!. Don't call me little man. You good man?. Yeah man. Four",
Word,50.0,0.4399999999999977,default,default,,,,,,,50.44,parks.,16.0,Four parks. ,english,5.0,285.0,"I got it!. Next time, little man. I got it, little man. I got you, man. You good, little man?. Don't call me little man. Little man!. Let me see. Whoa!. Look at you guys. Whoa!. Hey, you're too little, little man. You flinched!. Don't call me little man. You good man?. Yeah man. Four parks.",
Sentence,51.259999,2.341002000000001,default,default,,,,,,,53.601001000000004,One vacation that changes everything. ,,,,,,,
Word,51.26,0.12000000000000455,default,default,,,,,,,51.38,One,17.0,One vacation that changes everything. ,english,0.0,292.0,"I got it!. Next time, little man. I got it, little man. I got you, man. You good, little man?. Don't call me little man. Little man!. Let me see. Whoa!. Look at you guys. Whoa!. Hey, you're too little, little man. You flinched!. Don't call me little man. You good man?. Yeah man. Four parks. One",
Word,51.44,0.6810000000000045,default,default,,,,,,,52.121,vacation,17.0,One vacation that changes everything. ,english,4.0,296.0,"I got it!. Next time, little man. I got it, little man. I got you, man. You good, little man?. Don't call me little man. Little man!. Let me see. Whoa!. Look at you guys. Whoa!. Hey, you're too little, little man. You flinched!. Don't call me little man. You good man?. Yeah man. Four parks. One vacation",
Word,52.201,0.14000000000000057,default,default,,,,,,,52.341,that,17.0,One vacation that changes everything. ,english,13.0,305.0,"I got it!. Next time, little man. I got it, little man. I got you, man. You good, little man?. Don't call me little man. Little man!. Let me see. Whoa!. Look at you guys. Whoa!. Hey, you're too little, little man. You flinched!. Don't call me little man. You good man?. Yeah man. Four parks. One vacation that",
Word,52.381,0.4799999999999969,default,default,,,,,,,52.861,changes,17.0,One vacation that changes everything. ,english,18.0,310.0,"I got it!. Next time, little man. I got it, little man. I got you, man. You good, little man?. Don't call me little man. Little man!. Let me see. Whoa!. Look at you guys. Whoa!. Hey, you're too little, little man. You flinched!. Don't call me little man. You good man?. Yeah man. Four parks. One vacation that changes",
Word,53.121,0.4799999999999969,default,default,,,,,,,53.601,everything.,17.0,One vacation that changes everything. ,english,26.0,318.0,"I got it!. Next time, little man. I got it, little man. I got you, man. You good, little man?. Don't call me little man. Little man!. Let me see. Whoa!. Look at you guys. Whoa!. Hey, you're too little, little man. You flinched!. Don't call me little man. You good man?. Yeah man. Four parks. One vacation that changes everything.",
Sentence,54.120999000000005,0.9810019999999945,default,default,,,,,,,55.102001,You good little man?. ,,,,,,,
Word,54.121,0.1599999999999966,default,default,,,,,,,54.281,You,18.0,You good little man?. ,english,0.0,330.0,"I got it!. Next time, little man. I got it, little man. I got you, man. You good, little man?. Don't call me little man. Little man!. Let me see. Whoa!. Look at you guys. Whoa!. Hey, you're too little, little man. You flinched!. Don't call me little man. You good man?. Yeah man. Four parks. One vacation that changes everything. You",
Word,54.301,0.18099999999999739,default,default,,,,,,,54.482,good,18.0,You good little man?. ,english,4.0,334.0,"I got it!. Next time, little man. I got it, little man. I got you, man. You good, little man?. Don't call me little man. Little man!. Let me see. Whoa!. Look at you guys. Whoa!. Hey, you're too little, little man. You flinched!. Don't call me little man. You good man?. Yeah man. Four parks. One vacation that changes everything. You good",
Word,54.502,0.259999999999998,default,default,,,,,,,54.762,little,18.0,You good little man?. ,english,9.0,339.0,"I got it!. Next time, little man. I got it, little man. I got you, man. You good, little man?. Don't call me little man. Little man!. Let me see. Whoa!. Look at you guys. Whoa!. Hey, you're too little, little man. You flinched!. Don't call me little man. You good man?. Yeah man. Four parks. One vacation that changes everything. You good little",
Word,54.782,0.3200000000000003,default,default,,,,,,,55.102,man?,18.0,You good little man?. ,english,16.0,346.0,"I got it!. Next time, little man. I got it, little man. I got you, man. You good, little man?. Don't call me little man. Little man!. Let me see. Whoa!. Look at you guys. Whoa!. Hey, you're too little, little man. You flinched!. Don't call me little man. You good man?. Yeah man. Four parks. One vacation that changes everything. You good little man?",
Sentence,56.281999,1.7610020000000028,default,default,,,,,,,58.043001000000004,Universal orlando resort,,,,,,,
Word,56.282,0.5800000000000054,default,default,,,,,,,56.862,Universal,19.0,Universal orlando resort,english,0.0,352.0,"I got it!. Next time, little man. I got it, little man. I got you, man. You good, little man?. Don't call me little man. Little man!. Let me see. Whoa!. Look at you guys. Whoa!. Hey, you're too little, little man. You flinched!. Don't call me little man. You good man?. Yeah man. Four parks. One vacation that changes everything. You good little man?. Universal",
Word,57.063,0.5,default,default,,,,,,,57.563,Orlando,19.0,Universal orlando resort,english,10.0,362.0,"I got it!. Next time, little man. I got it, little man. I got you, man. You good, little man?. Don't call me little man. Little man!. Let me see. Whoa!. Look at you guys. Whoa!. Hey, you're too little, little man. You flinched!. Don't call me little man. You good man?. Yeah man. Four parks. One vacation that changes everything. You good little man?. Universal orlando",
Word,57.623,0.4200000000000017,default,default,,,,,,,58.043,Resort.,19.0,Universal orlando resort,english,18.0,370.0,"I got it!. Next time, little man. I got it, little man. I got you, man. You good, little man?. Don't call me little man. Little man!. Let me see. Whoa!. Look at you guys. Whoa!. Hey, you're too little, little man. You flinched!. Don't call me little man. You good man?. Yeah man. Four parks. One vacation that changes everything. You good little man?. Universal orlando resort",
