type,start,duration,timeline,subject,session,task,run,filepath,frequency,offset,stop,text,sequence_id,sentence,language,sentence_char,text_char,context,modality
Audio,0.0,30.09,default,default,,,,/content/gdrive/MyDrive/tribetest/29~38/VW   대대적인 초대 운전자를 모집합니다.   빅 게임 스팟.wav,44100.0,0.0,30.09,,,,,,,,
Video,0.0,30.09,default,default,,,,/content/gdrive/MyDrive/tribetest/29~38/VW   대대적인 초대 운전자를 모집합니다.   빅 게임 스팟.mp4,23.976023976023978,0.0,30.09,,,,,,,,
Sentence,0.730999,0.2800019999999999,default,default,,,,,,,1.0110009999999998,Life. ,,,,,,,
Text,0.731,29.247999999999998,default,default,,,,,,,29.979,"Life. If we're not living it, what are we doing here?. So?. We'll be right back",0.0,,english,,,,
Word,0.731,0.2799999999999999,default,default,,,,,,,1.011,Life.,0.0,Life. ,english,0.0,0.0,Life.,
Sentence,2.2919989999999997,4.401002,default,default,,,,,,,6.693001,"If we're not living it, what are we doing here?. ",,,,,,,
Word,2.292,0.06,default,default,,,,,,,2.352,If,1.0,"If we're not living it, what are we doing here?. ",english,0.0,6.0,Life. If,
Word,2.392,0.1800000000000001,default,default,,,,,,,2.572,we're,1.0,"If we're not living it, what are we doing here?. ",english,3.0,9.0,Life. If we're,
Word,2.592,0.1,default,default,,,,,,,2.692,not,1.0,"If we're not living it, what are we doing here?. ",english,9.0,15.0,Life. If we're not,
Word,2.732,0.2399999999999997,default,default,,,,,,,2.972,living,1.0,"If we're not living it, what are we doing here?. ",english,13.0,19.0,Life. If we're not living,
Word,3.032,0.96,default,default,,,,,,,3.992,"it,",1.0,"If we're not living it, what are we doing here?. ",english,20.0,26.0,"Life. If we're not living it,",
Word,5.713,0.1200000000000001,default,default,,,,,,,5.833,what,1.0,"If we're not living it, what are we doing here?. ",english,24.0,30.0,"Life. If we're not living it, what",
Word,5.893,0.08,default,default,,,,,,,5.973,are,1.0,"If we're not living it, what are we doing here?. ",english,29.0,35.0,"Life. If we're not living it, what are",
Word,5.993,0.0999999999999996,default,default,,,,,,,6.093,we,1.0,"If we're not living it, what are we doing here?. ",english,33.0,39.0,"Life. If we're not living it, what are we",
Word,6.133,0.2800000000000002,default,default,,,,,,,6.413,doing,1.0,"If we're not living it, what are we doing here?. ",english,36.0,42.0,"Life. If we're not living it, what are we doing",
Word,6.493,0.1999999999999993,default,default,,,,,,,6.693,here?,1.0,"If we're not living it, what are we doing here?. ",english,42.0,48.0,"Life. If we're not living it, what are we doing here?",
Sentence,9.113999000000002,0.28000199999999936,default,default,,,,,,,9.394001000000001,So?. ,,,,,,,
Word,9.114,0.2799999999999993,default,default,,,,,,,9.394,So?,2.0,So?. ,english,0.0,55.0,"Life. If we're not living it, what are we doing here?. So?",
Sentence,29.135998999999998,0.8430019999999999,default,default,,,,,,,29.979000999999997,We'll be right back,,,,,,,
Word,29.136,0.2059999999999995,default,default,,,,,,,29.342,We'll,3.0,We'll be right back,english,0.0,60.0,"Life. If we're not living it, what are we doing here?. So?. We'll",
Word,29.362,0.0410000000000003,default,default,,,,,,,29.403,be,3.0,We'll be right back,english,6.0,66.0,"Life. If we're not living it, what are we doing here?. So?. We'll be",
Word,29.424,0.2669999999999994,default,default,,,,,,,29.691,right,3.0,We'll be right back,english,9.0,69.0,"Life. If we're not living it, what are we doing here?. So?. We'll be right",
Word,29.732,0.2469999999999999,default,default,,,,,,,29.979,back.,3.0,We'll be right back,english,15.0,75.0,"Life. If we're not living it, what are we doing here?. So?. We'll be right back",
