type,start,duration,timeline,subject,session,task,run,filepath,frequency,offset,stop,text,sequence_id,sentence,language,sentence_char,text_char,context,modality
Audio,0.0,30.09,default,default,,,,/content/drive/MyDrive/tribetest/17~28/Where Dreams Began   Toyota X NFL.wav,44100.0,0.0,30.09,,,,,,,,
Video,0.0,30.09,default,default,,,,/content/drive/MyDrive/tribetest/17~28/Where Dreams Began   Toyota X NFL.mp4,24.01,0.0,30.09,,,,,,,,
Sentence,1.500999,1.1200020000000002,default,default,,,,,,,2.621001,"All right, big me. ",,,,,,,
Text,1.501,23.246,default,default,,,,,,,24.747,"All right, big me. This is where the dream began. Can you guys remember me?. My younger self?. Yep. I'm the you who never gave up. We got this. If we push ourselves, we'll go further than we ever thought we could",0.0,,english,,,,
Word,1.501,0.10000000000000009,default,default,,,,,,,1.601,All,0.0,"All right, big me. ",english,0.0,0.0,All,
Word,1.621,0.17999999999999994,default,default,,,,,,,1.801,"right,",0.0,"All right, big me. ",english,4.0,4.0,"All right,",
Word,1.841,0.30000000000000004,default,default,,,,,,,2.141,big,0.0,"All right, big me. ",english,11.0,11.0,"All right, big",
Word,2.281,0.33999999999999986,default,default,,,,,,,2.621,me.,0.0,"All right, big me. ",english,15.0,15.0,"All right, big me.",
Sentence,2.780999,1.7210019999999997,default,default,,,,,,,4.502001,This is where the dream began. ,,,,,,,
Word,2.781,0.19999999999999973,default,default,,,,,,,2.981,This,1.0,This is where the dream began. ,english,0.0,19.0,"All right, big me. This",
Word,3.061,0.08000000000000007,default,default,,,,,,,3.141,is,1.0,This is where the dream began. ,english,5.0,24.0,"All right, big me. This is",
Word,3.181,0.18000000000000016,default,default,,,,,,,3.361,where,1.0,This is where the dream began. ,english,8.0,27.0,"All right, big me. This is where",
Word,3.381,0.121,default,default,,,,,,,3.502,the,1.0,This is where the dream began. ,english,14.0,33.0,"All right, big me. This is where the",
Word,3.522,0.3600000000000003,default,default,,,,,,,3.882,dream,1.0,This is where the dream began. ,english,18.0,37.0,"All right, big me. This is where the dream",
Word,3.922,0.5799999999999996,default,default,,,,,,,4.502,began.,1.0,This is where the dream began. ,english,24.0,43.0,"All right, big me. This is where the dream began.",
Sentence,5.3819989999999995,5.061002,default,default,,,,,,,10.443000999999999,Can you guys remember me?. ,,,,,,,
Word,5.382,0.2600000000000007,default,default,,,,,,,5.642,Can,2.0,Can you guys remember me?. ,english,0.0,50.0,"All right, big me. This is where the dream began. Can",
Word,5.862,3.3610000000000007,default,default,,,,,,,9.223,you,2.0,Can you guys remember me?. ,english,4.0,54.0,"All right, big me. This is where the dream began. Can you",
Word,9.263,0.35999999999999943,default,default,,,,,,,9.623,guys,2.0,Can you guys remember me?. ,english,8.0,58.0,"All right, big me. This is where the dream began. Can you guys",
Word,9.663,0.5,default,default,,,,,,,10.163,remember,2.0,Can you guys remember me?. ,english,13.0,63.0,"All right, big me. This is where the dream began. Can you guys remember",
Word,10.283,0.16000000000000014,default,default,,,,,,,10.443,me?,2.0,Can you guys remember me?. ,english,22.0,72.0,"All right, big me. This is where the dream began. Can you guys remember me?",
Sentence,11.042999,0.641002,default,default,,,,,,,11.684001,My younger self?. ,,,,,,,
Word,11.043,0.120000000000001,default,default,,,,,,,11.163,My,3.0,My younger self?. ,english,0.0,77.0,"All right, big me. This is where the dream began. Can you guys remember me?. My",
Word,11.203,0.22000000000000064,default,default,,,,,,,11.423,younger,3.0,My younger self?. ,english,3.0,80.0,"All right, big me. This is where the dream began. Can you guys remember me?. My younger",
Word,11.463,0.22100000000000009,default,default,,,,,,,11.684,self?,3.0,My younger self?. ,english,11.0,88.0,"All right, big me. This is where the dream began. Can you guys remember me?. My younger self?",
Sentence,12.263999,0.3000020000000007,default,default,,,,,,,12.564001000000001,Yep. ,,,,,,,
Word,12.264,0.3000000000000007,default,default,,,,,,,12.564,Yep.,4.0,Yep. ,english,0.0,95.0,"All right, big me. This is where the dream began. Can you guys remember me?. My younger self?. Yep.",
Sentence,13.083999,1.8800020000000008,default,default,,,,,,,14.964001000000001,I'm the you who never gave up. ,,,,,,,
Word,13.084,0.14000000000000057,default,default,,,,,,,13.224,I'm,5.0,I'm the you who never gave up. ,english,0.0,100.0,"All right, big me. This is where the dream began. Can you guys remember me?. My younger self?. Yep. I'm",
Word,13.244,0.17999999999999972,default,default,,,,,,,13.424,the,5.0,I'm the you who never gave up. ,english,4.0,104.0,"All right, big me. This is where the dream began. Can you guys remember me?. My younger self?. Yep. I'm the",
Word,13.464,0.33999999999999986,default,default,,,,,,,13.804,you,5.0,I'm the you who never gave up. ,english,8.0,108.0,"All right, big me. This is where the dream began. Can you guys remember me?. My younger self?. Yep. I'm the you",
Word,13.864,0.23999999999999844,default,default,,,,,,,14.104,who,5.0,I'm the you who never gave up. ,english,12.0,112.0,"All right, big me. This is where the dream began. Can you guys remember me?. My younger self?. Yep. I'm the you who",
Word,14.124,0.29999999999999893,default,default,,,,,,,14.424,never,5.0,I'm the you who never gave up. ,english,16.0,116.0,"All right, big me. This is where the dream began. Can you guys remember me?. My younger self?. Yep. I'm the you who never",
Word,14.464,0.1999999999999993,default,default,,,,,,,14.664,gave,5.0,I'm the you who never gave up. ,english,22.0,122.0,"All right, big me. This is where the dream began. Can you guys remember me?. My younger self?. Yep. I'm the you who never gave",
Word,14.824,0.14000000000000057,default,default,,,,,,,14.964,up.,5.0,I'm the you who never gave up. ,english,27.0,127.0,"All right, big me. This is where the dream began. Can you guys remember me?. My younger self?. Yep. I'm the you who never gave up.",
Sentence,15.183999,3.5610020000000016,default,default,,,,,,,18.745001000000002,We got this. ,,,,,,,
Word,15.184,0.16000000000000014,default,default,,,,,,,15.344,We,6.0,We got this. ,english,0.0,131.0,"All right, big me. This is where the dream began. Can you guys remember me?. My younger self?. Yep. I'm the you who never gave up. We",
Word,15.364,0.15999999999999837,default,default,,,,,,,15.524,got,6.0,We got this. ,english,3.0,134.0,"All right, big me. This is where the dream began. Can you guys remember me?. My younger self?. Yep. I'm the you who never gave up. We got",
Word,15.585,3.16,default,default,,,,,,,18.745,this.,6.0,We got this. ,english,7.0,138.0,"All right, big me. This is where the dream began. Can you guys remember me?. My younger self?. Yep. I'm the you who never gave up. We got this.",
Sentence,18.844998999999998,5.902002000000001,default,default,,,,,,,24.747000999999997,"If we push ourselves, we'll go further than we ever thought we could",,,,,,,
Word,18.845,0.10000000000000142,default,default,,,,,,,18.945,If,7.0,"If we push ourselves, we'll go further than we ever thought we could",english,0.0,144.0,"All right, big me. This is where the dream began. Can you guys remember me?. My younger self?. Yep. I'm the you who never gave up. We got this. If",
Word,18.965,0.3000000000000007,default,default,,,,,,,19.265,we,7.0,"If we push ourselves, we'll go further than we ever thought we could",english,3.0,147.0,"All right, big me. This is where the dream began. Can you guys remember me?. My younger self?. Yep. I'm the you who never gave up. We got this. If we",
Word,19.325,0.30100000000000193,default,default,,,,,,,19.626,push,7.0,"If we push ourselves, we'll go further than we ever thought we could",english,6.0,150.0,"All right, big me. This is where the dream began. Can you guys remember me?. My younger self?. Yep. I'm the you who never gave up. We got this. If we push",
Word,19.726,0.620000000000001,default,default,,,,,,,20.346,"ourselves,",7.0,"If we push ourselves, we'll go further than we ever thought we could",english,11.0,155.0,"All right, big me. This is where the dream began. Can you guys remember me?. My younger self?. Yep. I'm the you who never gave up. We got this. If we push ourselves,",
Word,20.646,0.5799999999999983,default,default,,,,,,,21.226,we'll,7.0,"If we push ourselves, we'll go further than we ever thought we could",english,22.0,166.0,"All right, big me. This is where the dream began. Can you guys remember me?. My younger self?. Yep. I'm the you who never gave up. We got this. If we push ourselves, we'll",
Word,21.246,0.28000000000000114,default,default,,,,,,,21.526,go,7.0,"If we push ourselves, we'll go further than we ever thought we could",english,28.0,172.0,"All right, big me. This is where the dream began. Can you guys remember me?. My younger self?. Yep. I'm the you who never gave up. We got this. If we push ourselves, we'll go",
Word,21.546,0.8599999999999994,default,default,,,,,,,22.406,further,7.0,"If we push ourselves, we'll go further than we ever thought we could",english,31.0,175.0,"All right, big me. This is where the dream began. Can you guys remember me?. My younger self?. Yep. I'm the you who never gave up. We got this. If we push ourselves, we'll go further",
Word,22.426,0.20000000000000284,default,default,,,,,,,22.626,than,7.0,"If we push ourselves, we'll go further than we ever thought we could",english,39.0,183.0,"All right, big me. This is where the dream began. Can you guys remember me?. My younger self?. Yep. I'm the you who never gave up. We got this. If we push ourselves, we'll go further than",
Word,22.746,0.120000000000001,default,default,,,,,,,22.866,we,7.0,"If we push ourselves, we'll go further than we ever thought we could",english,44.0,188.0,"All right, big me. This is where the dream began. Can you guys remember me?. My younger self?. Yep. I'm the you who never gave up. We got this. If we push ourselves, we'll go further than we",
Word,22.946,0.3999999999999986,default,default,,,,,,,23.346,ever,7.0,"If we push ourselves, we'll go further than we ever thought we could",english,47.0,191.0,"All right, big me. This is where the dream began. Can you guys remember me?. My younger self?. Yep. I'm the you who never gave up. We got this. If we push ourselves, we'll go further than we ever",
Word,23.366,0.48100000000000165,default,default,,,,,,,23.847,thought,7.0,"If we push ourselves, we'll go further than we ever thought we could",english,52.0,196.0,"All right, big me. This is where the dream began. Can you guys remember me?. My younger self?. Yep. I'm the you who never gave up. We got this. If we push ourselves, we'll go further than we ever thought",
Word,23.867,0.1999999999999993,default,default,,,,,,,24.067,we,7.0,"If we push ourselves, we'll go further than we ever thought we could",english,60.0,204.0,"All right, big me. This is where the dream began. Can you guys remember me?. My younger self?. Yep. I'm the you who never gave up. We got this. If we push ourselves, we'll go further than we ever thought we",
Word,24.107,0.6400000000000006,default,default,,,,,,,24.747,could.,7.0,"If we push ourselves, we'll go further than we ever thought we could",english,63.0,207.0,"All right, big me. This is where the dream began. Can you guys remember me?. My younger self?. Yep. I'm the you who never gave up. We got this. If we push ourselves, we'll go further than we ever thought we could",
