type,start,duration,timeline,subject,session,task,run,filepath,frequency,offset,stop,text,sequence_id,sentence,language,sentence_char,text_char,context,modality
Audio,0.0,30.09,default,default,,,,/content/drive/MyDrive/New project/Wix Harmony Big Game Commercial 2026   The New Way to Create.wav,44100.0,0.0,30.09,,,,,,,,
Video,0.0,30.09,default,default,,,,/content/drive/MyDrive/New project/Wix Harmony Big Game Commercial 2026   The New Way to Create.mp4,24.01,0.0,30.09,,,,,,,,
Sentence,2.348999,6.051002,default,default,,,,,,,8.400001,The way you see an idea in your mind. ,,,,,,,
Text,2.349,27.489,default,default,,,,,,,29.838,The way you see an idea in your mind. The way you describe it to a friend. This is how website creation should be. Expression as natural as thinking. Let it out. Shape it into something that could only come from you. This is the new way to create. Wix harmony,0.0,,english,,,,
Word,2.349,0.6809999999999996,default,default,,,,,,,3.03,The,0.0,The way you see an idea in your mind. ,english,0.0,0.0,The,
Word,3.07,0.14000000000000012,default,default,,,,,,,3.21,way,0.0,The way you see an idea in your mind. ,english,4.0,4.0,The way,
Word,3.23,0.14100000000000001,default,default,,,,,,,3.371,you,0.0,The way you see an idea in your mind. ,english,8.0,8.0,The way you,
Word,3.431,0.19999999999999973,default,default,,,,,,,3.631,see,0.0,The way you see an idea in your mind. ,english,12.0,12.0,The way you see,
Word,3.691,0.08000000000000007,default,default,,,,,,,3.771,an,0.0,The way you see an idea in your mind. ,english,16.0,16.0,The way you see an,
Word,3.851,0.32099999999999973,default,default,,,,,,,4.172,idea,0.0,The way you see an idea in your mind. ,english,19.0,19.0,The way you see an idea,
Word,4.232,0.08000000000000007,default,default,,,,,,,4.312,in,0.0,The way you see an idea in your mind. ,english,24.0,24.0,The way you see an idea in,
Word,4.332,0.1200000000000001,default,default,,,,,,,4.452,your,0.0,The way you see an idea in your mind. ,english,27.0,27.0,The way you see an idea in your,
Word,4.493,3.907,default,default,,,,,,,8.4,mind.,0.0,The way you see an idea in your mind. ,english,32.0,32.0,The way you see an idea in your mind.,
Sentence,8.419999,1.6630020000000003,default,default,,,,,,,10.083001000000001,The way you describe it to a friend. ,,,,,,,
Word,8.42,0.08000000000000007,default,default,,,,,,,8.5,The,1.0,The way you describe it to a friend. ,english,0.0,38.0,The way you see an idea in your mind. The,
Word,8.52,0.09999999999999964,default,default,,,,,,,8.62,way,1.0,The way you describe it to a friend. ,english,4.0,42.0,The way you see an idea in your mind. The way,
Word,8.64,0.1399999999999988,default,default,,,,,,,8.78,you,1.0,The way you describe it to a friend. ,english,8.0,46.0,The way you see an idea in your mind. The way you,
Word,8.8,0.48099999999999987,default,default,,,,,,,9.281,describe,1.0,The way you describe it to a friend. ,english,12.0,50.0,The way you see an idea in your mind. The way you describe,
Word,9.321,0.08000000000000007,default,default,,,,,,,9.401,it,1.0,The way you describe it to a friend. ,english,21.0,59.0,The way you see an idea in your mind. The way you describe it,
Word,9.462,0.14000000000000057,default,default,,,,,,,9.602,to,1.0,The way you describe it to a friend. ,english,24.0,62.0,The way you see an idea in your mind. The way you describe it to,
Word,9.642,0.02000000000000135,default,default,,,,,,,9.662,a,1.0,The way you describe it to a friend. ,english,27.0,65.0,The way you see an idea in your mind. The way you describe it to a,
Word,9.722,0.36100000000000065,default,default,,,,,,,10.083,friend.,1.0,The way you describe it to a friend. ,english,29.0,67.0,The way you see an idea in your mind. The way you describe it to a friend.,
Sentence,11.685999,4.287002000000001,default,default,,,,,,,15.973001000000002,This is how website creation should be. ,,,,,,,
Word,11.686,0.27999999999999936,default,default,,,,,,,11.966,This,2.0,This is how website creation should be. ,english,0.0,75.0,The way you see an idea in your mind. The way you describe it to a friend. This,
Word,13.188,0.08000000000000007,default,default,,,,,,,13.268,is,2.0,This is how website creation should be. ,english,5.0,80.0,The way you see an idea in your mind. The way you describe it to a friend. This is,
Word,13.309,0.120000000000001,default,default,,,,,,,13.429,how,2.0,This is how website creation should be. ,english,8.0,83.0,The way you see an idea in your mind. The way you describe it to a friend. This is how,
Word,13.449,0.4410000000000007,default,default,,,,,,,13.89,website,2.0,This is how website creation should be. ,english,12.0,87.0,The way you see an idea in your mind. The way you describe it to a friend. This is how website,
Word,13.93,0.5410000000000004,default,default,,,,,,,14.471,creation,2.0,This is how website creation should be. ,english,20.0,95.0,The way you see an idea in your mind. The way you describe it to a friend. This is how website creation,
