type,start,duration,timeline,subject,session,task,run,filepath,frequency,offset,stop,text,sequence_id,sentence,language,sentence_char,text_char,context,modality
Audio,0.0,30.09,default,default,,,,/content/gdrive/MyDrive/tribetest/29~38/YES BUENO 2026.wav,44100.0,0.0,30.09,,,,,,,,
Video,0.0,30.09,default,default,,,,/content/gdrive/MyDrive/tribetest/29~38/YES BUENO 2026.mp4,23.976023976023978,0.0,30.09,,,,,,,,
Sentence,4.079999,0.5210019999999999,default,default,,,,,,,4.601001,No bueno. ,,,,,,,
Text,4.08,25.859,default,default,,,,,,,29.939,"No bueno. Yes, kinder bueno. No bueno. Yes, bueno. Get more in here. Y bueno. No bueno. Yes, bueno. Irresistible chocolate. Pay for hazelnut. Yes, bueno",0.0,,english,,,,
Word,4.08,0.1600000000000001,default,default,,,,,,,4.24,No,0.0,No bueno. ,english,0.0,0.0,No,
Word,4.26,0.3410000000000002,default,default,,,,,,,4.601,bueno.,0.0,No bueno. ,english,3.0,3.0,No bueno.,
Sentence,4.620999,1.622002,default,default,,,,,,,6.2430010000000005,"Yes, kinder bueno. ",,,,,,,
Word,4.621,0.2799999999999993,default,default,,,,,,,4.901,"Yes,",1.0,"Yes, kinder bueno. ",english,0.0,10.0,"No bueno. Yes,",
Word,5.342,0.4010000000000007,default,default,,,,,,,5.743,kinder,1.0,"Yes, kinder bueno. ",english,5.0,15.0,"No bueno. Yes, kinder",
Word,5.783,0.4599999999999999,default,default,,,,,,,6.243,bueno.,1.0,"Yes, kinder bueno. ",english,12.0,22.0,"No bueno. Yes, kinder bueno.",
Sentence,7.705999,0.5600019999999996,default,default,,,,,,,8.266001,No bueno. ,,,,,,,
Word,7.706,0.1199999999999992,default,default,,,,,,,7.826,No,2.0,No bueno. ,english,0.0,29.0,"No bueno. Yes, kinder bueno. No",
Word,7.846,0.4199999999999999,default,default,,,,,,,8.266,bueno.,2.0,No bueno. ,english,3.0,32.0,"No bueno. Yes, kinder bueno. No bueno.",
Sentence,8.726999000000001,1.3220019999999992,default,default,,,,,,,10.049001,"Yes, bueno. ",,,,,,,
Word,8.727,0.2199999999999988,default,default,,,,,,,8.947,"Yes,",3.0,"Yes, bueno. ",english,0.0,39.0,"No bueno. Yes, kinder bueno. No bueno. Yes,",
Word,9.628,0.4209999999999994,default,default,,,,,,,10.049,bueno.,3.0,"Yes, bueno. ",english,5.0,44.0,"No bueno. Yes, kinder bueno. No bueno. Yes, bueno.",
Sentence,10.349999,0.9210020000000011,default,default,,,,,,,11.271001000000002,Get more in here. ,,,,,,,
Word,10.35,0.1600000000000001,default,default,,,,,,,10.51,Get,4.0,Get more in here. ,english,0.0,51.0,"No bueno. Yes, kinder bueno. No bueno. Yes, bueno. Get",
Word,10.55,0.1999999999999993,default,default,,,,,,,10.75,more,4.0,Get more in here. ,english,4.0,55.0,"No bueno. Yes, kinder bueno. No bueno. Yes, bueno. Get more",
Word,10.83,0.1199999999999992,default,default,,,,,,,10.95,in,4.0,Get more in here. ,english,9.0,60.0,"No bueno. Yes, kinder bueno. No bueno. Yes, bueno. Get more in",
Word,10.99,0.2810000000000006,default,default,,,,,,,11.271,here.,4.0,Get more in here. ,english,12.0,63.0,"No bueno. Yes, kinder bueno. No bueno. Yes, bueno. Get more in here.",
Sentence,14.154999,2.264002000000001,default,default,,,,,,,16.419001,Y bueno. ,,,,,,,
Word,14.155,0.4210000000000011,default,default,,,,,,,14.576,Y,5.0,Y bueno. ,english,0.0,69.0,"No bueno. Yes, kinder bueno. No bueno. Yes, bueno. Get more in here. Y",
Word,15.297,1.122,default,default,,,,,,,16.419,bueno.,5.0,Y bueno. ,english,2.0,71.0,"No bueno. Yes, kinder bueno. No bueno. Yes, bueno. Get more in here. Y bueno.",
Sentence,16.658998999999998,6.409002000000003,default,default,,,,,,,23.068001000000002,No bueno. ,,,,,,,
Word,16.659,0.3200000000000003,default,default,,,,,,,16.979,No,6.0,No bueno. ,english,0.0,78.0,"No bueno. Yes, kinder bueno. No bueno. Yes, bueno. Get more in here. Y bueno. No",
Word,17.22,5.8480000000000025,default,default,,,,,,,23.068,bueno.,6.0,No bueno. ,english,3.0,81.0,"No bueno. Yes, kinder bueno. No bueno. Yes, bueno. Get more in here. Y bueno. No bueno.",
Sentence,23.548999,1.242002000000001,default,default,,,,,,,24.791000999999998,"Yes, bueno. ",,,,,,,
Word,23.549,0.3610000000000006,default,default,,,,,,,23.91,"Yes,",7.0,"Yes, bueno. ",english,0.0,88.0,"No bueno. Yes, kinder bueno. No bueno. Yes, bueno. Get more in here. Y bueno. No bueno. Yes,",
Word,24.19,0.6009999999999991,default,default,,,,,,,24.791,bueno.,7.0,"Yes, bueno. ",english,5.0,93.0,"No bueno. Yes, kinder bueno. No bueno. Yes, bueno. Get more in here. Y bueno. No bueno. Yes, bueno.",
Sentence,25.171999,1.662001999999999,default,default,,,,,,,26.834000999999997,Irresistible chocolate. ,,,,,,,
Word,25.172,0.6810000000000009,default,default,,,,,,,25.853,Irresistible,8.0,Irresistible chocolate. ,english,0.0,100.0,"No bueno. Yes, kinder bueno. No bueno. Yes, bueno. Get more in here. Y bueno. No bueno. Yes, bueno. Irresistible",
Word,25.893,0.940999999999999,default,default,,,,,,,26.834,chocolate.,8.0,Irresistible chocolate. ,english,13.0,113.0,"No bueno. Yes, kinder bueno. No bueno. Yes, bueno. Get more in here. Y bueno. No bueno. Yes, bueno. Irresistible chocolate.",
Sentence,26.853998999999998,1.5620020000000012,default,default,,,,,,,28.416000999999998,Pay for hazelnut. ,,,,,,,
Word,26.854,0.240000000000002,default,default,,,,,,,27.094,Pay,9.0,Pay for hazelnut. ,english,0.0,124.0,"No bueno. Yes, kinder bueno. No bueno. Yes, bueno. Get more in here. Y bueno. No bueno. Yes, bueno. Irresistible chocolate. Pay",
Word,27.135,0.3999999999999986,default,default,,,,,,,27.535,for,9.0,Pay for hazelnut. ,english,4.0,128.0,"No bueno. Yes, kinder bueno. No bueno. Yes, bueno. Get more in here. Y bueno. No bueno. Yes, bueno. Irresistible chocolate. Pay for",
Word,27.695,0.7210000000000001,default,default,,,,,,,28.416,hazelnut.,9.0,Pay for hazelnut. ,english,8.0,132.0,"No bueno. Yes, kinder bueno. No bueno. Yes, bueno. Get more in here. Y bueno. No bueno. Yes, bueno. Irresistible chocolate. Pay for hazelnut.",
Sentence,28.536998999999998,1.402002000000001,default,default,,,,,,,29.939000999999998,"Yes, bueno",,,,,,,
Word,28.537,0.4400000000000013,default,default,,,,,,,28.977,"Yes,",10.0,"Yes, bueno",english,0.0,142.0,"No bueno. Yes, kinder bueno. No bueno. Yes, bueno. Get more in here. Y bueno. No bueno. Yes, bueno. Irresistible chocolate. Pay for hazelnut. Yes,",
Word,29.378,0.5609999999999999,default,default,,,,,,,29.939,bueno.,10.0,"Yes, bueno",english,5.0,147.0,"No bueno. Yes, kinder bueno. No bueno. Yes, bueno. Get more in here. Y bueno. No bueno. Yes, bueno. Irresistible chocolate. Pay for hazelnut. Yes, bueno",
