type,start,duration,timeline,subject,session,task,run,filepath,frequency,offset,stop,text,sequence_id,sentence,language,sentence_char,text_char,context,modality
Audio,0.0,30.09,default,default,,,,/content/drive/MyDrive/tribetest/17~28/boshi.wav,44100.0,0.0,30.09,,,,,,,,
Video,0.0,30.09,default,default,,,,/content/drive/MyDrive/tribetest/17~28/boshi.mp4,23.976023976023978,0.0,30.09,,,,,,,,
Sentence,0.27099900000000005,0.6810019999999999,default,default,,,,,,,0.9520009999999999,I'm just a guy. ,,,,,,,
Text,0.271,28.236,default,default,,,,,,,28.507,"I'm just a guy. But when i use my bosch appliances, i feel like more than just a guy. I feel like guy. Same goes for these bosch power tools here. Just a guy. Guy. Just a guy. Guy, guy, guy. Just a guy. Guy. With phenomenal appliances. And powerful power tools. Thought you only spoke french. The more you bosch, the more you feel like a guy",0.0,,english,,,,
Word,0.271,0.12,default,default,,,,,,,0.391,I'm,0.0,I'm just a guy. ,english,0.0,0.0,I'm,
Word,0.411,0.22000000000000003,default,default,,,,,,,0.631,just,0.0,I'm just a guy. ,english,4.0,4.0,I'm just,
Word,0.651,0.039999999999999925,default,default,,,,,,,0.691,a,0.0,I'm just a guy. ,english,9.0,9.0,I'm just a,
Word,0.731,0.22099999999999997,default,default,,,,,,,0.952,guy.,0.0,I'm just a guy. ,english,11.0,11.0,I'm just a guy.,
Sentence,1.431999,3.8620019999999995,default,default,,,,,,,5.294001,"But when i use my bosch appliances, i feel like more than just a guy. ",,,,,,,
Word,1.432,0.1200000000000001,default,default,,,,,,,1.552,But,1.0,"But when i use my bosch appliances, i feel like more than just a guy. ",english,0.0,16.0,I'm just a guy. But,
Word,1.572,0.09999999999999987,default,default,,,,,,,1.672,when,1.0,"But when i use my bosch appliances, i feel like more than just a guy. ",english,4.0,20.0,I'm just a guy. But when,
Word,1.712,0.040000000000000036,default,default,,,,,,,1.752,I,1.0,"But when i use my bosch appliances, i feel like more than just a guy. ",english,9.0,25.0,I'm just a guy. But when i,
