type,start,duration,timeline,subject,session,task,run,filepath,frequency,offset,stop,text,sequence_id,sentence,language,sentence_char,text_char,context,modality
Audio,0.0,30.09,default,default,,,,/content/drive/MyDrive/tribetest/17~28/hellmans.wav,44100.0,0.0,30.09,,,,,,,,
Video,0.0,30.09,default,default,,,,/content/drive/MyDrive/tribetest/17~28/hellmans.mp4,23.976023976023978,0.0,30.09,,,,,,,,
Sentence,0.615999,19.265002,default,default,,,,,,,19.881000999999998,I was born in this deli my best friend was that baloney that is until i met you sweet sandwich time hellman's makes it taste so good. ,,,,,,,
Text,0.616,28.907,default,default,,,,,,,29.523,I was born in this deli my best friend was that baloney that is until i met you sweet sandwich time hellman's makes it taste so good. This is how i make friends i'll squirt you while i'm walking by you're incredible incredibly lonely,0.0,,english,,,,
Word,0.616,0.06000000000000005,default,default,,,,,,,0.676,I,0.0,I was born in this deli my best friend was that baloney that is until i met you sweet sandwich time hellman's makes it taste so good. ,english,0.0,0.0,I,
Word,0.736,0.14,default,default,,,,,,,0.876,was,0.0,I was born in this deli my best friend was that baloney that is until i met you sweet sandwich time hellman's makes it taste so good. ,english,2.0,2.0,I was,
Word,0.976,0.3600000000000001,default,default,,,,,,,1.336,born,0.0,I was born in this deli my best friend was that baloney that is until i met you sweet sandwich time hellman's makes it taste so good. ,english,6.0,6.0,I was born,
Word,1.416,0.06000000000000005,default,default,,,,,,,1.476,in,0.0,I was born in this deli my best friend was that baloney that is until i met you sweet sandwich time hellman's makes it taste so good. ,english,11.0,11.0,I was born in,
Word,1.516,0.1399999999999999,default,default,,,,,,,1.656,this,0.0,I was born in this deli my best friend was that baloney that is until i met you sweet sandwich time hellman's makes it taste so good. ,english,14.0,14.0,I was born in this,
Word,1.736,0.3600000000000001,default,default,,,,,,,2.096,deli,0.0,I was born in this deli my best friend was that baloney that is until i met you sweet sandwich time hellman's makes it taste so good. ,english,19.0,19.0,I was born in this deli,
Word,3.617,0.2200000000000002,default,default,,,,,,,3.837,My,0.0,I was born in this deli my best friend was that baloney that is until i met you sweet sandwich time hellman's makes it taste so good. ,english,24.0,24.0,I was born in this deli my,
Word,3.917,0.2599999999999998,default,default,,,,,,,4.177,best,0.0,I was born in this deli my best friend was that baloney that is until i met you sweet sandwich time hellman's makes it taste so good. ,english,27.0,27.0,I was born in this deli my best,
Word,4.237,0.2999999999999998,default,default,,,,,,,4.537,friend,0.0,I was born in this deli my best friend was that baloney that is until i met you sweet sandwich time hellman's makes it taste so good. ,english,32.0,32.0,I was born in this deli my best friend,
Word,4.597,0.21999999999999975,default,default,,,,,,,4.817,was,0.0,I was born in this deli my best friend was that baloney that is until i met you sweet sandwich time hellman's makes it taste so good. ,english,39.0,39.0,I was born in this deli my best friend was,
Word,4.897,0.2999999999999998,default,default,,,,,,,5.197,that,0.0,I was born in this deli my best friend was that baloney that is until i met you sweet sandwich time hellman's makes it taste so good. ,english,43.0,43.0,I was born in this deli my best friend was that,
Word,5.277,0.9399999999999995,default,default,,,,,,,6.217,baloney,0.0,I was born in this deli my best friend was that baloney that is until i met you sweet sandwich time hellman's makes it taste so good. ,english,48.0,48.0,I was born in this deli my best friend was that baloney,
Word,7.618,0.40000000000000036,default,default,,,,,,,8.018,That,0.0,I was born in this deli my best friend was that baloney that is until i met you sweet sandwich time hellman's makes it taste so good. ,english,56.0,56.0,I was born in this deli my best friend was that baloney that,
Word,8.258,0.120000000000001,default,default,,,,,,,8.378,is,0.0,I was born in this deli my best friend was that baloney that is until i met you sweet sandwich time hellman's makes it taste so good. ,english,61.0,61.0,I was born in this deli my best friend was that baloney that is,
Word,8.558,0.4800000000000004,default,default,,,,,,,9.038,until,0.0,I was born in this deli my best friend was that baloney that is until i met you sweet sandwich time hellman's makes it taste so good. ,english,64.0,64.0,I was born in this deli my best friend was that baloney that is until,
