type,start,duration,timeline,subject,session,task,run,filepath,frequency,offset,stop,text,sequence_id,sentence,language,sentence_char,text_char,context,modality
Audio,0.0,30.09,default,default,,,,/content/drive/MyDrive/연선 tribe/New project/poppi Super Bowl LX Commercial   poppi.wav,44100.0,0.0,30.09,,,,,,,,
Video,0.0,30.09,default,default,,,,/content/drive/MyDrive/연선 tribe/New project/poppi Super Bowl LX Commercial   poppi.mp4,23.976023976023978,0.0,30.09,,,,,,,,
Sentence,0.250999,4.443002,default,default,,,,,,,4.694001,"As we'll learn today, the more precise we need. ",,,,,,,
Text,0.251,29.746,default,default,,,,,,,29.997,"As we'll learn today, the more precise we need. It's like, it's like... vibes. What, what is this?. I think it's just a vibes thing. Vibes. Vibes!. Put your hands up and dance,. Yeah. I'm gonna dance all night, that's right. Can i get one of those?. Make it poppy",0.0,,english,,,,
Word,0.251,0.12,default,default,,,,,,,0.371,As,0.0,"As we'll learn today, the more precise we need. ",english,0.0,0.0,As,
Word,0.451,0.2,default,default,,,,,,,0.651,we'll,0.0,"As we'll learn today, the more precise we need. ",english,3.0,3.0,As we'll,
Word,0.671,0.241,default,default,,,,,,,0.912,learn,0.0,"As we'll learn today, the more precise we need. ",english,9.0,9.0,As we'll learn,
Word,0.952,0.3600000000000001,default,default,,,,,,,1.312,"today,",0.0,"As we'll learn today, the more precise we need. ",english,15.0,15.0,"As we'll learn today,",
Word,1.352,0.1399999999999999,default,default,,,,,,,1.492,the,0.0,"As we'll learn today, the more precise we need. ",english,22.0,22.0,"As we'll learn today, the",
Word,1.552,0.4599999999999999,default,default,,,,,,,2.012,more,0.0,"As we'll learn today, the more precise we need. ",english,26.0,26.0,"As we'll learn today, the more",
Word,2.052,0.8809999999999998,default,default,,,,,,,2.933,precise,0.0,"As we'll learn today, the more precise we need. ",english,31.0,31.0,"As we'll learn today, the more precise",
Word,3.053,0.2600000000000002,default,default,,,,,,,3.313,we,0.0,"As we'll learn today, the more precise we need. ",english,39.0,39.0,"As we'll learn today, the more precise we",
Word,4.394,0.2999999999999998,default,default,,,,,,,4.694,need...,0.0,"As we'll learn today, the more precise we need. ",english,42.0,42.0,"As we'll learn today, the more precise we need. ",
Sentence,6.874999,1.9210019999999994,default,default,,,,,,,8.796000999999999,"It's like, it's like... vibes. ",,,,,,,
Word,6.875,0.2599999999999998,default,default,,,,,,,7.135,It's,1.0,"It's like, it's like... vibes. ",english,0.0,48.0,"As we'll learn today, the more precise we need. It's",
Word,7.195,0.3809999999999993,default,default,,,,,,,7.576,"like,",1.0,"It's like, it's like... vibes. ",english,5.0,53.0,"As we'll learn today, the more precise we need. It's like,",
Word,7.716,0.2400000000000002,default,default,,,,,,,7.956,it's,1.0,"It's like, it's like... vibes. ",english,11.0,59.0,"As we'll learn today, the more precise we need. It's like, it's",
Word,7.996,0.3399999999999998,default,default,,,,,,,8.336,like...,1.0,"It's like, it's like... vibes. ",english,16.0,64.0,"As we'll learn today, the more precise we need. It's like, it's like...",
Word,8.396,0.3999999999999986,default,default,,,,,,,8.796,Vibes.,1.0,"It's like, it's like... vibes. ",english,24.0,72.0,"As we'll learn today, the more precise we need. It's like, it's like... vibes.",
Sentence,11.817999,0.9010019999999997,default,default,,,,,,,12.719001,"What, what is this?. ",,,,,,,
Word,11.818,0.2599999999999998,default,default,,,,,,,12.078,"What,",2.0,"What, what is this?. ",english,0.0,79.0,"As we'll learn today, the more precise we need. It's like, it's like... vibes. What,",
Word,12.118,0.1600000000000001,default,default,,,,,,,12.278,what,2.0,"What, what is this?. ",english,6.0,85.0,"As we'll learn today, the more precise we need. It's like, it's like... vibes. What, what",
Word,12.338,0.0810000000000013,default,default,,,,,,,12.419,is,2.0,"What, what is this?. ",english,11.0,90.0,"As we'll learn today, the more precise we need. It's like, it's like... vibes. What, what is",
Word,12.479,0.2400000000000002,default,default,,,,,,,12.719,this?,2.0,"What, what is this?. ",english,14.0,93.0,"As we'll learn today, the more precise we need. It's like, it's like... vibes. What, what is this?",
Sentence,13.058999,1.561002,default,default,,,,,,,14.620001,I think it's just a vibes thing. ,,,,,,,
Word,13.059,0.0600000000000005,default,default,,,,,,,13.119,I,3.0,I think it's just a vibes thing. ,english,0.0,100.0,"As we'll learn today, the more precise we need. It's like, it's like... vibes. What, what is this?. I",
Word,13.139,0.120000000000001,default,default,,,,,,,13.259,think,3.0,I think it's just a vibes thing. ,english,2.0,102.0,"As we'll learn today, the more precise we need. It's like, it's like... vibes. What, what is this?. I think",
Word,13.299,0.0999999999999996,default,default,,,,,,,13.399,it's,3.0,I think it's just a vibes thing. ,english,8.0,108.0,"As we'll learn today, the more precise we need. It's like, it's like... vibes. What, what is this?. I think it's",
Word,13.419,0.1600000000000001,default,default,,,,,,,13.579,just,3.0,I think it's just a vibes thing. ,english,13.0,113.0,"As we'll learn today, the more precise we need. It's like, it's like... vibes. What, what is this?. I think it's just",
Word,13.659,0.0399999999999991,default,default,,,,,,,13.699,a,3.0,I think it's just a vibes thing. ,english,18.0,118.0,"As we'll learn today, the more precise we need. It's like, it's like... vibes. What, what is this?. I think it's just a",
Word,13.939,0.3209999999999997,default,default,,,,,,,14.26,vibes,3.0,I think it's just a vibes thing. ,english,20.0,120.0,"As we'll learn today, the more precise we need. It's like, it's like... vibes. What, what is this?. I think it's just a vibes",
Word,14.3,0.3199999999999985,default,default,,,,,,,14.62,thing.,3.0,I think it's just a vibes thing. ,english,26.0,126.0,"As we'll learn today, the more precise we need. It's like, it's like... vibes. What, what is this?. I think it's just a vibes thing.",
Sentence,14.879999000000002,2.0010019999999993,default,default,,,,,,,16.881001,Vibes. ,,,,,,,
Word,14.88,2.0009999999999994,default,default,,,,,,,16.881,Vibes.,4.0,Vibes. ,english,0.0,133.0,"As we'll learn today, the more precise we need. It's like, it's like... vibes. What, what is this?. I think it's just a vibes thing. Vibes.",
Sentence,16.920999,0.6610020000000013,default,default,,,,,,,17.582000999999998,Vibes!. ,,,,,,,
Word,16.921,0.6610000000000014,default,default,,,,,,,17.582,Vibes!,5.0,Vibes!. ,english,0.0,140.0,"As we'll learn today, the more precise we need. It's like, it's like... vibes. What, what is this?. I think it's just a vibes thing. Vibes. Vibes!",
Sentence,18.181998999999998,5.483002000000001,default,default,,,,,,,23.665000999999997,"Put your hands up and dance,. ",,,,,,,
Word,18.182,1.7409999999999997,default,default,,,,,,,19.923,Put,6.0,"Put your hands up and dance,. ",english,0.0,148.0,"As we'll learn today, the more precise we need. It's like, it's like... vibes. What, what is this?. I think it's just a vibes thing. Vibes. Vibes!. Put",
Word,20.043,2.362000000000002,default,default,,,,,,,22.405,your,6.0,"Put your hands up and dance,. ",english,4.0,152.0,"As we'll learn today, the more precise we need. It's like, it's like... vibes. What, what is this?. I think it's just a vibes thing. Vibes. Vibes!. Put your",
Word,22.585,0.1600000000000001,default,default,,,,,,,22.745,hands,6.0,"Put your hands up and dance,. ",english,9.0,157.0,"As we'll learn today, the more precise we need. It's like, it's like... vibes. What, what is this?. I think it's just a vibes thing. Vibes. Vibes!. Put your hands",
Word,22.805,0.0800000000000018,default,default,,,,,,,22.885,up,6.0,"Put your hands up and dance,. ",english,15.0,163.0,"As we'll learn today, the more precise we need. It's like, it's like... vibes. What, what is this?. I think it's just a vibes thing. Vibes. Vibes!. Put your hands up",
Word,22.925,0.1400000000000005,default,default,,,,,,,23.065,and,6.0,"Put your hands up and dance,. ",english,18.0,166.0,"As we'll learn today, the more precise we need. It's like, it's like... vibes. What, what is this?. I think it's just a vibes thing. Vibes. Vibes!. Put your hands up and",
Word,23.085,0.5799999999999983,default,default,,,,,,,23.665,"dance,",6.0,"Put your hands up and dance,. ",english,22.0,170.0,"As we'll learn today, the more precise we need. It's like, it's like... vibes. What, what is this?. I think it's just a vibes thing. Vibes. Vibes!. Put your hands up and dance,",
Sentence,23.684998999999998,0.20000200000000284,default,default,,,,,,,23.885001,Yeah. ,,,,,,,
Word,23.685,0.2000000000000028,default,default,,,,,,,23.885,yeah,6.0,Yeah. ,english,0.0,178.0,"As we'll learn today, the more precise we need. It's like, it's like... vibes. What, what is this?. I think it's just a vibes thing. Vibes. Vibes!. Put your hands up and dance,. Yeah",
Sentence,23.945999,1.7410019999999997,default,default,,,,,,,25.687001,"I'm gonna dance all night, that's right. ",,,,,,,
Word,23.946,0.1199999999999974,default,default,,,,,,,24.066,I'm,6.0,"I'm gonna dance all night, that's right. ",english,0.0,184.0,"As we'll learn today, the more precise we need. It's like, it's like... vibes. What, what is this?. I think it's just a vibes thing. Vibes. Vibes!. Put your hands up and dance,. Yeah. I'm",
Word,24.086,0.2200000000000024,default,default,,,,,,,24.306,gonna,6.0,"I'm gonna dance all night, that's right. ",english,4.0,188.0,"As we'll learn today, the more precise we need. It's like, it's like... vibes. What, what is this?. I think it's just a vibes thing. Vibes. Vibes!. Put your hands up and dance,. Yeah. I'm gonna",
Word,24.326,0.2199999999999988,default,default,,,,,,,24.546,dance,6.0,"I'm gonna dance all night, that's right. ",english,10.0,194.0,"As we'll learn today, the more precise we need. It's like, it's like... vibes. What, what is this?. I think it's just a vibes thing. Vibes. Vibes!. Put your hands up and dance,. Yeah. I'm gonna dance",
Word,24.586,0.120000000000001,default,default,,,,,,,24.706,all,6.0,"I'm gonna dance all night, that's right. ",english,16.0,200.0,"As we'll learn today, the more precise we need. It's like, it's like... vibes. What, what is this?. I think it's just a vibes thing. Vibes. Vibes!. Put your hands up and dance,. Yeah. I'm gonna dance all",
Word,24.726,0.1999999999999993,default,default,,,,,,,24.926,"night,",6.0,"I'm gonna dance all night, that's right. ",english,20.0,204.0,"As we'll learn today, the more precise we need. It's like, it's like... vibes. What, what is this?. I think it's just a vibes thing. Vibes. Vibes!. Put your hands up and dance,. Yeah. I'm gonna dance all night,",
Word,24.946,0.1799999999999997,default,default,,,,,,,25.126,that's,6.0,"I'm gonna dance all night, that's right. ",english,27.0,211.0,"As we'll learn today, the more precise we need. It's like, it's like... vibes. What, what is this?. I think it's just a vibes thing. Vibes. Vibes!. Put your hands up and dance,. Yeah. I'm gonna dance all night, that's",
